key,method,pd_distance,mt_distance,error
gan_s0_speed_p160_x0_y0,gan,22.540541801445254,9.748218536376953,
gan_s100_speed_p160_x0_y0,gan,20.891681214618057,7.617006778717041,
gan_s101_speed_p160_x0_y0,gan,20.937383941054357,7.0666680335998535,
gan_s102_speed_p160_x0_y0,gan,20.257793175726828,8.231893539428711,
gan_s103_speed_p160_x0_y0,gan,20.69051451494371,6.314839839935303,
gan_s104_speed_p160_x0_y0,gan,20.12992358587829,7.393864154815674,
gan_s105_speed_p160_x0_y0,gan,19.283104237304943,6.823482513427734,
gan_s106_speed_p160_x0_y0,gan,20.00547041151677,6.75129508972168,
gan_s107_speed_p160_x0_y0,gan,20.682183399063746,7.6041154861450195,
gan_s108_speed_p160_x0_y0,gan,21.1993064034262,7.595790386199951,
gan_s109_speed_p160_x0_y0,gan,20.853111383838083,7.198193550109863,
gan_s10_speed_p160_x0_y0,gan,24.710016041893063,7.423793315887451,
gan_s110_speed_p160_x0_y0,gan,19.600364202728887,6.568319320678711,
gan_s111_speed_p160_x0_y0,gan,18.815230764049467,8.167459487915039,
gan_s112_speed_p160_x0_y0,gan,19.372446559915602,6.682409286499023,
gan_s113_speed_p160_x0_y0,gan,18.415536047943895,6.949485778808594,
gan_s114_speed_p160_x0_y0,gan,16.84887862793787,5.899235248565674,
gan_s115_speed_p160_x0_y0,gan,17.25298248796687,7.232174873352051,
gan_s116_speed_p160_x0_y0,gan,17.129081493158413,7.636551856994629,
gan_s117_speed_p160_x0_y0,gan,18.592743212240446,8.683184623718262,
gan_s118_speed_p160_x0_y0,gan,19.893975298384717,9.465571403503418,
gan_s119_speed_p160_x0_y0,gan,20.557132674744736,6.129123687744141,
gan_s11_speed_p160_x0_y0,gan,24.969867761946066,7.831723690032959,
gan_s120_speed_p160_x0_y0,gan,21.528863701574615,7.93386173248291,
gan_s121_speed_p160_x0_y0,gan,21.37188887795256,7.535200595855713,
gan_s122_speed_p160_x0_y0,gan,22.491589595860475,7.450175762176514,
gan_s123_speed_p160_x0_y0,gan,22.17220391892049,8.431406021118164,
gan_s124_speed_p160_x0_y0,gan,22.119830159019614,6.818744659423828,
gan_s125_speed_p160_x0_y0,gan,21.313574573250694,10.086677551269531,
gan_s126_speed_p160_x0_y0,gan,22.88972837862729,8.052214622497559,
gan_s127_speed_p160_x0_y0,gan,24.85609607980766,13.074076652526855,
gan_s128_speed_p160_x0_y0,gan,23.315252316365218,7.28298807144165,
gan_s129_speed_p160_x0_y0,gan,24.209883048645104,9.33877944946289,
gan_s12_speed_p160_x0_y0,gan,24.220613253945245,5.913707256317139,
gan_s130_speed_p160_x0_y0,gan,23.783031491875988,11.313863754272461,
