metric,threshold,near_ties,mt_select_cnn,mt_select_gan,dual_psnr_threshold,dual_ssim_threshold,agree_mt_winner_lr_group,agree_mt_winner_extreme_group,agree_mt_winner_physics_group,agree_mt_winner_lr_mae,agree_mt_winner_lr_mse,agree_mt_winner_lr_psnr,agree_mt_winner_extreme_abs_max,agree_mt_winner_tail_mae
dual,0.1,3,0,3,0.1,0.03,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0
psnr,0.05,6,5,1,,,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.16666666666666666
psnr,0.1,19,10,9,,,0.5263157894736842,0.6111111111111112,0.8666666666666667,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.7894736842105263,0.47368421052631576
psnr,0.2,48,27,21,,,0.5625,0.5813953488372093,0.7142857142857143,0.5625,0.5625,0.5625,0.7083333333333334,0.3125
ssim,0.02,4,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ssim,0.03,11,1,10,,,0.09090909090909091,0.4,0.3,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.36363636363636365
ssim,0.05,29,13,16,,,0.4482758620689655,0.48148148148148145,0.5769230769230769,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.5517241379310345,0.41379310344827586
ssim,0.075,50,29,21,,,0.58,0.6382978723404256,0.7111111111111111,0.58,0.58,0.58,0.68,0.48
