sample_idx,pos_idx,pd_distance_candidateC,mt_distance_candidateC
0,0,26.54087383853458,4.931364059448242
1,1,26.860018422132235,5.018795013427734
2,2,27.198398691345254,5.211119174957275
3,3,27.029128290239345,4.79228401184082
4,4,26.52753275811782,4.926924228668213
5,5,27.592028859389334,4.805022716522217
6,6,28.06347659009277,5.788146495819092
7,7,28.372319346726474,6.132565498352051
8,8,28.94631735036568,7.012331008911133
9,9,28.33987132450183,5.825512886047363
10,10,28.89427721085234,6.084347248077393
11,11,28.373258138737864,5.824226379394531
12,12,29.352720659391466,6.103949069976807
13,13,28.716058453580494,6.603658676147461
14,14,27.641626114954256,5.7032389640808105
15,15,25.57557895088821,5.456413269042969
16,16,22.936293922528336,5.333761215209961
17,17,20.648061722776195,5.367110252380371
18,18,20.02273817105479,5.222471237182617
19,19,19.780440349283076,5.8875885009765625
20,20,21.28691283456116,5.485183238983154
21,21,26.38253487267855,7.855679035186768
22,22,32.844898032435594,7.512784957885742
23,23,34.540542535001094,7.493945598602295
24,24,35.4324964484274,6.508459091186523
25,25,36.059258248265,6.54166316986084
26,26,35.430762328892385,7.657828330993652
27,27,36.914667014003854,6.1433844566345215
28,28,38.595148610738796,7.227209568023682
29,29,39.69974398179117,6.6222333908081055
30,30,39.60318892100983,6.868593692779541
31,31,39.30154587588649,6.782070636749268
32,32,38.46152284336393,6.346405029296875
33,33,38.6134620629992,6.4996724128723145
34,34,37.70438629546717,6.280228137969971
35,35,37.05266475156421,6.591317176818848
36,36,36.93546948727876,6.159060001373291
37,37,35.25326458802586,6.199912071228027
38,38,31.222026575777832,6.276556968688965
39,39,27.246059220568682,6.508345603942871
40,40,25.82580099995564,6.8453240394592285
41,41,23.916136147734854,5.363081455230713
42,42,21.756561127935612,5.84509801864624
43,43,20.310114959288683,5.266791343688965
44,44,18.271834121766673,5.861962795257568
45,45,18.73807297162083,6.20452356338501
46,46,18.037874967518164,6.528316020965576
47,47,18.979981138492562,6.895597457885742
48,48,20.10398145597045,7.020596981048584
49,49,19.87601095863863,6.376103401184082
50,50,19.142208329344715,6.370486736297607
51,51,19.78004590483157,5.912449836730957
52,52,20.489349200087272,5.7503228187561035
53,53,20.746450105059896,5.326941967010498
54,54,21.692546037959087,6.016149997711182
