sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateC,mt_distance_cnn,mt_distance_gan,mt_distance_candidateC,pd_winner_before,pd_winner_after_candidateC,mt_winner_before,mt_winner_after_candidateC,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,26.54087383853458,5.051645278930664,9.748218536376953,4.931364059448242,gan,gan,cnn,candidateC,0
1,1,24.612518312283534,22.38874396250744,26.860018422132235,4.678010940551758,11.978342056274414,5.018795013427734,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,27.198398691345254,4.894824504852295,8.343221664428711,5.211119174957275,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,27.029128290239345,4.794641017913818,9.753995895385742,4.79228401184082,gan,gan,cnn,candidateC,0
4,4,24.810879874900778,22.91065989660919,26.52753275811782,4.892229080200195,8.064751625061035,4.926924228668213,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,27.592028859389334,5.628478050231934,6.406379699707031,4.805022716522217,gan,gan,cnn,candidateC,0
6,6,28.068979766562435,24.045087776300683,28.06347659009277,6.144000053405762,6.0106329917907715,5.788146495819092,gan,gan,gan,candidateC,1
7,7,29.26973016135952,22.553824952557566,28.372319346726474,5.672351837158203,7.113770008087158,6.132565498352051,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,28.94631735036568,7.50956392288208,6.055016040802002,7.012331008911133,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,28.33987132450183,5.768454551696777,6.291722297668457,5.825512886047363,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,28.89427721085234,6.634506702423096,7.423793315887451,6.084347248077393,gan,gan,cnn,candidateC,0
11,11,28.68732565326105,24.969867761946066,28.373258138737864,5.910721302032471,7.831723690032959,5.824226379394531,gan,gan,cnn,candidateC,0
12,12,30.104522332856273,24.220613253945245,29.352720659391466,6.61636209487915,5.913707256317139,6.103949069976807,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,28.716058453580494,6.0738348960876465,7.402252674102783,6.603658676147461,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,27.641626114954256,5.448930263519287,5.877835750579834,5.7032389640808105,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,25.57557895088821,5.097294807434082,5.86716890335083,5.456413269042969,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,22.936293922528336,5.464188098907471,5.255205154418945,5.333761215209961,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,20.648061722776195,5.2896833419799805,4.8487091064453125,5.367110252380371,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,20.02273817105479,6.258571624755859,5.554356575012207,5.222471237182617,gan,gan,gan,candidateC,1
19,19,21.064082150885508,19.086676411603058,19.780440349283076,6.927988529205322,5.44291353225708,5.8875885009765625,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,21.28691283456116,6.254051208496094,5.689126491546631,5.485183238983154,gan,gan,gan,candidateC,1
21,21,27.30086406645334,21.732522780594586,26.38253487267855,8.127616882324219,10.817054748535156,7.855679035186768,gan,gan,cnn,candidateC,0
22,22,32.693467082501115,26.801086541907566,32.844898032435594,8.081520080566406,8.346701622009277,7.512784957885742,gan,gan,cnn,candidateC,0
23,23,34.476953302920876,29.144574221491347,34.540542535001094,6.907674789428711,8.497876167297363,7.493945598602295,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,35.4324964484274,7.21915864944458,12.067601203918457,6.508459091186523,gan,gan,cnn,candidateC,0
25,25,36.58411526021696,30.123491475362258,36.059258248265,11.371563911437988,10.501462936401367,6.54166316986084,gan,gan,gan,candidateC,1
26,26,35.02599363200026,30.779316467464,35.430762328892385,7.043282985687256,11.28821849822998,7.657828330993652,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,36.914667014003854,6.4783101081848145,19.968429565429688,6.1433844566345215,gan,gan,cnn,candidateC,0
28,28,38.33189346230645,30.74946233279523,38.595148610738796,7.210402011871338,14.947399139404297,7.227209568023682,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,39.69974398179117,6.963974952697754,12.864243507385254,6.6222333908081055,gan,gan,cnn,candidateC,0
30,30,39.94080457344863,30.82310921065586,39.60318892100983,8.127463340759277,14.847400665283203,6.868593692779541,gan,gan,cnn,candidateC,0
31,31,39.104318483733294,31.3053599336416,39.30154587588649,6.818642616271973,16.23410415649414,6.782070636749268,gan,gan,cnn,candidateC,0
32,32,38.55925876668554,30.547158977309156,38.46152284336393,7.461033821105957,19.229158401489258,6.346405029296875,gan,gan,cnn,candidateC,0
33,33,38.39305861348763,30.400139282712473,38.6134620629992,6.76971960067749,20.00556755065918,6.4996724128723145,gan,gan,cnn,candidateC,0
34,34,37.356416104450325,28.907547601520903,37.70438629546717,6.323113918304443,19.445999145507812,6.280228137969971,gan,gan,cnn,candidateC,0
35,35,35.95264003005777,28.746843597068697,37.05266475156421,6.2719197273254395,14.435929298400879,6.591317176818848,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,36.93546948727876,6.097905158996582,9.26945686340332,6.159060001373291,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,35.25326458802586,6.489102840423584,9.59257698059082,6.199912071228027,gan,gan,cnn,candidateC,0
38,38,29.159912858159764,23.780350003542182,31.222026575777832,6.054014682769775,7.416414260864258,6.276556968688965,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,27.246059220568682,5.873856067657471,8.546488761901855,6.508345603942871,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,25.82580099995564,5.6310811042785645,8.988521575927734,6.8453240394592285,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,23.916136147734854,5.389686584472656,8.901470184326172,5.363081455230713,gan,gan,cnn,candidateC,0
42,42,21.63035540369367,14.632793364821667,21.756561127935612,5.757840156555176,7.383090972900391,5.84509801864624,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,20.310114959288683,5.7682366371154785,7.053122520446777,5.266791343688965,gan,gan,cnn,candidateC,0
44,44,19.781150575177055,13.855413188888303,18.271834121766673,6.20600700378418,7.041088581085205,5.861962795257568,gan,gan,cnn,candidateC,0
45,45,20.528037851461004,13.609391097429418,18.73807297162083,6.566225528717041,6.773196697235107,6.20452356338501,gan,gan,cnn,candidateC,0
46,46,20.678325640697178,16.27228595124608,18.037874967518164,6.243154048919678,6.650214672088623,6.528316020965576,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,18.979981138492562,6.789880752563477,7.498397350311279,6.895597457885742,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,20.10398145597045,7.081502437591553,6.682991981506348,7.020596981048584,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,19.87601095863863,6.3195295333862305,7.889017105102539,6.376103401184082,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,19.142208329344715,6.3856120109558105,6.713321685791016,6.370486736297607,gan,gan,cnn,candidateC,0
51,51,21.75849079768097,16.03686368056312,19.78004590483157,5.902731418609619,7.996896266937256,5.912449836730957,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,20.489349200087272,5.69123649597168,7.0050048828125,5.7503228187561035,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,20.746450105059896,5.261850833892822,7.919146537780762,5.326941967010498,gan,gan,cnn,cnn,0
