epsilon,mt_lr_num,mt_lr_den,mt_lr_pct,mt_extreme_num,mt_extreme_den,mt_extreme_pct,mt_physics_num,mt_physics_den,mt_physics_pct,pd_lr_num,pd_lr_den,pd_lr_pct,pd_extreme_num,pd_extreme_den,pd_extreme_pct,pd_physics_num,pd_physics_den,pd_physics_pct
0.05,13,15,86.7%,8,9,88.9%,13,15,86.7%,0,15,0.0%,0,9,0.0%,0,15,0.0%
0.075,33,36,91.7%,24,28,85.7%,33,36,91.7%,0,36,0.0%,2,28,7.1%,0,36,0.0%
