method,sample_idx,metric_column,value
cnn,2,exceed_frac_gt_t15,0.058684
cnn,2,exceed_frac_sr_t15,0.057324
cnn,2,exceed_frac_delta_t15,-0.00136
cnn,2,exceed_frac_abs_delta_t15,0.00136
cnn,2,exceed_frac_gt_p90,0.1
cnn,2,exceed_frac_sr_p90,0.098268
cnn,2,exceed_frac_delta_p90,-0.0017320000000000113
cnn,2,exceed_frac_abs_delta_p90,0.0017320000000000113
cnn,2,exceed_frac_gt_p95,0.05
cnn,2,exceed_frac_sr_p95,0.048688
cnn,2,exceed_frac_delta_p95,-0.0013120000000000007
cnn,2,exceed_frac_abs_delta_p95,0.0013120000000000007
cnn,2,exceed_frac_gt_p99,0.01
cnn,2,exceed_frac_sr_p99,0.00868
cnn,2,exceed_frac_delta_p99,-0.00132
cnn,2,exceed_frac_abs_delta_p99,0.00132
cnn,2,pd_distance,25.200926367648954
cnn,2,mt_distance,4.894824504852295
cnn,2,ssim,0.6223940258968236
cnn,3,psnr,31.5904468469398
cnn,3,wpd_bias,-22.106081627235685
cnn,3,wpd_mae,296.56161909193986
cnn,3,wpd_rmse,779.768079017902
cnn,3,wpd_w1,26.5938643061863
cnn,3,psd_log_l2,0.5686630178775349
cnn,3,psd_slope_gt,2.8148813567348094
cnn,3,psd_slope_sr,1.3974667508403935
cnn,3,psd_slope_delta,-1.417414605894416
cnn,3,psd_slope_abs_delta,1.417414605894416
cnn,3,grad_mae,0.38173743666645943
cnn,3,grad_w1,0.18302102901570666
cnn,3,grad_kurtosis_gt,20.3035498291027
cnn,3,grad_kurtosis_sr,17.252790729164012
cnn,3,grad_kurtosis_delta,-3.0507590999386878
cnn,3,grad_kurtosis_abs_delta,3.0507590999386878
cnn,3,exceed_frac_gt_t5,0.6922
cnn,3,exceed_frac_sr_t5,0.692576
cnn,3,exceed_frac_delta_t5,0.00037599999999993194
cnn,3,exceed_frac_abs_delta_t5,0.00037599999999993194
cnn,3,exceed_frac_gt_t10,0.323652
cnn,3,exceed_frac_sr_t10,0.32476
cnn,3,exceed_frac_delta_t10,0.0011079999999999979
cnn,3,exceed_frac_abs_delta_t10,0.0011079999999999979
cnn,3,exceed_frac_gt_t15,0.071708
cnn,3,exceed_frac_sr_t15,0.069064
cnn,3,exceed_frac_delta_t15,-0.0026439999999999936
cnn,3,exceed_frac_abs_delta_t15,0.0026439999999999936
cnn,3,exceed_frac_gt_p90,0.1
cnn,3,exceed_frac_sr_p90,0.097356
cnn,3,exceed_frac_delta_p90,-0.0026440000000000075
cnn,3,exceed_frac_abs_delta_p90,0.0026440000000000075
cnn,3,exceed_frac_gt_p95,0.05
cnn,3,exceed_frac_sr_p95,0.046996
cnn,3,exceed_frac_delta_p95,-0.0030039999999999997
cnn,3,exceed_frac_abs_delta_p95,0.0030039999999999997
cnn,3,exceed_frac_gt_p99,0.01
cnn,3,exceed_frac_sr_p99,0.00826
cnn,3,exceed_frac_delta_p99,-0.0017400000000000002
cnn,3,exceed_frac_abs_delta_p99,0.0017400000000000002
cnn,3,pd_distance,24.87627415927669
cnn,3,mt_distance,4.794641017913818
cnn,3,ssim,0.6252808362395419
cnn,4,psnr,31.16854735228141
cnn,4,wpd_bias,-27.076085278503694
cnn,4,wpd_mae,312.23008605350753
cnn,4,wpd_rmse,795.3393481668863
cnn,4,wpd_w1,33.36635429998364
cnn,4,psd_log_l2,0.5436400529361233
cnn,4,psd_slope_gt,2.7681666845347146
cnn,4,psd_slope_sr,1.5045558011279265
cnn,4,psd_slope_delta,-1.263610883406788
cnn,4,psd_slope_abs_delta,1.263610883406788
cnn,4,grad_mae,0.3920347216306909
cnn,4,grad_w1,0.18725240635725657
cnn,4,grad_kurtosis_gt,19.823823685874085
cnn,4,grad_kurtosis_sr,16.903891688434346
cnn,4,grad_kurtosis_delta,-2.9199319974397397
cnn,4,grad_kurtosis_abs_delta,2.9199319974397397
cnn,4,exceed_frac_gt_t5,0.735992
cnn,4,exceed_frac_sr_t5,0.735724
cnn,4,exceed_frac_delta_t5,-0.00026799999999993496
cnn,4,exceed_frac_abs_delta_t5,0.00026799999999993496
cnn,4,exceed_frac_gt_t10,0.362432
cnn,4,exceed_frac_sr_t10,0.3639
cnn,4,exceed_frac_delta_t10,0.0014680000000000248
cnn,4,exceed_frac_abs_delta_t10,0.0014680000000000248
cnn,4,exceed_frac_gt_t15,0.08138
cnn,4,exceed_frac_sr_t15,0.078
cnn,4,exceed_frac_delta_t15,-0.003379999999999994
cnn,4,exceed_frac_abs_delta_t15,0.003379999999999994
cnn,4,exceed_frac_gt_p90,0.1
cnn,4,exceed_frac_sr_p90,0.094456
cnn,4,exceed_frac_delta_p90,-0.005544000000000007
cnn,4,exceed_frac_abs_delta_p90,0.005544000000000007
cnn,4,exceed_frac_gt_p95,0.05
cnn,4,exceed_frac_sr_p95,0.045888
cnn,4,exceed_frac_delta_p95,-0.0041120000000000045
cnn,4,exceed_frac_abs_delta_p95,0.0041120000000000045
cnn,4,exceed_frac_gt_p99,0.01
cnn,4,exceed_frac_sr_p99,0.00864
cnn,4,exceed_frac_delta_p99,-0.00136
cnn,4,exceed_frac_abs_delta_p99,0.00136
cnn,4,pd_distance,24.810879874900778
cnn,4,mt_distance,4.892229080200195
cnn,4,ssim,0.6188264630640096
cnn,5,psnr,31.066356029873372
cnn,5,wpd_bias,-29.871797415116948
cnn,5,wpd_mae,331.20302392786385
cnn,5,wpd_rmse,814.1251512794533
cnn,5,wpd_w1,35.32829511630865
cnn,5,psd_log_l2,0.5583519999584546
cnn,5,psd_slope_gt,2.752955266017228
cnn,5,psd_slope_sr,1.5278230879395032
cnn,5,psd_slope_delta,-1.2251321780777247
cnn,5,psd_slope_abs_delta,1.2251321780777247
cnn,5,grad_mae,0.40084965022376245
cnn,5,grad_w1,0.19427018172256152
cnn,5,grad_kurtosis_gt,19.919202973031233
cnn,5,grad_kurtosis_sr,17.302438518572455
cnn,5,grad_kurtosis_delta,-2.616764454458778
cnn,5,grad_kurtosis_abs_delta,2.616764454458778
cnn,5,exceed_frac_gt_t5,0.790428
cnn,5,exceed_frac_sr_t5,0.788376
cnn,5,exceed_frac_delta_t5,-0.0020520000000000538
cnn,5,exceed_frac_abs_delta_t5,0.0020520000000000538
cnn,5,exceed_frac_gt_t10,0.398252
cnn,5,exceed_frac_sr_t10,0.3987
cnn,5,exceed_frac_delta_t10,0.00044800000000000395
cnn,5,exceed_frac_abs_delta_t10,0.00044800000000000395
cnn,5,exceed_frac_gt_t15,0.087164
cnn,5,exceed_frac_sr_t15,0.08024
cnn,5,exceed_frac_delta_t15,-0.006924
cnn,5,exceed_frac_abs_delta_t15,0.006924
cnn,5,exceed_frac_gt_p90,0.1
cnn,5,exceed_frac_sr_p90,0.09232
cnn,5,exceed_frac_delta_p90,-0.007680000000000006
