sample_idx,wtk_time_index,timestamp,season,center_lat,center_lon,row_start,row_end,col_start,col_end,u_min,u_max,u_mean,u_std,v_min,v_max,v_mean,v_std,speed_min,speed_max,speed_mean,speed_std
0,336,20070115000000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.587817192077637,17.920730590820312,2.937103351493828,4.011041612447315,-9.124238014221191,10.486748695373535,1.6829047999435522,4.803696386323648,0.021362304729929248,18.04864508406785,6.446256035749868,3.011391966076578
1,337,20070115010000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.944179534912109,17.438989639282227,2.7893768880144165,4.193446125663404,-10.337348937988281,10.362006187438965,1.5476851307847272,4.853275267421246,0.06103515689244523,17.447433236066153,6.517934911699923,2.9718257695377486
2,338,20070115020000,winter,39.499794,-75.006409,720,1220,2102,2602,-8.764630317687988,17.51393699645996,2.590208528951567,4.3719551360408815,-11.20511531829834,10.201316833496094,1.444962693466234,4.861008519069368,0.061035159012523814,17.53898562707927,6.555896703455095,2.925869333481667
3,339,20070115030000,winter,39.499794,-75.006409,720,1220,2102,2602,-9.3219575881958,15.408759117126465,2.36399716907767,4.5309165993431995,-11.422816276550293,10.324049949645996,1.4148500349015505,4.851246563777214,0.10375976739643782,15.683463763920955,6.576100186299039,2.899825517025097
4,340,20070115040000,winter,39.499794,-75.006409,720,1220,2102,2602,-10.181527137756348,14.439441680908203,2.0921871469565336,4.690342781602253,-12.22607707977295,10.72026538848877,1.4596390571057547,4.882825997945202,0.07019043052847702,15.057830808264846,6.6371137074648,2.880593689543783
5,341,20070115050000,winter,39.499794,-75.006409,720,1220,2102,2602,-10.170186996459961,14.480440139770508,1.7561335750833171,4.858020869266325,-12.474424362182617,12.203892707824707,1.576704500100547,4.968159418139102,0.030517576437370807,15.83300031454431,6.762380381427398,2.8501207976732283
6,342,20070115060000,winter,39.499794,-75.006409,720,1220,2102,2602,-11.204171180725098,15.367609977722168,1.4201249709954165,5.0361676248637055,-11.941239356994629,12.56005859375,1.762506042767093,5.083420339790335,0.05187988114986692,17.651908570065217,6.944176020317497,2.8470596375211628
7,343,20070115070000,winter,39.499794,-75.006409,720,1220,2102,2602,-11.49911880493164,16.051132202148438,1.1009310582807241,5.25403579049558,-11.553403854370117,13.00851821899414,2.0484026280836742,5.169417309811414,0.04272460926304932,18.14020531289819,7.172266189247395,2.8799943824931784
8,344,20070115080000,winter,39.499794,-75.006409,720,1220,2102,2602,-12.392568588256836,16.79076385498047,0.8472384874184061,5.465317763227848,-9.839628219604492,14.459892272949219,2.4337806162373172,5.192702665070575,0.06408691276454212,18.433183143344266,7.419533970346628,2.902667053985494
9,345,20070115090000,winter,39.499794,-75.006409,720,1220,2102,2602,-13.727575302124023,20.481801986694336,0.6330577922185352,5.691488543927534,-9.478883743286133,14.191424369812012,2.889742595939999,5.178630579104268,0.048828122537391404,21.768852146656293,7.712294636052597,2.9125834591106834
10,346,20070115100000,winter,39.499794,-75.006409,720,1220,2102,2602,-14.398106575012207,21.42913818359375,0.5465256410867665,5.8952671635710665,-9.223332405090332,14.731834411621094,3.4307810950634674,5.114137154295147,0.09460449775323305,22.125921956246536,8.029763809938867,2.9155473102022476
11,347,20070115110000,winter,39.499794,-75.006409,720,1220,2102,2602,-15.108221054077148,22.188953399658203,0.6397889114718806,6.069503117301766,-8.759028434753418,15.647263526916504,4.02334698997193,5.045546698518568,0.027465819901661127,22.68746203911292,8.399754292844928,2.8874189600158866
12,348,20070115120000,winter,39.499794,-75.006409,720,1220,2102,2602,-15.285441398620605,22.4608154296875,0.8832547676942486,6.203178098079421,-9.319954872131348,16.746206283569336,4.585242300551387,5.006189344642935,0.13733672602725724,23.468736035873686,8.782775687318395,2.86509815478946
13,349,20070115130000,winter,39.499794,-75.006409,720,1220,2102,2602,-15.780037879943848,25.301525115966797,1.2465109526749356,6.263289992120333,-11.37401008605957,18.015666961669922,5.137388188404236,5.003712372601467,0.13733673264807342,25.940734414388082,9.150761098595302,2.9113669131609865
14,350,20070115140000,winter,39.499794,-75.006409,720,1220,2102,2602,-16.834627151489258,27.392850875854492,1.7634722788139272,6.215343449487796,-11.832342147827148,19.186147689819336,5.509168056747324,5.086260362276374,0.07629394578182773,27.820670907597197,9.424685190433022,3.022683391428445
15,351,20070115150000,winter,39.499794,-75.006409,720,1220,2102,2602,-16.468700408935547,28.427457809448242,2.3309847274775812,6.033985257111316,-11.669394493103027,18.872526168823242,5.757542406547901,5.228834305661474,0.09155273414395955,28.839989322421655,9.577839409893839,3.25537446084388
16,352,20070115160000,winter,39.499794,-75.006409,720,1220,2102,2602,-16.15127944946289,29.483434677124023,3.0011146331565106,5.860445444018757,-10.736371040344238,19.277603149414062,5.977687412809184,5.35458606028126,0.04577636581349431,29.734184588282773,9.783981196642731,3.4683656770334355
17,353,20070115170000,winter,39.499794,-75.006409,720,1220,2102,2602,-16.05855941772461,27.5345401763916,3.6847565681124004,5.648993177264761,-11.05223274230957,19.295488357543945,6.1602240613350014,5.446874261488796,0.08239746550926842,27.832876656462712,9.99360785090134,3.6377406053420285
18,354,20070115180000,winter,39.499794,-75.006409,720,1220,2102,2602,-16.191606521606445,26.891223907470703,4.341930881372421,5.385618700831649,-11.410541534423828,18.787364959716797,6.292850598502416,5.502915647755587,0.11901855295961024,27.256079865369546,10.16743714607596,3.7897920432846104
19,355,20070115190000,winter,39.499794,-75.006409,720,1220,2102,2602,-15.32680606842041,26.724821090698242,4.942964035544307,5.102092544866857,-12.4386568069458,17.48188591003418,6.409215069919417,5.494394014334396,0.10070800996815195,27.12485528352925,10.311690883048309,3.92424213355453
20,356,20070115200000,winter,39.499794,-75.006409,720,1220,2102,2602,-13.783271789550781,26.357221603393555,5.462989136207674,4.757203956118284,-12.678140640258789,18.74085807800293,6.504694356468728,5.436682989207295,0.04577636773838245,26.79524891384844,10.39569810340954,4.03401429365463
21,357,20070115210000,winter,39.499794,-75.006409,720,1220,2102,2602,-11.500057220458984,24.28775405883789,5.913076074502064,4.376680073171509,-13.347006797790527,18.18415069580078,6.566506644145462,5.41412747206425,0.05798339895222864,24.542983721857414,10.499380149219958,4.039133496095233
22,358,20070115220000,winter,39.499794,-75.006409,720,1220,2102,2602,-10.65516185760498,23.358858108520508,6.38178742190614,4.066921604335382,-12.476490020751953,17.821090698242188,6.705613368154854,5.557368038123855,0.2777175942924052,23.444321465540245,10.838254059735469,3.9558691997049897
23,359,20070115230000,winter,39.499794,-75.006409,720,1220,2102,2602,-11.178435325622559,23.701841354370117,6.804421425157554,3.8545840559329276,-12.007035255432129,16.929967880249023,6.691034073689909,5.7312048260065716,0.0915527360824449,25.275428988393333,11.111660852832136,3.9122382340488584
24,360,20070116000000,winter,39.499794,-75.006409,720,1220,2102,2602,-9.260676383972168,23.979827880859375,7.130766644041896,3.7592317367275414,-10.531103134155273,16.1569881439209,6.542133908752241,5.882270195083,0.10375976872648604,24.219489444479134,11.266568849970463,3.9299747148147075
25,361,20070116010000,winter,39.499794,-75.006409,720,1220,2102,2602,-6.04900598526001,23.823270797729492,7.374163333036477,3.7380847397544863,-9.957988739013672,15.636404991149902,6.33018241444428,6.010170182464988,0.11291503682345633,24.08825726558268,11.334298790961792,4.009811507218001
26,362,20070116020000,winter,39.499794,-75.006409,720,1220,2102,2602,-5.426278114318848,25.823801040649414,7.577873423943564,3.732833367883633,-9.436637878417969,15.334871292114258,5.996971096319997,6.180032401404299,0.11291503513691555,25.94378692855113,11.349818407643163,4.086110070436731
27,363,20070116030000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.141839027404785,25.117521286010742,7.738050938993874,3.701530600342639,-10.245473861694336,15.321840286254883,5.557099990202371,6.383207671150583,0.05493164023228537,25.128944280309135,11.314448235617679,4.145928450589532
28,364,20070116040000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.434591770172119,23.77481460571289,7.8917936736787775,3.6656008418748303,-11.364861488342285,15.316936492919922,5.039842983177211,6.611966920272129,0.10681152180101108,23.807487944900117,11.286266824980997,4.177959062156629
29,365,20070116050000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.357080459594727,23.455673217773438,8.048784509115587,3.647977257210293,-11.762953758239746,16.062694549560547,4.384729010932087,6.8207739956916145,0.054931641477425165,23.471786860630267,11.229274570479713,4.212228527002379
30,366,20070116060000,winter,39.499794,-75.006409,720,1220,2102,2602,-8.216001510620117,23.277320861816406,8.229955633996024,3.6506905475327835,-13.424155235290527,17.01725959777832,3.5953328552302315,6.9356220411583696,0.07629394766326911,23.4107512485203,11.16478786706296,4.175702878866216
31,367,20070116070000,winter,39.499794,-75.006409,720,1220,2102,2602,-8.818224906921387,23.050090789794922,8.37586600827744,3.698815317911699,-12.816646575927734,16.927248001098633,2.7220345099556305,6.9309596596746745,0.11901855270689127,23.166603698115345,11.058800982877608,4.12152406800785
32,368,20070116080000,winter,39.499794,-75.006409,720,1220,2102,2602,-8.021312713623047,22.827333450317383,8.48638180937412,3.763209235800169,-13.354050636291504,16.793977737426758,1.7606808309177604,6.818618175339386,0.1098632794606826,23.288674287106453,10.934639899159059,4.0258689809824055
33,369,20070116090000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.304775714874268,23.654312133789062,8.53833713153316,3.8511605726047633,-14.620335578918457,16.8565731048584,0.7069785200080555,6.59739409453456,0.15869903062302926,24.20117923624238,10.804953224937982,3.8746679858999418
34,370,20070116100000,winter,39.499794,-75.006409,720,1220,2102,2602,-5.844627857208252,25.205883026123047,8.500436534045033,3.911461370751113,-16.351438522338867,15.992757797241211,-0.38993984620156164,6.273907171780609,0.19837189077214198,25.43718014054935,10.65960997957984,3.66655569863918
35,371,20070116110000,winter,39.499794,-75.006409,720,1220,2102,2602,-5.8550920486450195,24.319976806640625,8.350356789890748,3.9312962050908657,-18.28451156616211,15.87405776977539,-1.535370231739332,5.896387670563493,0.14344024499967184,26.306954212474267,10.516924683103523,3.4209052735567935
36,372,20070116120000,winter,39.499794,-75.006409,720,1220,2102,2602,-5.7529754638671875,23.879159927368164,8.0383335290807,3.9006983189747615,-20.33988380432129,13.354533195495605,-2.609499582602329,5.497273222029247,0.09765624715613394,25.971252530395088,10.332431427678301,3.1781464789972773
37,373,20070116130000,winter,39.499794,-75.006409,720,1220,2102,2602,-5.8429856300354,25.304977416992188,7.6421706357737005,3.856355317156339,-21.9407901763916,12.666643142700195,-3.5876883907133643,5.099480223043421,0.08850097642300013,28.006834981205223,10.151361665463636,3.016672211140548
38,374,20070116140000,winter,39.499794,-75.006409,720,1220,2102,2602,-6.202874660491943,25.097957611083984,7.221836335346875,3.715465677146543,-22.377988815307617,12.321218490600586,-4.488045884869916,4.682386516512795,0.20752716034062407,28.65993537112712,10.000891887026519,2.830029341069832
39,375,20070116150000,winter,39.499794,-75.006409,720,1220,2102,2602,-5.432230472564697,24.092870712280273,6.883193316085173,3.551070702583905,-21.357465744018555,11.108344078063965,-5.136341171732167,4.281298184979277,0.10681152745578472,28.040403870106775,9.860036554775675,2.7348943820510856
40,376,20070116160000,winter,39.499794,-75.006409,720,1220,2102,2602,-3.78926157951355,23.930912017822266,6.664619716858605,3.289940108474868,-20.211925506591797,11.915616035461426,-5.598078562380864,3.957882284530533,0.25940704529556713,28.183846120236137,9.773184742282641,2.594038868192747
41,377,20070116170000,winter,39.499794,-75.006409,720,1220,2102,2602,-3.5955121517181396,23.150802612304688,6.510154808002062,2.9729336292752633,-20.08707618713379,11.071085929870605,-5.996312477612926,3.7586248926594568,0.07019042888716483,27.497176719844454,9.765278626039782,2.4377874716501644
42,378,20070116180000,winter,39.499794,-75.006409,720,1220,2102,2602,-3.615156888961792,21.251914978027344,6.44126265156646,2.7025727775009454,-19.5003604888916,11.021659851074219,-6.378228965041417,3.642245645453854,0.3967437765451891,25.763724857775944,9.867998446483307,2.3160589147683797
43,379,20070116190000,winter,39.499794,-75.006409,720,1220,2102,2602,-3.395782947540283,18.568078994750977,6.418917643127751,2.4960019429564135,-18.47418785095215,13.07961654663086,-6.803276313080378,3.497872066776042,0.37538145863134675,24.161505883743953,10.049283026113812,2.2280299946841784
44,380,20070116200000,winter,39.499794,-75.006409,720,1220,2102,2602,-3.153968095779419,18.61186408996582,6.392023874270039,2.3930672727413884,-18.552488327026367,11.985180854797363,-7.236846271211829,3.30952570326987,0.35706328719623587,24.29273102027811,10.25921640556742,2.1582685788837392
45,381,20070116210000,winter,39.499794,-75.006409,720,1220,2102,2602,-3.545452117919922,22.67348861694336,6.285415972817248,2.415293279371238,-20.473464965820312,10.018465995788574,-7.648396918936788,3.1816960228330835,0.35095978812281303,24.112671776642134,10.434006641035714,2.256715755884718
46,382,20070116220000,winter,39.499794,-75.006409,720,1220,2102,2602,-4.649234294891357,19.430057525634766,6.073390058900566,2.6006695784811007,-21.5208683013916,9.752490043640137,-8.085055948190893,3.0916972727209546,0.3326492346567925,25.611129426624053,10.596517479758077,2.5080047999750668
47,383,20070116230000,winter,39.499794,-75.006409,720,1220,2102,2602,-4.708282470703125,20.077608108520508,5.975923475643496,2.7090024518032862,-22.934141159057617,9.252837181091309,-8.752469831366108,3.0007705961175333,0.1281814582024822,26.740319085468943,11.011659687987173,2.721040041248744
48,384,20070117000000,winter,39.499794,-75.006409,720,1220,2102,2602,-4.34571647644043,21.371152877807617,5.7719469530641145,2.7581845915265673,-24.849361419677734,6.36128044128418,-9.349520047860764,2.9424290185156097,0.08544921737593772,27.661979702042498,11.328474505865437,2.9427933828644264
49,385,20070117010000,winter,39.499794,-75.006409,720,1220,2102,2602,-4.608503341674805,20.826936721801758,5.544653558854835,2.7297113164448783,-24.595230102539062,4.234105110168457,-9.799372244092867,3.028184495575258,0.13123321817063371,27.817619488242716,11.554632386275385,3.1436563257495
50,386,20070117020000,winter,39.499794,-75.006409,720,1220,2102,2602,-5.205001354217529,19.239038467407227,5.33548852792402,2.721956278706934,-25.071805953979492,3.608614206314087,-10.08666330348609,3.214121292762948,0.2166824418367919,27.442245900321566,11.69741089892115,3.3344286405749832
51,387,20070117030000,winter,39.499794,-75.006409,720,1220,2102,2602,-6.361218452453613,18.37559700012207,5.145116728297143,2.743087557914149,-25.234542846679688,4.3928751945495605,-10.252869244177521,3.4469506536071237,0.06408691485495746,27.445298144874013,11.764995207069788,3.5474554010466965
52,388,20070117040000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.010879993438721,18.63323974609375,4.942896855666029,2.7983126759415176,-23.913793563842773,3.4463605880737305,-10.302438389789932,3.660188112220898,0.17090607218623094,25.71794788721225,11.73131939493564,3.7651218047170074
53,389,20070117050000,winter,39.499794,-75.006409,720,1220,2102,2602,-7.589522838592529,18.56940269470215,4.714551983819766,2.8809189458838027,-22.70189094543457,5.285681247711182,-10.275811034188653,3.890967456063434,0.1190185565710219,25.40971307462836,11.629502453247467,4.001660558480729
54,390,20070117060000,winter,39.499794,-75.006409,720,1220,2102,2602,-6.695840358734131,18.302783966064453,4.496303492893353,2.942848845011562,-21.598873138427734,5.018711566925049,-10.16604514760885,4.147465167235381,0.09155272876947385,24.79018452874529,11.469551320039095,4.228053712813093
