sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,25.245684208103313,5.051645278930664,9.748218536376953,4.834952354431152,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
1,1,24.612518312283534,22.38874396250744,25.492662906700225,4.678010940551758,11.978342056274414,4.838694095611572,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,25.976614267267088,4.894824504852295,8.343221664428711,5.032725811004639,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,26.00425457806911,4.794641017913818,9.753995895385742,4.791869640350342,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
4,4,24.810879874900778,22.91065989660919,25.28247093708309,4.892229080200195,8.064751625061035,4.745596408843994,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
5,5,27.01852197077857,22.503507148952195,27.087996329654015,5.628478050231934,6.406379699707031,5.88524055480957,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,27.552979410211226,6.144000053405762,6.0106329917907715,5.341672420501709,gan,gan,gan,candidateE2_fixed_lowlambda_expanded2688,1
7,7,29.26973016135952,22.553824952557566,28.379939739047373,5.672351837158203,7.113770008087158,5.536333084106445,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
8,8,29.63505050414828,23.282081530392528,28.49175427090609,7.50956392288208,6.055016040802002,7.184385776519775,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,27.403107689737276,5.768454551696777,6.291722297668457,5.725955009460449,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
10,10,29.696969860459554,24.710016041893063,28.510037873204094,6.634506702423096,7.423793315887451,6.190041542053223,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
11,11,28.68732565326105,24.969867761946066,27.32282901906595,5.910721302032471,7.831723690032959,6.170589923858643,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,28.822679852777615,6.61636209487915,5.913707256317139,6.462671756744385,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,27.93911044879098,6.0738348960876465,7.402252674102783,5.938010215759277,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
14,14,28.13047371417262,21.511818920550414,26.89349081481998,5.448930263519287,5.877835750579834,5.432344913482666,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
15,15,26.322356943691645,19.148010639364745,25.066471789639355,5.097294807434082,5.86716890335083,5.094135284423828,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
16,16,23.755960973590362,17.324485324726012,22.389468556436942,5.464188098907471,5.255205154418945,5.383290767669678,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,19.289559473462994,5.2896833419799805,4.8487091064453125,4.848170280456543,gan,gan,gan,candidateE2_fixed_lowlambda_expanded2688,1
18,18,20.394905033940507,18.610240875886223,18.765096983006977,6.258571624755859,5.554356575012207,5.581621170043945,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,19.240269113536282,6.927988529205322,5.44291353225708,6.219110488891602,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,20.179962605460275,6.254051208496094,5.689126491546631,5.715326309204102,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,25.234808696484052,8.127616882324219,10.817054748535156,7.6894001960754395,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded2688,0
