sample_idx,threshold,method,component_count,min_area
12,9.441954392653244,cnn,33,25
12,9.441954392653244,gan,39,25
12,9.876647557967749,gt,52,25
12,9.876647557967749,bicubic,39,25
12,9.876647557967749,cnn,38,25
12,9.876647557967749,gan,47,25
12,10.311340723282251,gt,58,25
12,10.311340723282251,bicubic,34,25
12,10.311340723282251,cnn,52,25
12,10.311340723282251,gan,66,25
12,10.746033888596754,gt,78,25
12,10.746033888596754,bicubic,39,25
12,10.746033888596754,cnn,68,25
12,10.746033888596754,gan,85,25
12,11.180727053911259,gt,78,25
12,11.180727053911259,bicubic,31,25
12,11.180727053911259,cnn,61,25
12,11.180727053911259,gan,81,25
12,11.615420219225761,gt,71,25
12,11.615420219225761,bicubic,20,25
12,11.615420219225761,cnn,50,25
12,11.615420219225761,gan,76,25
12,12.050113384540264,gt,64,25
12,12.050113384540264,bicubic,26,25
12,12.050113384540264,cnn,43,25
12,12.050113384540264,gan,80,25
12,12.484806549854767,gt,50,25
12,12.484806549854767,bicubic,26,25
12,12.484806549854767,cnn,41,25
12,12.484806549854767,gan,80,25
12,12.91949971516927,gt,68,25
12,12.91949971516927,bicubic,41,25
12,12.91949971516927,cnn,47,25
12,12.91949971516927,gan,79,25
12,13.354192880483774,gt,64,25
12,13.354192880483774,bicubic,34,25
12,13.354192880483774,cnn,50,25
12,13.354192880483774,gan,79,25
12,13.788886045798277,gt,60,25
12,13.788886045798277,bicubic,38,25
12,13.788886045798277,cnn,56,25
12,13.788886045798277,gan,85,25
12,14.22357921111278,gt,63,25
12,14.22357921111278,bicubic,41,25
12,14.22357921111278,cnn,44,25
12,14.22357921111278,gan,71,25
12,14.658272376427284,gt,54,25
12,14.658272376427284,bicubic,26,25
12,14.658272376427284,cnn,39,25
12,14.658272376427284,gan,48,25
12,15.092965541741787,gt,43,25
12,15.092965541741787,bicubic,23,25
12,15.092965541741787,cnn,31,25
12,15.092965541741787,gan,45,25
12,15.52765870705629,gt,37,25
12,15.52765870705629,bicubic,21,25
12,15.52765870705629,cnn,29,25
12,15.52765870705629,gan,43,25
12,15.962351872370792,gt,29,25
12,15.962351872370792,bicubic,14,25
12,15.962351872370792,cnn,23,25
12,15.962351872370792,gan,40,25
12,16.397045037685295,gt,31,25
12,16.397045037685295,bicubic,14,25
12,16.397045037685295,cnn,19,25
12,16.397045037685295,gan,33,25
12,16.8317382029998,gt,24,25
12,16.8317382029998,bicubic,13,25
12,16.8317382029998,cnn,17,25
12,16.8317382029998,gan,31,25
12,17.2664313683143,gt,24,25
12,17.2664313683143,bicubic,12,25
12,17.2664313683143,cnn,17,25
12,17.2664313683143,gan,25,25
12,17.701124533628807,gt,17,25
12,17.701124533628807,bicubic,10,25
12,17.701124533628807,cnn,11,25
12,17.701124533628807,gan,20,25
12,18.13581769894331,gt,18,25
12,18.13581769894331,bicubic,11,25
12,18.13581769894331,cnn,9,25
12,18.13581769894331,gan,11,25
12,18.570510864257812,gt,13,25
12,18.570510864257812,bicubic,7,25
12,18.570510864257812,cnn,7,25
12,18.570510864257812,gan,9,25
77,1.7242965698242188,gt,1,25
77,1.7242965698242188,bicubic,1,25
77,1.7242965698242188,cnn,1,25
77,1.7242965698242188,gan,1,25
77,2.0833985008337566,gt,1,25
77,2.0833985008337566,bicubic,1,25
77,2.0833985008337566,cnn,1,25
77,2.0833985008337566,gan,2,25
77,2.4425004318432944,gt,2,25
77,2.4425004318432944,bicubic,1,25
77,2.4425004318432944,cnn,3,25
77,2.4425004318432944,gan,5,25
77,2.801602362852832,gt,3,25
77,2.801602362852832,bicubic,3,25
77,2.801602362852832,cnn,3,25
77,2.801602362852832,gan,4,25
77,3.16070429386237,gt,8,25
77,3.16070429386237,bicubic,7,25
77,3.16070429386237,cnn,6,25
77,3.16070429386237,gan,14,25
77,3.5198062248719078,gt,14,25
77,3.5198062248719078,bicubic,7,25
77,3.5198062248719078,cnn,13,25
77,3.5198062248719078,gan,14,25
77,3.878908155881446,gt,12,25
77,3.878908155881446,bicubic,2,25
77,3.878908155881446,cnn,5,25
77,3.878908155881446,gan,10,25
77,4.238010086890984,gt,4,25
77,4.238010086890984,bicubic,2,25
77,4.238010086890984,cnn,4,25
77,4.238010086890984,gan,10,25
77,4.597112017900521,gt,6,25
77,4.597112017900521,bicubic,3,25
77,4.597112017900521,cnn,4,25
77,4.597112017900521,gan,7,25
77,4.95621394891006,gt,9,25
77,4.95621394891006,bicubic,6,25
77,4.95621394891006,cnn,8,25
77,4.95621394891006,gan,12,25
77,5.315315879919597,gt,20,25
77,5.315315879919597,bicubic,10,25
77,5.315315879919597,cnn,11,25
77,5.315315879919597,gan,14,25
77,5.674417810929135,gt,16,25
77,5.674417810929135,bicubic,4,25
77,5.674417810929135,cnn,10,25
77,5.674417810929135,gan,6,25
77,6.033519741938673,gt,6,25
77,6.033519741938673,bicubic,3,25
77,6.033519741938673,cnn,5,25
77,6.033519741938673,gan,6,25
77,6.392621672948211,gt,12,25
77,6.392621672948211,bicubic,4,25
77,6.392621672948211,cnn,7,25
77,6.392621672948211,gan,6,25
77,6.751723603957749,gt,11,25
77,6.751723603957749,bicubic,8,25
77,6.751723603957749,cnn,8,25
77,6.751723603957749,gan,9,25
77,7.110825534967287,gt,10,25
77,7.110825534967287,bicubic,6,25
77,7.110825534967287,cnn,12,25
77,7.110825534967287,gan,10,25
77,7.469927465976824,gt,10,25
77,7.469927465976824,bicubic,9,25
77,7.469927465976824,cnn,12,25
77,7.469927465976824,gan,19,25
77,7.829029396986362,gt,16,25
77,7.829029396986362,bicubic,17,25
77,7.829029396986362,cnn,25,25
77,7.829029396986362,gan,24,25
77,8.188131327995901,gt,31,25
77,8.188131327995901,bicubic,19,25
77,8.188131327995901,cnn,31,25
77,8.188131327995901,gan,27,25
77,8.547233259005438,gt,28,25
77,8.547233259005438,bicubic,22,25
77,8.547233259005438,cnn,34,25
77,8.547233259005438,gan,30,25
77,8.906335190014975,gt,42,25
77,8.906335190014975,bicubic,23,25
77,8.906335190014975,cnn,35,25
77,8.906335190014975,gan,44,25
77,9.265437121024513,gt,51,25
77,9.265437121024513,bicubic,30,25
77,9.265437121024513,cnn,45,25
77,9.265437121024513,gan,42,25
77,9.624539052034052,gt,53,25
77,9.624539052034052,bicubic,39,25
77,9.624539052034052,cnn,53,25
77,9.624539052034052,gan,56,25
77,9.983640983043589,gt,58,25
77,9.983640983043589,bicubic,41,25
77,9.983640983043589,cnn,57,25
77,9.983640983043589,gan,70,25
77,10.342742914053128,gt,75,25
77,10.342742914053128,bicubic,62,25
77,10.342742914053128,cnn,69,25
77,10.342742914053128,gan,80,25
77,10.701844845062665,gt,90,25
77,10.701844845062665,bicubic,76,25
77,10.701844845062665,cnn,72,25
77,10.701844845062665,gan,81,25
77,11.060946776072203,gt,105,25
77,11.060946776072203,bicubic,72,25
77,11.060946776072203,cnn,85,25
77,11.060946776072203,gan,85,25
77,11.42004870708174,gt,119,25
77,11.42004870708174,bicubic,66,25
77,11.42004870708174,cnn,78,25
77,11.42004870708174,gan,104,25
77,11.779150638091279,gt,123,25
77,11.779150638091279,bicubic,65,25
77,11.779150638091279,cnn,82,25
77,11.779150638091279,gan,109,25
77,12.138252569100816,gt,106,25
77,12.138252569100816,bicubic,61,25
77,12.138252569100816,cnn,81,25
77,12.138252569100816,gan,121,25
77,12.497354500110355,gt,98,25
77,12.497354500110355,bicubic,57,25
77,12.497354500110355,cnn,72,25
77,12.497354500110355,gan,133,25
77,12.856456431119891,gt,93,25
77,12.856456431119891,bicubic,51,25
77,12.856456431119891,cnn,64,25
77,12.856456431119891,gan,117,25
77,13.21555836212943,gt,95,25
77,13.21555836212943,bicubic,43,25
77,13.21555836212943,cnn,57,25
77,13.21555836212943,gan,112,25
77,13.574660293138969,gt,91,25
77,13.574660293138969,bicubic,47,25
77,13.574660293138969,cnn,48,25
77,13.574660293138969,gan,107,25
77,13.933762224148506,gt,88,25
77,13.933762224148506,bicubic,31,25
77,13.933762224148506,cnn,44,25
77,13.933762224148506,gan,86,25
77,14.292864155158044,gt,68,25
77,14.292864155158044,bicubic,25,25
77,14.292864155158044,cnn,35,25
77,14.292864155158044,gan,75,25
77,14.651966086167581,gt,49,25
77,14.651966086167581,bicubic,22,25
77,14.651966086167581,cnn,20,25
77,14.651966086167581,gan,67,25
77,15.01106801717712,gt,38,25
77,15.01106801717712,bicubic,12,25
77,15.01106801717712,cnn,14,25
77,15.01106801717712,gan,54,25
77,15.370169948186657,gt,29,25
77,15.370169948186657,bicubic,11,25
77,15.370169948186657,cnn,14,25
77,15.370169948186657,gan,43,25
77,15.729271879196196,gt,18,25
77,15.729271879196196,bicubic,7,25
77,15.729271879196196,cnn,10,25
77,15.729271879196196,gan,40,25
92,2.2980422949790955,gt,1,25
92,2.2980422949790955,bicubic,1,25
92,2.2980422949790955,cnn,1,25
92,2.2980422949790955,gan,1,25
92,2.6175476442239223,gt,1,25
92,2.6175476442239223,bicubic,1,25
92,2.6175476442239223,cnn,1,25
92,2.6175476442239223,gan,2,25
92,2.9370529934687495,gt,1,25
92,2.9370529934687495,bicubic,1,25
92,2.9370529934687495,cnn,1,25
92,2.9370529934687495,gan,2,25
92,3.2565583427135762,gt,2,25
92,3.2565583427135762,bicubic,1,25
92,3.2565583427135762,cnn,1,25
92,3.2565583427135762,gan,3,25
92,3.576063691958403,gt,2,25
92,3.576063691958403,bicubic,2,25
92,3.576063691958403,cnn,2,25
92,3.576063691958403,gan,2,25
92,3.8955690412032298,gt,6,25
92,3.8955690412032298,bicubic,6,25
92,3.8955690412032298,cnn,6,25
92,3.8955690412032298,gan,5,25
92,4.2150743904480565,gt,14,25
92,4.2150743904480565,bicubic,11,25
92,4.2150743904480565,cnn,9,25
92,4.2150743904480565,gan,13,25
92,4.534579739692884,gt,14,25
92,4.534579739692884,bicubic,9,25
92,4.534579739692884,cnn,10,25
92,4.534579739692884,gan,19,25
92,4.85408508893771,gt,15,25
92,4.85408508893771,bicubic,8,25
92,4.85408508893771,cnn,16,25
92,4.85408508893771,gan,19,25
92,5.173590438182537,gt,24,25
92,5.173590438182537,bicubic,14,25
92,5.173590438182537,cnn,15,25
92,5.173590438182537,gan,19,25
92,5.4930957874273645,gt,23,25
92,5.4930957874273645,bicubic,9,25
92,5.4930957874273645,cnn,16,25
92,5.4930957874273645,gan,19,25
92,5.812601136672191,gt,27,25
92,5.812601136672191,bicubic,14,25
92,5.812601136672191,cnn,18,25
92,5.812601136672191,gan,28,25
92,6.132106485917018,gt,41,25
92,6.132106485917018,bicubic,23,25
92,6.132106485917018,cnn,28,25
92,6.132106485917018,gan,40,25
92,6.451611835161845,gt,39,25
92,6.451611835161845,bicubic,29,25
92,6.451611835161845,cnn,33,25
92,6.451611835161845,gan,63,25
92,6.7711171844066715,gt,56,25
92,6.7711171844066715,bicubic,32,25
92,6.7711171844066715,cnn,35,25
92,6.7711171844066715,gan,66,25
92,7.090622533651498,gt,61,25
92,7.090622533651498,bicubic,27,25
92,7.090622533651498,cnn,36,25
92,7.090622533651498,gan,62,25
92,7.410127882896326,gt,53,25
92,7.410127882896326,bicubic,33,25
92,7.410127882896326,cnn,41,25
92,7.410127882896326,gan,55,25
92,7.729633232141152,gt,57,25
92,7.729633232141152,bicubic,44,25
92,7.729633232141152,cnn,33,25
92,7.729633232141152,gan,54,25
92,8.049138581385979,gt,62,25
92,8.049138581385979,bicubic,43,25
92,8.049138581385979,cnn,31,25
92,8.049138581385979,gan,47,25
92,8.368643930630807,gt,62,25
92,8.368643930630807,bicubic,34,25
92,8.368643930630807,cnn,42,25
92,8.368643930630807,gan,57,25
92,8.688149279875633,gt,67,25
92,8.688149279875633,bicubic,29,25
92,8.688149279875633,cnn,47,25
92,8.688149279875633,gan,63,25
92,9.00765462912046,gt,57,25
92,9.00765462912046,bicubic,30,25
92,9.00765462912046,cnn,49,25
92,9.00765462912046,gan,62,25
92,9.327159978365287,gt,55,25
92,9.327159978365287,bicubic,27,25
92,9.327159978365287,cnn,47,25
92,9.327159978365287,gan,57,25
92,9.646665327610114,gt,56,25
92,9.646665327610114,bicubic,33,25
92,9.646665327610114,cnn,47,25
92,9.646665327610114,gan,65,25
92,9.96617067685494,gt,59,25
92,9.96617067685494,bicubic,35,25
92,9.96617067685494,cnn,37,25
92,9.96617067685494,gan,69,25
92,10.285676026099768,gt,62,25
92,10.285676026099768,bicubic,36,25
92,10.285676026099768,cnn,45,25
92,10.285676026099768,gan,57,25
92,10.605181375344594,gt,56,25
92,10.605181375344594,bicubic,35,25
92,10.605181375344594,cnn,43,25
92,10.605181375344594,gan,57,25
92,10.92468672458942,gt,49,25
92,10.92468672458942,bicubic,30,25
92,10.92468672458942,cnn,33,25
92,10.92468672458942,gan,52,25
92,11.244192073834249,gt,46,25
92,11.244192073834249,bicubic,34,25
92,11.244192073834249,cnn,29,25
92,11.244192073834249,gan,48,25
92,11.563697423079075,gt,46,25
92,11.563697423079075,bicubic,31,25
92,11.563697423079075,cnn,27,25
92,11.563697423079075,gan,48,25
92,11.883202772323902,gt,46,25
92,11.883202772323902,bicubic,31,25
92,11.883202772323902,cnn,27,25
92,11.883202772323902,gan,41,25
92,12.20270812156873,gt,52,25
92,12.20270812156873,bicubic,21,25
92,12.20270812156873,cnn,25,25
92,12.20270812156873,gan,43,25
92,12.522213470813556,gt,31,25
92,12.522213470813556,bicubic,16,25
92,12.522213470813556,cnn,20,25
92,12.522213470813556,gan,42,25
92,12.841718820058382,gt,27,25
92,12.841718820058382,bicubic,18,25
92,12.841718820058382,cnn,19,25
92,12.841718820058382,gan,30,25
92,13.16122416930321,gt,24,25
92,13.16122416930321,bicubic,15,25
92,13.16122416930321,cnn,19,25
92,13.16122416930321,gan,36,25
92,13.480729518548037,gt,28,25
92,13.480729518548037,bicubic,15,25
92,13.480729518548037,cnn,18,25
92,13.480729518548037,gan,33,25
92,13.800234867792863,gt,24,25
92,13.800234867792863,bicubic,12,25
92,13.800234867792863,cnn,14,25
92,13.800234867792863,gan,20,25
92,14.119740217037691,gt,14,25
92,14.119740217037691,bicubic,8,25
92,14.119740217037691,cnn,6,25
92,14.119740217037691,gan,15,25
92,14.439245566282517,gt,7,25
92,14.439245566282517,bicubic,6,25
92,14.439245566282517,cnn,5,25
92,14.439245566282517,gan,12,25
92,14.758750915527344,gt,14,25
92,14.758750915527344,bicubic,10,25
92,14.758750915527344,cnn,10,25
92,14.758750915527344,gan,15,25
154,0.6347885131835938,gt,1,25
154,0.6347885131835938,bicubic,2,25
154,0.6347885131835938,cnn,1,25
154,0.6347885131835938,gan,1,25
154,1.0227647439027443,gt,5,25
154,1.0227647439027443,bicubic,2,25
154,1.0227647439027443,cnn,1,25
154,1.0227647439027443,gan,5,25
154,1.410740974621895,gt,6,25
154,1.410740974621895,bicubic,4,25
154,1.410740974621895,cnn,5,25
154,1.410740974621895,gan,11,25
154,1.7987172053410458,gt,8,25
154,1.7987172053410458,bicubic,9,25
154,1.7987172053410458,cnn,5,25
154,1.7987172053410458,gan,10,25
154,2.1866934360601964,gt,8,25
154,2.1866934360601964,bicubic,7,25
154,2.1866934360601964,cnn,5,25
154,2.1866934360601964,gan,7,25
154,2.574669666779347,gt,7,25
154,2.574669666779347,bicubic,9,25
154,2.574669666779347,cnn,9,25
154,2.574669666779347,gan,5,25
154,2.962645897498498,gt,8,25
154,2.962645897498498,bicubic,9,25
154,2.962645897498498,cnn,13,25
154,2.962645897498498,gan,13,25
154,3.3506221282176485,gt,19,25
154,3.3506221282176485,bicubic,13,25
154,3.3506221282176485,cnn,15,25
154,3.3506221282176485,gan,17,25
154,3.738598358936799,gt,21,25
154,3.738598358936799,bicubic,12,25
154,3.738598358936799,cnn,18,25
154,3.738598358936799,gan,15,25
154,4.12657458965595,gt,17,25
154,4.12657458965595,bicubic,7,25
154,4.12657458965595,cnn,13,25
154,4.12657458965595,gan,16,25
154,4.5145508203751,gt,13,25
154,4.5145508203751,bicubic,8,25
154,4.5145508203751,cnn,14,25
154,4.5145508203751,gan,16,25
154,4.902527051094251,gt,20,25
154,4.902527051094251,bicubic,16,25
154,4.902527051094251,cnn,13,25
154,4.902527051094251,gan,12,25
154,5.290503281813402,gt,26,25
154,5.290503281813402,bicubic,13,25
154,5.290503281813402,cnn,18,25
154,5.290503281813402,gan,13,25
154,5.678479512532553,gt,24,25
154,5.678479512532553,bicubic,13,25
154,5.678479512532553,cnn,20,25
154,5.678479512532553,gan,11,25
154,6.066455743251703,gt,25,25
154,6.066455743251703,bicubic,13,25
154,6.066455743251703,cnn,14,25
154,6.066455743251703,gan,26,25
154,6.454431973970854,gt,29,25
154,6.454431973970854,bicubic,23,25
154,6.454431973970854,cnn,23,25
154,6.454431973970854,gan,26,25
154,6.842408204690004,gt,29,25
154,6.842408204690004,bicubic,25,25
154,6.842408204690004,cnn,27,25
154,6.842408204690004,gan,37,25
154,7.230384435409155,gt,39,25
154,7.230384435409155,bicubic,24,25
154,7.230384435409155,cnn,30,25
154,7.230384435409155,gan,48,25
154,7.618360666128305,gt,57,25
154,7.618360666128305,bicubic,43,25
154,7.618360666128305,cnn,47,25
154,7.618360666128305,gan,48,25
154,8.006336896847456,gt,57,25
154,8.006336896847456,bicubic,38,25
154,8.006336896847456,cnn,49,25
154,8.006336896847456,gan,53,25
154,8.394313127566607,gt,59,25
154,8.394313127566607,bicubic,31,25
154,8.394313127566607,cnn,54,25
154,8.394313127566607,gan,55,25
154,8.782289358285757,gt,57,25
154,8.782289358285757,bicubic,31,25
154,8.782289358285757,cnn,51,25
154,8.782289358285757,gan,67,25
154,9.170265589004908,gt,64,25
154,9.170265589004908,bicubic,31,25
154,9.170265589004908,cnn,59,25
154,9.170265589004908,gan,78,25
154,9.558241819724058,gt,65,25
154,9.558241819724058,bicubic,33,25
154,9.558241819724058,cnn,48,25
154,9.558241819724058,gan,68,25
154,9.94621805044321,gt,51,25
154,9.94621805044321,bicubic,30,25
154,9.94621805044321,cnn,58,25
154,9.94621805044321,gan,65,25
154,10.334194281162361,gt,43,25
154,10.334194281162361,bicubic,29,25
154,10.334194281162361,cnn,52,25
154,10.334194281162361,gan,70,25
154,10.722170511881512,gt,51,25
154,10.722170511881512,bicubic,31,25
154,10.722170511881512,cnn,39,25
154,10.722170511881512,gan,60,25
154,11.110146742600662,gt,53,25
154,11.110146742600662,bicubic,28,25
154,11.110146742600662,cnn,32,25
154,11.110146742600662,gan,59,25
154,11.498122973319813,gt,40,25
154,11.498122973319813,bicubic,23,25
154,11.498122973319813,cnn,29,25
154,11.498122973319813,gan,56,25
154,11.886099204038963,gt,41,25
154,11.886099204038963,bicubic,17,25
154,11.886099204038963,cnn,23,25
154,11.886099204038963,gan,47,25
154,12.274075434758114,gt,32,25
154,12.274075434758114,bicubic,15,25
154,12.274075434758114,cnn,20,25
154,12.274075434758114,gan,40,25
154,12.662051665477264,gt,26,25
154,12.662051665477264,bicubic,14,25
154,12.662051665477264,cnn,19,25
154,12.662051665477264,gan,39,25
154,13.050027896196415,gt,16,25
154,13.050027896196415,bicubic,8,25
154,13.050027896196415,cnn,17,25
154,13.050027896196415,gan,31,25
154,13.438004126915565,gt,19,25
154,13.438004126915565,bicubic,12,25
154,13.438004126915565,cnn,21,25
154,13.438004126915565,gan,25,25
154,13.825980357634716,gt,20,25
154,13.825980357634716,bicubic,11,25
154,13.825980357634716,cnn,20,25
154,13.825980357634716,gan,29,25
