sample_idx,threshold,method,component_count,min_area
6,1.6480026245117188,gt,1,25
6,1.6480026245117188,bicubic,1,25
6,1.6480026245117188,cnn,1,25
6,1.6480026245117188,gan,1,25
6,2.124092102050782,gt,1,25
6,2.124092102050782,bicubic,2,25
6,2.124092102050782,cnn,2,25
6,2.124092102050782,gan,3,25
6,2.600181579589845,gt,3,25
6,2.600181579589845,bicubic,2,25
6,2.600181579589845,cnn,2,25
6,2.600181579589845,gan,6,25
6,3.0762710571289085,gt,2,25
6,3.0762710571289085,bicubic,1,25
6,3.0762710571289085,cnn,1,25
6,3.0762710571289085,gan,6,25
6,3.5523605346679714,gt,1,25
6,3.5523605346679714,bicubic,1,25
6,3.5523605346679714,cnn,1,25
6,3.5523605346679714,gan,6,25
6,4.028450012207035,gt,8,25
6,4.028450012207035,bicubic,4,25
6,4.028450012207035,cnn,5,25
6,4.028450012207035,gan,8,25
6,4.504539489746098,gt,12,25
6,4.504539489746098,bicubic,3,25
6,4.504539489746098,cnn,7,25
6,4.504539489746098,gan,11,25
6,4.980628967285162,gt,8,25
6,4.980628967285162,bicubic,5,25
6,4.980628967285162,cnn,6,25
6,4.980628967285162,gan,12,25
6,5.456718444824224,gt,12,25
6,5.456718444824224,bicubic,5,25
6,5.456718444824224,cnn,10,25
6,5.456718444824224,gan,13,25
6,5.9328079223632875,gt,14,25
6,5.9328079223632875,bicubic,6,25
6,5.9328079223632875,cnn,6,25
6,5.9328079223632875,gan,18,25
6,6.408897399902351,gt,9,25
6,6.408897399902351,bicubic,4,25
6,6.408897399902351,cnn,5,25
6,6.408897399902351,gan,16,25
6,6.884986877441414,gt,10,25
6,6.884986877441414,bicubic,2,25
6,6.884986877441414,cnn,6,25
6,6.884986877441414,gan,13,25
6,7.361076354980478,gt,14,25
6,7.361076354980478,bicubic,7,25
6,7.361076354980478,cnn,8,25
6,7.361076354980478,gan,13,25
6,7.837165832519541,gt,18,25
6,7.837165832519541,bicubic,10,25
6,7.837165832519541,cnn,8,25
6,7.837165832519541,gan,18,25
6,8.313255310058604,gt,18,25
6,8.313255310058604,bicubic,12,25
6,8.313255310058604,cnn,10,25
6,8.313255310058604,gan,28,25
6,8.789344787597667,gt,27,25
6,8.789344787597667,bicubic,16,25
6,8.789344787597667,cnn,17,25
6,8.789344787597667,gan,22,25
6,9.26543426513673,gt,48,25
6,9.26543426513673,bicubic,22,25
6,9.26543426513673,cnn,27,25
6,9.26543426513673,gan,38,25
6,9.741523742675794,gt,52,25
6,9.741523742675794,bicubic,29,25
6,9.741523742675794,cnn,37,25
6,9.741523742675794,gan,52,25
6,10.217613220214856,gt,61,25
6,10.217613220214856,bicubic,34,25
6,10.217613220214856,cnn,42,25
6,10.217613220214856,gan,56,25
6,10.69370269775392,gt,59,25
6,10.69370269775392,bicubic,34,25
6,10.69370269775392,cnn,48,25
6,10.69370269775392,gan,58,25
6,11.169792175292983,gt,64,25
6,11.169792175292983,bicubic,43,25
6,11.169792175292983,cnn,52,25
6,11.169792175292983,gan,68,25
6,11.645881652832047,gt,78,25
6,11.645881652832047,bicubic,45,25
6,11.645881652832047,cnn,53,25
6,11.645881652832047,gan,77,25
6,12.12197113037111,gt,76,25
6,12.12197113037111,bicubic,42,25
6,12.12197113037111,cnn,58,25
6,12.12197113037111,gan,76,25
6,12.598060607910172,gt,59,25
6,12.598060607910172,bicubic,26,25
6,12.598060607910172,cnn,59,25
6,12.598060607910172,gan,74,25
6,13.074150085449237,gt,53,25
6,13.074150085449237,bicubic,34,25
6,13.074150085449237,cnn,51,25
6,13.074150085449237,gan,62,25
6,13.550239562988299,gt,58,25
6,13.550239562988299,bicubic,28,25
6,13.550239562988299,cnn,53,25
6,13.550239562988299,gan,52,25
6,14.026329040527363,gt,59,25
6,14.026329040527363,bicubic,32,25
6,14.026329040527363,cnn,48,25
6,14.026329040527363,gan,56,25
6,14.502418518066426,gt,59,25
6,14.502418518066426,bicubic,28,25
6,14.502418518066426,cnn,46,25
6,14.502418518066426,gan,55,25
6,14.978507995605488,gt,52,25
6,14.978507995605488,bicubic,28,25
6,14.978507995605488,cnn,38,25
6,14.978507995605488,gan,59,25
6,15.454597473144553,gt,45,25
6,15.454597473144553,bicubic,25,25
6,15.454597473144553,cnn,39,25
6,15.454597473144553,gan,54,25
6,15.930686950683615,gt,44,25
6,15.930686950683615,bicubic,27,25
6,15.930686950683615,cnn,47,25
6,15.930686950683615,gan,51,25
6,16.406776428222678,gt,41,25
6,16.406776428222678,bicubic,30,25
6,16.406776428222678,cnn,44,25
6,16.406776428222678,gan,59,25
6,16.88286590576174,gt,42,25
6,16.88286590576174,bicubic,26,25
6,16.88286590576174,cnn,36,25
6,16.88286590576174,gan,60,25
6,17.358955383300803,gt,44,25
6,17.358955383300803,bicubic,25,25
6,17.358955383300803,cnn,38,25
6,17.358955383300803,gan,51,25
6,17.83504486083987,gt,46,25
6,17.83504486083987,bicubic,28,25
6,17.83504486083987,cnn,40,25
6,17.83504486083987,gan,41,25
6,18.31113433837893,gt,44,25
6,18.31113433837893,bicubic,23,25
6,18.31113433837893,cnn,43,25
6,18.31113433837893,gan,32,25
6,18.787223815917994,gt,42,25
6,18.787223815917994,bicubic,21,25
6,18.787223815917994,cnn,36,25
6,18.787223815917994,gan,29,25
6,19.26331329345706,gt,36,25
6,19.26331329345706,bicubic,19,25
6,19.26331329345706,cnn,32,25
6,19.26331329345706,gan,27,25
6,19.739402770996122,gt,27,25
6,19.739402770996122,bicubic,10,25
6,19.739402770996122,cnn,24,25
6,19.739402770996122,gan,21,25
6,20.215492248535185,gt,21,25
6,20.215492248535185,bicubic,8,25
6,20.215492248535185,cnn,20,25
6,20.215492248535185,gan,16,25
12,1.6174774169921875,gt,2,25
12,1.6174774169921875,bicubic,1,25
12,1.6174774169921875,cnn,1,25
12,1.6174774169921875,gan,1,25
12,2.0521705823066907,gt,2,25
12,2.0521705823066907,bicubic,1,25
12,2.0521705823066907,cnn,2,25
12,2.0521705823066907,gan,1,25
12,2.486863747621194,gt,3,25
12,2.486863747621194,bicubic,1,25
12,2.486863747621194,cnn,1,25
12,2.486863747621194,gan,1,25
12,2.921556912935697,gt,3,25
12,2.921556912935697,bicubic,1,25
12,2.921556912935697,cnn,3,25
12,2.921556912935697,gan,2,25
12,3.3562500782502003,gt,2,25
12,3.3562500782502003,bicubic,2,25
12,3.3562500782502003,cnn,3,25
12,3.3562500782502003,gan,3,25
12,3.7909432435647035,gt,2,25
12,3.7909432435647035,bicubic,2,25
12,3.7909432435647035,cnn,2,25
12,3.7909432435647035,gan,3,25
12,4.225636408879207,gt,4,25
12,4.225636408879207,bicubic,3,25
12,4.225636408879207,cnn,3,25
12,4.225636408879207,gan,2,25
12,4.66032957419371,gt,5,25
12,4.66032957419371,bicubic,3,25
12,4.66032957419371,cnn,4,25
12,4.66032957419371,gan,4,25
12,5.095022739508213,gt,4,25
12,5.095022739508213,bicubic,4,25
12,5.095022739508213,cnn,7,25
12,5.095022739508213,gan,6,25
12,5.529715904822716,gt,7,25
12,5.529715904822716,bicubic,10,25
12,5.529715904822716,cnn,9,25
12,5.529715904822716,gan,6,25
12,5.964409070137219,gt,16,25
12,5.964409070137219,bicubic,7,25
12,5.964409070137219,cnn,10,25
12,5.964409070137219,gan,11,25
12,6.399102235451723,gt,20,25
12,6.399102235451723,bicubic,11,25
12,6.399102235451723,cnn,10,25
12,6.399102235451723,gan,15,25
12,6.833795400766226,gt,19,25
12,6.833795400766226,bicubic,15,25
12,6.833795400766226,cnn,10,25
12,6.833795400766226,gan,21,25
12,7.268488566080729,gt,23,25
12,7.268488566080729,bicubic,19,25
12,7.268488566080729,cnn,21,25
12,7.268488566080729,gan,26,25
12,7.703181731395232,gt,27,25
12,7.703181731395232,bicubic,23,25
12,7.703181731395232,cnn,18,25
12,7.703181731395232,gan,25,25
12,8.137874896709736,gt,32,25
12,8.137874896709736,bicubic,19,25
12,8.137874896709736,cnn,22,25
12,8.137874896709736,gan,31,25
12,8.572568062024239,gt,34,25
12,8.572568062024239,bicubic,24,25
12,8.572568062024239,cnn,27,25
12,8.572568062024239,gan,27,25
12,9.007261227338741,gt,35,25
12,9.007261227338741,bicubic,26,25
12,9.007261227338741,cnn,30,25
12,9.007261227338741,gan,31,25
12,9.441954392653244,gt,48,25
12,9.441954392653244,bicubic,31,25
