sample,node_distance,branch_distance,structure_distance,mt_composite_distance
s0,7756,1292,0.39817218818128325,0.8698442401686726
s1,8604,1434,0.2726235741447547,0.8308776917851944
s2,6310,1052,0.33333333333331794,0.6155560038653587
s3,3246,541,0.1301732435030984,0.0
s4,8182,1363,0.419334361113473,0.947243996516113
