sample_idx,pos_idx,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded1344,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded1344
0,0,24.134665676048332,4.87256383895874
1,1,23.58815483662396,4.746598243713379
2,2,24.391466108242973,5.411447048187256
3,3,24.068172281288252,4.878787517547607
4,4,23.755945613518154,6.451077461242676
5,5,24.871843572586368,6.679134845733643
6,6,26.170888490912066,5.332922458648682
7,7,27.336444604710824,5.994727611541748
8,8,27.446268182815007,6.254417896270752
9,9,26.448708784215484,5.180883407592773
10,10,26.77937433570625,5.630354404449463
11,11,25.5400669371995,5.847664833068848
12,12,26.953902797958154,5.773396015167236
13,13,26.663401678590628,6.128868103027344
14,14,25.378113381985443,5.3583269119262695
15,15,23.096734830442745,5.303914546966553
16,16,21.039674090238133,4.7770304679870605
17,17,19.220075523719363,4.070334434509277
18,18,18.977691466447755,4.389728546142578
19,19,18.847264662775583,4.8730621337890625
20,20,20.117773455857975,5.476926803588867
21,21,24.714696825014958,7.406793594360352
22,22,29.825159958929795,6.372803688049316
23,23,31.76165680118926,6.365808963775635
24,24,32.82237894894517,6.094042778015137
25,25,32.86246026556674,7.067273139953613
26,26,31.307180651807492,8.209037780761719
27,27,33.30505298775021,6.0978007316589355
28,28,34.94979213136333,7.870831489562988
29,29,36.16166259717563,8.265060424804688
30,30,36.17467200369104,7.481481552124023
31,31,36.22337224346666,6.572882175445557
32,32,35.131098689703656,6.672192096710205
33,33,34.97646510747039,6.512493133544922
34,34,34.5453817034577,6.794615268707275
35,35,33.28562251350148,6.002215385437012
36,36,33.594356606633724,6.320159912109375
37,37,31.538193913383854,6.227227687835693
38,38,27.680754579074318,6.484895706176758
39,39,23.364839570729362,5.533632755279541
40,40,22.646066954160034,5.0821967124938965
41,41,21.385995225246234,5.4390716552734375
42,42,20.209447802325403,5.523715496063232
43,43,18.995439543516976,6.032110214233398
44,44,18.188921704862686,6.052783966064453
45,45,18.834348211717636,6.1761155128479
46,46,18.586544090541146,6.253790855407715
47,47,19.43962633740783,6.270729064941406
48,48,20.04213591309035,6.521711826324463
49,49,19.396178458613196,6.0429558753967285
50,50,18.68415630003579,6.508005619049072
51,51,19.070941667622172,5.60154390335083
52,52,19.263030227543634,6.361167907714844
53,53,19.443640013421188,5.558924198150635
54,54,20.303654720183772,5.879416465759277
55,55,21.03836428585863,5.515347003936768
56,56,21.450497331552587,6.337259769439697
57,57,21.63465930573236,5.0681586265563965
58,58,22.53650258898574,5.871009826660156
59,59,22.645936455568627,5.1908488273620605
60,60,22.636688033969364,5.540738582611084
61,61,23.2207737711614,5.184885025024414
62,62,24.43348831858873,5.9448699951171875
63,63,24.698778712222552,6.484604835510254
64,64,21.415969279706825,5.375650882720947
65,65,19.64754630745666,5.040696620941162
66,66,18.364262087893273,4.845625400543213
67,67,17.93903797027294,4.207074165344238
68,68,18.907545570863473,4.817516326904297
69,69,21.46203815939217,4.552017688751221
70,70,22.23082065235632,4.549895286560059
71,71,22.541549130871758,5.227211952209473
72,72,23.32625251595469,4.593830585479736
73,73,24.729491858704357,4.632842540740967
74,74,25.644510645473954,5.185988903045654
75,75,26.12561941096318,5.361238956451416
76,76,26.690499621337803,6.087035179138184
77,77,26.284542642384203,4.8747639656066895
78,78,26.5025593698615,5.578691005706787
79,79,27.08030067723913,5.5560197830200195
80,80,26.590363753172443,4.678295135498047
81,81,26.030114726490474,5.022491931915283
82,82,25.297244157754346,5.259140491485596
83,83,25.249019676834774,4.875720500946045
84,84,25.964039157023375,5.032242774963379
85,85,25.624456459538138,5.374516010284424
86,86,26.130543910607695,5.569002151489258
87,87,26.080376666981238,6.574192523956299
88,88,22.711239156003575,5.65665340423584
89,89,21.754968588547623,5.155548572540283
90,90,20.267195561595344,4.921310901641846
91,91,20.254600213121986,5.220800399780273
92,92,20.549060696418444,5.479778289794922
93,93,23.249957148242913,6.460312843322754
94,94,24.743247006131686,5.577208518981934
95,95,25.92494287381567,5.555802345275879
96,96,27.600084351242558,6.054904937744141
97,97,28.561892962770003,4.9359130859375
98,98,29.03488346001583,6.66750431060791
99,99,28.758393964634497,5.314699649810791
100,100,28.70042375051139,4.855998992919922
101,101,28.3288537279441,5.3606181144714355
102,102,27.148604645232957,4.674551010131836
103,103,27.65033062662794,5.2935638427734375
104,104,27.33945975642406,4.779775619506836
105,105,27.52179869657199,5.23551607131958
106,106,27.60064505220295,5.670897960662842
107,107,26.851281641247645,5.873683929443359
108,108,27.30494939709542,5.905740261077881
109,109,26.68938396942193,5.107217788696289
110,110,26.937203165449965,5.7818779945373535
111,111,26.048957067428802,5.827333450317383
112,112,25.828149177132364,5.430025100708008
113,113,24.784689748744754,5.631868362426758
114,114,23.20479597243853,5.302544116973877
115,115,24.027770331139024,5.553749084472656
116,116,24.519574809214983,6.179104328155518
117,117,26.03000213846591,6.171052932739258
118,118,27.40073175206609,6.373936653137207
119,119,27.283270230259014,5.003609657287598
120,120,26.91598740756574,5.37883186340332
121,121,27.760519600546388,4.811117649078369
122,122,26.67506526415006,5.121285438537598
123,123,26.351707852651792,4.987584114074707
124,124,26.58495260144972,5.448456287384033
125,125,25.360818471133424,4.994458198547363
126,126,25.54687421800271,4.937921047210693
127,127,27.22252076521426,4.878698825836182
128,128,26.000253506763954,4.7321906089782715
129,129,26.670696355676387,5.473334312438965
130,130,26.84654193024724,5.7502760887146
131,131,29.207744926012175,6.844967842102051
132,132,30.09833874297991,6.875920295715332
133,133,29.85219950014653,6.382965087890625
134,134,28.00162462070459,7.010110378265381
135,135,25.880570792031726,4.858409404754639
136,136,24.608361088467912,4.5622124671936035
137,137,23.778036187787873,4.307172775268555
138,138,23.48988936648048,4.330409049987793
139,139,22.937746765979433,4.458431720733643
140,140,24.514508788388515,6.282834053039551
141,141,28.035502176608276,6.248913288116455
142,142,30.110041014406367,6.714161396026611
143,143,29.112090742842764,6.217108726501465
144,144,28.693686088680966,6.176837921142578
145,145,27.585220558244362,5.5613579750061035
146,146,27.036123818410132,5.953732013702393
147,147,25.47606932748,5.714833736419678
148,148,24.868037198014957,5.689364910125732
149,149,23.874762968193213,5.610456943511963
150,150,22.354193082410365,4.946905136108398
151,151,22.70281717634811,5.552336692810059
152,152,22.560896866837254,5.56335973739624
153,153,23.120406798786103,6.218494892120361
154,154,22.550118873567218,6.525035381317139
155,155,23.385647848325203,6.462539196014404
156,156,23.498048962815062,4.759979724884033
157,157,24.46841378486783,4.505707263946533
158,158,26.06870012658736,6.084487438201904
159,159,23.578880491359115,6.035693645477295
160,160,21.25184911474962,4.9854254722595215
161,161,19.781204200307716,5.811315059661865
162,162,19.390050137102612,4.566898822784424
163,163,20.55967273846405,5.044702529907227
164,164,21.820258564651226,4.987048149108887
165,165,23.170977626959672,4.671262741088867
166,166,24.345460526424866,5.220871925354004
167,167,24.298310322828144,5.467661380767822
