sample_idx,pos_idx,pd_distance_candidateDpd_expanded672,mt_distance_candidateDpd_expanded672
0,0,26.666529560233784,4.804713249206543
1,1,27.199775833907864,5.912221431732178
2,2,27.452083035047494,4.980316162109375
3,3,27.968919037346232,5.464405059814453
4,4,27.708096972154433,5.136021137237549
5,5,29.30090129760922,4.940623760223389
6,6,29.882078653392675,7.656750202178955
7,7,30.802761801711558,5.756718635559082
8,8,30.8505226878246,7.913834571838379
9,9,29.91158559965135,5.991115570068359
10,10,30.858865427505354,7.05263090133667
11,11,30.100621457411876,6.434135913848877
12,12,31.489942343391363,7.009599685668945
13,13,30.48861839111176,6.679831027984619
14,14,29.563098759906453,5.895854949951172
15,15,27.497804686690518,5.42793607711792
16,16,24.624581415359515,6.081127166748047
17,17,21.822812166218604,5.459958553314209
18,18,21.572367685368768,6.394485950469971
19,19,22.00970603975246,7.26243782043457
20,20,23.17746912226685,7.04727029800415
21,21,28.506264351140146,8.98764419555664
22,22,35.07438544210578,9.608089447021484
23,23,36.99166333187084,8.039383888244629
24,24,38.09014840425633,6.573113918304443
25,25,38.98809601813567,6.65621280670166
26,26,38.82793225529149,6.539699554443359
27,27,40.22094253730661,6.639596939086914
28,28,41.87183498496704,7.852927207946777
29,29,42.00668184970029,7.334672927856445
30,30,42.44885057067635,7.244046211242676
31,31,41.63269474743874,8.004610061645508
32,32,40.681196575303325,7.238312244415283
33,33,40.475954676783736,7.355075836181641
34,34,39.64954590985346,7.434180736541748
35,35,38.50488433183661,7.748749256134033
36,36,37.93253014414966,6.408791542053223
37,37,36.088028954165985,7.100253582000732
38,38,31.521392073340564,7.8017354011535645
39,39,27.464594058334722,6.526381492614746
40,40,25.965436978003623,6.837894916534424
41,41,24.75303472892471,5.801996231079102
42,42,22.823372862578083,6.265374183654785
43,43,21.6325609172476,5.965972423553467
44,44,20.588149282437204,6.444589614868164
45,45,21.202463172095595,6.5168962478637695
46,46,21.32218881793605,6.471496105194092
47,47,22.604589120490502,6.472858905792236
48,48,23.305180804883612,7.049919128417969
49,49,22.627724010382174,6.969578742980957
50,50,21.681815742656553,6.301584720611572
51,51,22.26117298105159,5.846235275268555
52,52,22.501899337358566,5.855659484863281
53,53,22.521388464745026,5.47814416885376
54,54,23.427874748844275,5.7834248542785645
55,55,24.134434557674155,5.300041198730469
56,56,24.742329037560264,5.666345596313477
57,57,25.368472813995695,5.778736114501953
58,58,25.97630332713742,6.387360572814941
59,59,26.2132964823289,5.827877521514893
60,60,26.28625899822967,5.533708095550537
61,61,26.229440816048378,5.726202011108398
62,62,28.06038241571139,7.413676738739014
63,63,29.024274936942682,7.8436665534973145
64,64,25.167975236349683,6.372583866119385
65,65,22.58212251705824,5.900317192077637
66,66,21.500012515889978,5.973415851593018
67,67,21.14447623018022,5.273502826690674
68,68,22.233528047784482,6.438769340515137
69,69,24.93980706539931,5.51934814453125
70,70,25.55878649089108,5.77507209777832
71,71,26.358919932457205,5.195189476013184
72,72,27.223228718934163,4.946654319763184
73,73,27.93642202034783,5.295748710632324
74,74,29.110029474721106,5.018452167510986
75,75,30.1191095661006,5.644851207733154
76,76,30.772042518392308,5.621290683746338
77,77,30.444486749796713,6.406846523284912
78,78,30.895409979640593,6.392919063568115
79,79,30.779447671679275,7.307291030883789
80,80,30.61781878564777,7.060382843017578
81,81,30.385907650224723,6.8297953605651855
82,82,29.725230381350695,7.847750663757324
83,83,28.932906258819905,6.730490207672119
84,84,29.57118919554255,6.183201789855957
85,85,29.349005061936467,5.827697277069092
86,86,29.85054906371362,5.433422565460205
87,87,30.293164031931454,6.946260929107666
88,88,27.019174151933452,6.598159313201904
89,89,24.837167190713444,6.6478590965271
90,90,22.935836631760463,5.446591377258301
91,91,23.16317424083461,5.826524257659912
92,92,23.00349244380346,5.688666820526123
93,93,25.807430248470567,6.8780717849731445
94,94,26.274968334272142,5.754510879516602
95,95,28.703371924873643,5.171990871429443
96,96,30.46847405671444,5.453520774841309
97,97,31.66836657633646,5.156149387359619
98,98,32.687068911985875,5.103975296020508
99,99,32.37767342877527,5.663589000701904
100,100,32.29668445739447,6.419517517089844
101,101,31.60198180816144,5.800354480743408
102,102,30.37843096436391,5.216141223907471
103,103,30.716774964720038,5.400722980499268
104,104,30.17101225499294,5.006143569946289
105,105,30.184332056133705,5.289511203765869
106,106,30.8931416582941,6.010871887207031
107,107,30.45720337678478,5.616254806518555
108,108,29.641213553290534,5.794633865356445
109,109,29.781528363636824,5.397735595703125
110,110,30.247635631655207,6.0661091804504395
111,111,28.96692467104607,5.702212333679199
112,112,28.47912782336571,5.587779521942139
113,113,27.11303651972489,5.511675834655762
114,114,25.660177917946513,5.10959005355835
115,115,26.500005561855748,4.776047229766846
116,116,26.526291358222714,5.548544406890869
117,117,28.717912633816727,5.498927593231201
118,118,29.949877601348017,7.072665691375732
119,119,29.093085701526142,5.326563835144043
120,120,29.52245535016481,5.272160530090332
121,121,30.315612151172285,5.504561424255371
122,122,29.171533262927067,5.721761226654053
123,123,30.0595090313203,6.599393367767334
124,124,29.194102834639953,6.343603134155273
125,125,29.401181836276855,6.0935540199279785
126,126,28.908160334740785,5.2842888832092285
127,127,30.967929273943568,5.4600701332092285
128,128,29.730683778169745,5.90425968170166
129,129,31.059273194534168,6.198476314544678
130,130,31.75242841968506,6.850015163421631
131,131,34.42722898604499,7.649085998535156
132,132,35.477200792556836,8.286794662475586
133,133,36.17650585638963,8.383330345153809
134,134,33.96644175649384,7.689846038818359
135,135,31.562577010094866,7.519644737243652
136,136,29.28019275607811,7.300861358642578
137,137,28.12862400102356,5.5858001708984375
138,138,27.48545063587404,5.989367485046387
139,139,26.72457931517799,6.2858567237854
140,140,28.185381673155337,6.255383491516113
141,141,31.492320028152193,6.857907772064209
142,142,33.44200119514561,7.9101152420043945
143,143,33.21924994635254,6.849758148193359
144,144,33.84598532944112,6.000586986541748
145,145,32.52773042703913,6.413402080535889
146,146,31.622513328248147,6.852281093597412
147,147,29.27190339655358,6.271339416503906
148,148,28.84007129344994,5.537680149078369
149,149,27.63035760655034,6.382401943206787
150,150,26.294141632371563,5.731736183166504
151,151,25.93897283064447,6.0866546630859375
152,152,26.203291817544816,5.836772918701172
153,153,26.224100631282255,6.626781463623047
