sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateDpd_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateDpd_expanded672,pd_winner_before,pd_winner_after_candidateDpd_expanded672,mt_winner_before,mt_winner_after_candidateDpd_expanded672,was_mt_gan_win_before
44,44,19.781150575177055,13.855413188888303,20.588149282437204,6.20600700378418,7.041088581085205,6.444589614868164,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,21.202463172095595,6.566225528717041,6.773196697235107,6.5168962478637695,gan,gan,cnn,candidateDpd_expanded672,0
46,46,20.678325640697178,16.27228595124608,21.32218881793605,6.243154048919678,6.650214672088623,6.471496105194092,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,22.604589120490502,6.789880752563477,7.498397350311279,6.472858905792236,gan,gan,cnn,candidateDpd_expanded672,0
48,48,22.832495463547907,13.107025960847848,23.305180804883612,7.081502437591553,6.682991981506348,7.049919128417969,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,22.627724010382174,6.3195295333862305,7.889017105102539,6.969578742980957,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,21.681815742656553,6.3856120109558105,6.713321685791016,6.301584720611572,gan,gan,cnn,candidateDpd_expanded672,0
51,51,21.75849079768097,16.03686368056312,22.26117298105159,5.902731418609619,7.996896266937256,5.846235275268555,gan,gan,cnn,candidateDpd_expanded672,0
52,52,21.81632996072092,16.98731478928289,22.501899337358566,5.69123649597168,7.0050048828125,5.855659484863281,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,22.521388464745026,5.261850833892822,7.919146537780762,5.47814416885376,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,23.427874748844275,5.500187397003174,9.581897735595703,5.7834248542785645,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,24.134434557674155,5.2683796882629395,7.846588134765625,5.300041198730469,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,24.742329037560264,5.488292217254639,7.826909065246582,5.666345596313477,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,25.368472813995695,5.463809013366699,6.805661201477051,5.778736114501953,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,25.97630332713742,6.08959436416626,8.349846839904785,6.387360572814941,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,26.2132964823289,5.546851634979248,7.89148473739624,5.827877521514893,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,26.28625899822967,5.321651458740234,8.357301712036133,5.533708095550537,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,26.229440816048378,5.346891403198242,8.12722110748291,5.726202011108398,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,28.06038241571139,6.720277786254883,6.650205135345459,7.413676738739014,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,29.024274936942682,7.660599708557129,7.5776286125183105,7.8436665534973145,gan,gan,gan,gan,1
64,64,24.7100597287657,16.701032359601633,25.167975236349683,5.944510459899902,7.137726306915283,6.372583866119385,gan,gan,cnn,cnn,0
65,65,22.148883751156426,16.23947552161985,22.58212251705824,5.820770263671875,5.576780319213867,5.900317192077637,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,21.500012515889978,5.701828956604004,6.4086198806762695,5.973415851593018,gan,gan,cnn,cnn,0
