sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded1344,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded1344,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded1344,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.271280479767068,5.051645278930664,9.748218536376953,4.795422077178955,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
1,1,24.612518312283534,22.38874396250744,28.844461124903415,4.678010940551758,11.978342056274414,5.005164623260498,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.50121829375124,4.894824504852295,8.343221664428711,5.25002908706665,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,29.51415825999445,4.794641017913818,9.753995895385742,4.748133659362793,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
4,4,24.810879874900778,22.91065989660919,29.628733191560496,4.892229080200195,8.064751625061035,5.215967655181885,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,30.42587396241582,5.628478050231934,6.406379699707031,5.257114887237549,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
6,6,28.068979766562435,24.045087776300683,31.161162721816357,6.144000053405762,6.0106329917907715,5.9471564292907715,gan,gan,gan,candidateUV_plus_crit_expanded1344,1
7,7,29.26973016135952,22.553824952557566,30.95202047405881,5.672351837158203,7.113770008087158,5.434166431427002,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
8,8,29.63505050414828,23.282081530392528,31.018178220102953,7.50956392288208,6.055016040802002,6.220794677734375,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,30.03103106000851,5.768454551696777,6.291722297668457,5.800755500793457,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,30.594559077518568,6.634506702423096,7.423793315887451,5.827301025390625,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
11,11,28.68732565326105,24.969867761946066,30.405857039171472,5.910721302032471,7.831723690032959,6.111456394195557,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,30.812694174201777,6.61636209487915,5.913707256317139,6.380777359008789,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.072365883153946,6.0738348960876465,7.402252674102783,6.282902240753174,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.003276274116704,5.448930263519287,5.877835750579834,5.344322204589844,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
15,15,26.322356943691645,19.148010639364745,27.154135191002,5.097294807434082,5.86716890335083,5.189888954162598,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.384365232034995,5.464188098907471,5.255205154418945,5.818585395812988,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,22.15321067657845,5.2896833419799805,4.8487091064453125,4.990766525268555,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.537133116820424,6.258571624755859,5.554356575012207,5.1821088790893555,gan,gan,gan,candidateUV_plus_crit_expanded1344,1
19,19,21.064082150885508,19.086676411603058,21.117211132225325,6.927988529205322,5.44291353225708,5.78901481628418,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,22.766206183391873,6.254051208496094,5.689126491546631,6.294865131378174,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,27.85257051836324,8.127616882324219,10.817054748535156,7.858988285064697,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
22,22,32.693467082501115,26.801086541907566,35.1187172256045,8.081520080566406,8.346701622009277,6.90671968460083,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
23,23,34.476953302920876,29.144574221491347,36.530726699561384,6.907674789428711,8.497876167297363,6.8780341148376465,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
24,24,35.75728371567695,29.65320138308241,37.165699348611966,7.21915864944458,12.067601203918457,6.852166175842285,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
25,25,36.58411526021696,30.123491475362258,37.89317342204217,11.371563911437988,10.501462936401367,6.3319091796875,gan,gan,gan,candidateUV_plus_crit_expanded1344,1
26,26,35.02599363200026,30.779316467464,38.33406682963267,7.043282985687256,11.28821849822998,6.55578088760376,gan,gan,cnn,candidateUV_plus_crit_expanded1344,0
27,27,36.89696946573002,30.945378681968467,39.88809750628197,6.4783101081848145,19.968429565429688,6.594762802124023,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,40.527841320681794,7.210402011871338,14.947399139404297,7.361095905303955,gan,gan,cnn,cnn,0
