method_id,metric,cnn_mean,candidate_mean,mean_raw_delta,mean_improvement_delta,median_improvement_delta,n_improved,n_worsened,n_tied,n_valid
bicubic,psnruv,31.192500433861134,32.22024489796834,1.0277444641072029,1.0277444641072029,0.9856644365572613,168,0,0,168
bicubic,ssim_speed,,,,,,,,,0
bicubic,speed_mae,0.6940701629397319,0.596289377222885,-0.09778078571684681,0.09778078571684681,0.09872785766255626,168,0,0,168
bicubic,speed_rmse,1.1077586003651096,1.0156229105954462,-0.09213568976966333,0.09213568976966333,0.08687177789903111,168,0,0,168
bicubic,wpd_mae,231.67091095165674,193.54026913735314,-38.1306418143036,38.1306418143036,35.06789580866423,168,0,0,168
bicubic,wpd_w1,45.27127092112853,55.51034812461865,10.23907720349012,-10.23907720349012,-6.870661504857818,61,107,0,168
bicubic,wpd_bias_abs,35.343902938857745,41.22437202840623,5.880469089548486,-5.880469089548486,-1.1509120862871214,78,90,0,168
bicubic,grad_mae,0.3490557204526641,0.3696363608464772,0.0205806403938131,-0.0205806403938131,-0.019488129729619413,9,159,0,168
bicubic,grad_w1,0.23294292018237558,0.3281883217175685,0.09524540153519293,-0.09524540153519293,-0.08420626814665962,0,168,0,168
bicubic,grad_kurtosis_abs_delta,3.7003760441443694,6.616287724880248,2.9159116807358787,-2.9159116807358787,-3.507457407019105,32,136,0,168
bicubic,psd_log_l2,0.8335247431666106,1.3625464052880067,0.5290216621213962,-0.5290216621213962,-0.4464283399289225,0,168,0,168
bicubic,psd_slope_abs_delta,0.9150108562505738,1.6683939052516956,0.7533830490011217,-0.7533830490011217,-0.6264906148791475,0,168,0,168
bicubic,exceed_abs_t5,0.004242333333333336,0.009455761904761911,0.0052134285714285755,-0.0052134285714285755,-0.005431999999999992,17,151,0,168
bicubic,exceed_abs_t10,0.006580809523809519,0.00851180952380952,0.0019310000000000009,-0.0019310000000000009,-0.0013100000000000056,55,113,0,168
bicubic,exceed_abs_t15,0.0062105,0.007366833333333333,0.0011563333333333339,-0.0011563333333333339,-0.0007660000000000193,59,108,1,168
bicubic,exceed_abs_p90,0.010253619047619053,0.01089626190476191,0.0006426428571428582,-0.0006426428571428582,-0.000779999999999996,72,96,0,168
bicubic,comp_curve_l1,115.52777777777779,173.18551587301587,57.657738095238095,-57.657738095238095,-54.08333333333333,0,168,0,168
bicubic,comp_abs_t5,64.38095238095238,79.29166666666667,14.910714285714286,-14.910714285714286,-12.0,2,161,5,168
bicubic,comp_abs_t10,187.16666666666666,271.8154761904762,84.64880952380952,-84.64880952380952,-80.5,0,168,0,168
bicubic,comp_abs_t15,116.80952380952381,177.57738095238096,60.767857142857146,-60.767857142857146,-58.5,0,167,1,168
bicubic,pd_distance,,,,,,,,,0
bicubic,mt_distance,,,,,,,,,0
gan,psnruv,31.192500433861134,29.137980689020093,-2.0545197448410435,-2.0545197448410435,-2.0738365705928032,0,168,0,168
gan,ssim_speed,,,,,,,,,0
