method_id,metric,total_rows,finite_rows,missing_rows,missing_reason
speed_only,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
speed_only,grad_mae,168,0,168,no_source_artifact_found_in_repository
speed_only,grad_w1,168,0,168,no_source_artifact_found_in_repository
speed_only,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
speed_only,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
speed_only,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
speed_only,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
speed_only,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
speed_only,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
speed_only,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
speed_only,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
speed_only,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
speed_only,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
speed_only,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
speed_only,pd_distance,168,0,168,no_source_artifact_found_in_repository
speed_only,mt_distance,168,0,168,no_source_artifact_found_in_repository
levelset_only,psnruv,168,0,168,no_source_artifact_found_in_repository
levelset_only,ssim_speed,168,0,168,no_source_artifact_found_in_repository
levelset_only,speed_mae,168,0,168,no_source_artifact_found_in_repository
levelset_only,speed_rmse,168,0,168,no_source_artifact_found_in_repository
levelset_only,wpd_mae,168,0,168,no_source_artifact_found_in_repository
levelset_only,wpd_w1,168,0,168,no_source_artifact_found_in_repository
levelset_only,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
levelset_only,grad_mae,168,0,168,no_source_artifact_found_in_repository
levelset_only,grad_w1,168,0,168,no_source_artifact_found_in_repository
levelset_only,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
levelset_only,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
levelset_only,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
