sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded2688,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded2688,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,27.961022123694107,5.051645278930664,9.748218536376953,4.583003520965576,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
1,1,24.612518312283534,22.38874396250744,28.54489409884922,4.678010940551758,11.978342056274414,4.7765421867370605,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.497481388900912,4.894824504852295,8.343221664428711,5.243886947631836,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,29.57926748570136,4.794641017913818,9.753995895385742,4.714677333831787,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
4,4,24.810879874900778,22.91065989660919,29.871593354300188,4.892229080200195,8.064751625061035,5.076377868652344,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,30.385742870338664,5.628478050231934,6.406379699707031,5.147954940795898,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
6,6,28.068979766562435,24.045087776300683,31.032325472689422,6.144000053405762,6.0106329917907715,5.397988796234131,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
7,7,29.26973016135952,22.553824952557566,30.757099235899933,5.672351837158203,7.113770008087158,5.415857315063477,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
8,8,29.63505050414828,23.282081530392528,30.73769953674657,7.50956392288208,6.055016040802002,5.956171035766602,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
9,9,28.65602837253281,23.481609150211327,29.840870985768397,5.768454551696777,6.291722297668457,5.504138469696045,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
10,10,29.696969860459554,24.710016041893063,30.51146833470435,6.634506702423096,7.423793315887451,5.708462238311768,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
11,11,28.68732565326105,24.969867761946066,30.257212225496314,5.910721302032471,7.831723690032959,6.18409538269043,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,30.617460790468826,6.61636209487915,5.913707256317139,6.255368709564209,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,29.825531602783883,6.0738348960876465,7.402252674102783,6.239598751068115,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,28.937541331594993,5.448930263519287,5.877835750579834,5.276679515838623,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
15,15,26.322356943691645,19.148010639364745,26.856344746018127,5.097294807434082,5.86716890335083,5.24662971496582,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.27295234899512,5.464188098907471,5.255205154418945,5.774531364440918,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,21.926702527822417,5.2896833419799805,4.8487091064453125,5.121531963348389,gan,gan,gan,gan,1
