sample_idx,pos_idx,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_candidateUV_plus_crit_expanded2688
0,0,27.961022123694107,4.583003520965576
1,1,28.54489409884922,4.7765421867370605
2,2,29.497481388900912,5.243886947631836
3,3,29.57926748570136,4.714677333831787
4,4,29.871593354300188,5.076377868652344
5,5,30.385742870338664,5.147954940795898
6,6,31.032325472689422,5.397988796234131
7,7,30.757099235899933,5.415857315063477
8,8,30.73769953674657,5.956171035766602
9,9,29.840870985768397,5.504138469696045
10,10,30.51146833470435,5.708462238311768
11,11,30.257212225496314,6.18409538269043
12,12,30.617460790468826,6.255368709564209
13,13,29.825531602783883,6.239598751068115
14,14,28.937541331594993,5.276679515838623
15,15,26.856344746018127,5.24662971496582
16,16,24.27295234899512,5.774531364440918
17,17,21.926702527822417,5.121531963348389
18,18,21.455517475907705,5.249941825866699
19,19,21.006138489569878,5.415663719177246
20,20,22.587730781534265,5.8532633781433105
21,21,27.797122458460972,7.820071220397949
22,22,35.0001572445284,6.931274890899658
23,23,36.438693768989964,6.375072956085205
24,24,37.216316336985365,6.3263983726501465
25,25,38.18746096758409,6.246894836425781
26,26,38.53241195218692,6.520733833312988
27,27,40.1456833282029,6.24064826965332
28,28,40.96085141271673,7.349212169647217
29,29,41.76440300219963,6.563238620758057
30,30,41.534116484415506,6.739446640014648
31,31,41.666720738074815,6.706269264221191
32,32,40.5294678265745,6.69329309463501
33,33,39.87602178966761,6.507835865020752
34,34,39.17444132515953,6.783775806427002
35,35,38.4306414002763,6.240119457244873
36,36,38.118519409803575,5.944934368133545
37,37,36.25876632850707,6.346960067749023
38,38,32.85022922525019,6.3289289474487305
39,39,27.985642067254272,5.334965705871582
40,40,25.899784456121882,5.802631378173828
41,41,24.397136623738287,5.702155590057373
42,42,22.289800492179218,5.790728569030762
43,43,20.782431388815354,5.794510841369629
44,44,19.507922504270933,6.356598377227783
45,45,20.336046560900527,6.452759742736816
46,46,19.654394471292875,6.260787487030029
47,47,20.735707990835063,6.532431602478027
48,48,21.783944141402742,6.953740119934082
49,49,21.75268376171549,6.586709976196289
50,50,21.357587716215516,6.211559772491455
51,51,21.639229135133082,5.781176567077637
52,52,22.408479406794775,5.683382511138916
53,53,22.83162923130759,5.25453519821167
54,54,23.777497658752278,5.39348030090332
55,55,24.555346891417983,5.925946235656738
56,56,25.322504144183533,5.546879768371582
57,57,25.57604568547057,5.8180670738220215
58,58,26.35301279173742,5.752843856811523
59,59,26.636267556455635,5.4675822257995605
60,60,27.09426714977486,5.95731258392334
61,61,27.195474479861755,5.851151943206787
62,62,28.662453753715486,6.800365924835205
63,63,29.484012239684844,7.232892990112305
64,64,24.964384961547854,5.696527004241943
65,65,23.030750593845095,5.4403076171875
66,66,21.530374214490347,5.358762264251709
67,67,21.05487092995534,4.78212833404541
68,68,21.93892913921896,5.3598785400390625
69,69,25.13074025225807,5.2156195640563965
70,70,25.78170891344985,5.086774826049805
71,71,26.67527313164425,5.521751880645752
72,72,28.006686215457968,5.409239768981934
73,73,29.290980152841787,5.403845310211182
74,74,30.24755995426502,5.931797981262207
75,75,30.823286509210533,5.4814300537109375
76,76,31.414262199330174,5.547604084014893
77,77,31.298812330019842,5.521617412567139
