sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded672,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded672,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded672,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.431499559846777,5.051645278930664,9.748218536376953,4.967445373535156,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
1,1,24.612518312283534,22.38874396250744,29.02113800385921,4.678010940551758,11.978342056274414,5.18433141708374,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.820971753323523,4.894824504852295,8.343221664428711,5.2622456550598145,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,29.527199350449592,4.794641017913818,9.753995895385742,4.8094682693481445,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,29.451639756757196,4.892229080200195,8.064751625061035,5.028853893280029,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,30.48774023277517,5.628478050231934,6.406379699707031,4.9457879066467285,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
6,6,28.068979766562435,24.045087776300683,31.101919663910973,6.144000053405762,6.0106329917907715,5.903473854064941,gan,gan,gan,candidateUV_plus_crit_expanded672,1
7,7,29.26973016135952,22.553824952557566,31.25720675793442,5.672351837158203,7.113770008087158,5.556735515594482,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
8,8,29.63505050414828,23.282081530392528,31.39653445474737,7.50956392288208,6.055016040802002,6.330691814422607,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,30.70270210791523,5.768454551696777,6.291722297668457,5.8255767822265625,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,31.06867370519991,6.634506702423096,7.423793315887451,5.876976490020752,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
11,11,28.68732565326105,24.969867761946066,30.81388374322111,5.910721302032471,7.831723690032959,6.046174049377441,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.420514574846035,6.61636209487915,5.913707256317139,6.4888458251953125,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.540207378606873,6.0738348960876465,7.402252674102783,6.466909885406494,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.60391687434023,5.448930263519287,5.877835750579834,5.196345806121826,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
15,15,26.322356943691645,19.148010639364745,27.60129056269255,5.097294807434082,5.86716890335083,5.193461894989014,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.75598748487163,5.464188098907471,5.255205154418945,6.14636754989624,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,22.546003410889387,5.2896833419799805,4.8487091064453125,5.3665056228637695,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.84734098596138,6.258571624755859,5.554356575012207,5.696915149688721,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,21.587025003565753,6.927988529205322,5.44291353225708,6.317209243774414,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,23.261627117368064,6.254051208496094,5.689126491546631,6.736040115356445,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.513130713241484,8.127616882324219,10.817054748535156,8.491796493530273,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,35.495551918757144,8.081520080566406,8.346701622009277,8.023685455322266,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
23,23,34.476953302920876,29.144574221491347,36.9549451402423,6.907674789428711,8.497876167297363,9.005509376525879,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,38.017021087102,7.21915864944458,12.067601203918457,8.566534042358398,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,38.71078790285752,11.371563911437988,10.501462936401367,6.511971950531006,gan,gan,gan,candidateUV_plus_crit_expanded672,1
26,26,35.02599363200026,30.779316467464,39.068025103994806,7.043282985687256,11.28821849822998,6.31610107421875,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
27,27,36.89696946573002,30.945378681968467,40.51313659382161,6.4783101081848145,19.968429565429688,6.177271842956543,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
28,28,38.33189346230645,30.74946233279523,41.644528191818544,7.210402011871338,14.947399139404297,7.170141696929932,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
29,29,38.84347398326436,31.752977463202388,42.12854743323653,6.963974952697754,12.864243507385254,6.370787143707275,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
30,30,39.94080457344863,30.82310921065586,42.1359085340086,8.127463340759277,14.847400665283203,7.054193019866943,gan,gan,cnn,candidateUV_plus_crit_expanded672,0
