sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_expanded672,pd_winner_before,pd_winner_after_candidateUV_expanded672,mt_winner_before,mt_winner_after_candidateUV_expanded672,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.939104496990247,5.051645278930664,9.748218536376953,5.323958873748779,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,29.755640267962274,4.678010940551758,11.978342056274414,5.604276180267334,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,30.339104338534955,4.894824504852295,8.343221664428711,5.853096961975098,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,30.17406652751889,4.794641017913818,9.753995895385742,5.395479679107666,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,30.25476390298184,4.892229080200195,8.064751625061035,5.94559907913208,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,31.222604778914153,5.628478050231934,6.406379699707031,5.337310314178467,gan,gan,cnn,candidateUV_expanded672,0
6,6,28.068979766562435,24.045087776300683,31.762003568388828,6.144000053405762,6.0106329917907715,6.483312606811523,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,31.692048676057126,5.672351837158203,7.113770008087158,5.895730495452881,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,31.845699716977716,7.50956392288208,6.055016040802002,6.842514514923096,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,31.07951173178796,5.768454551696777,6.291722297668457,6.152915954589844,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,31.40299586967235,6.634506702423096,7.423793315887451,6.084785461425781,gan,gan,cnn,candidateUV_expanded672,0
11,11,28.68732565326105,24.969867761946066,31.14193161086896,5.910721302032471,7.831723690032959,6.1698408126831055,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.695218845856452,6.61636209487915,5.913707256317139,6.744840145111084,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.82839809529981,6.0738348960876465,7.402252674102783,6.529496192932129,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.867205123166627,5.448930263519287,5.877835750579834,5.4159746170043945,gan,gan,cnn,candidateUV_expanded672,0
15,15,26.322356943691645,19.148010639364745,27.839515120003636,5.097294807434082,5.86716890335083,5.266677379608154,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.991294711988832,5.464188098907471,5.255205154418945,6.246784687042236,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,22.796704688930898,5.2896833419799805,4.8487091064453125,5.493874549865723,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,22.142379280330484,6.258571624755859,5.554356575012207,5.861330032348633,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,21.82598887418948,6.927988529205322,5.44291353225708,6.382251739501953,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,23.490300239084632,6.254051208496094,5.689126491546631,6.993072509765625,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.82925007704579,8.127616882324219,10.817054748535156,8.670454025268555,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,35.73274233402788,8.081520080566406,8.346701622009277,8.710586547851562,gan,gan,cnn,cnn,0
