sample_idx,pos_idx,pd_distance_candidateUV_expanded672,mt_distance_candidateUV_expanded672
0,0,28.939104496990247,5.323958873748779
1,1,29.755640267962274,5.604276180267334
2,2,30.339104338534955,5.853096961975098
3,3,30.17406652751889,5.395479679107666
4,4,30.25476390298184,5.94559907913208
5,5,31.222604778914153,5.337310314178467
6,6,31.762003568388828,6.483312606811523
7,7,31.692048676057126,5.895730495452881
8,8,31.845699716977716,6.842514514923096
9,9,31.07951173178796,6.152915954589844
10,10,31.40299586967235,6.084785461425781
11,11,31.14193161086896,6.1698408126831055
12,12,31.695218845856452,6.744840145111084
13,13,30.82839809529981,6.529496192932129
14,14,29.867205123166627,5.4159746170043945
15,15,27.839515120003636,5.266677379608154
16,16,24.991294711988832,6.246784687042236
17,17,22.796704688930898,5.493874549865723
18,18,22.142379280330484,5.861330032348633
19,19,21.82598887418948,6.382251739501953
20,20,23.490300239084632,6.993072509765625
21,21,28.82925007704579,8.670454025268555
22,22,35.73274233402788,8.710586547851562
23,23,37.22362843066007,9.729082107543945
24,24,38.55479390758259,9.233296394348145
25,25,39.31265251680793,7.290420055389404
26,26,39.645946066615615,6.330503463745117
27,27,40.90775047337934,6.316188335418701
28,28,42.229715021793965,7.675159931182861
29,29,42.69131854459184,6.864408016204834
30,30,42.614058628778146,7.622725963592529
31,31,42.67304060767897,8.260756492614746
32,32,41.34848449745715,7.527502536773682
33,33,40.67943861216939,7.737592697143555
34,34,40.1391078903162,6.937010288238525
35,35,39.715656499114914,7.168717861175537
36,36,39.81061377806331,6.7780375480651855
37,37,37.8176194647133,7.2641425132751465
38,38,34.35810046523893,7.828703880310059
39,39,29.276938621525616,7.026734352111816
40,40,26.746864848950892,7.771803379058838
41,41,24.990755790598733,6.244667053222656
42,42,22.745418680799133,6.237277507781982
43,43,21.211426590895705,6.5585761070251465
44,44,19.902653246884846,6.219371318817139
45,45,20.562820666416787,6.531257629394531
46,46,19.843418735491635,6.268191814422607
47,47,20.756588298232636,6.567615985870361
48,48,21.765067936362435,7.715969085693359
49,49,21.930973177171154,6.644313812255859
50,50,21.475028023164864,6.119278907775879
51,51,21.892590393181578,5.855401992797852
52,52,22.859715039352878,5.759952545166016
53,53,23.215268675394174,5.3969221115112305
54,54,24.23009431353847,6.027756690979004
55,55,25.18337741070141,5.632924556732178
56,56,25.781454361401945,6.214223861694336
57,57,26.082590880046762,6.063709735870361
58,58,26.848479596817175,6.523279666900635
59,59,27.23195712848595,6.062037944793701
60,60,27.689254207758978,6.130936622619629
61,61,27.973500633605738,6.318042278289795
62,62,29.356182828118747,7.3829755783081055
63,63,29.9465892145453,7.249678134918213
64,64,25.545566359605367,6.1572794914245605
65,65,23.475988230293442,5.872260570526123
66,66,21.939637187457077,5.370534896850586
67,67,21.25015540574088,5.112674713134766
68,68,22.319254604916477,5.659657955169678
69,69,25.372931011634066,5.698652267456055
70,70,26.13609153806539,5.588468074798584
71,71,27.4875646332201,5.884310722351074
72,72,28.73870230895317,6.367228031158447
73,73,30.025190596906082,6.796149730682373
74,74,31.054107951446486,6.851531505584717
75,75,31.85723190398049,6.426957130432129
76,76,32.26719517852619,6.3860344886779785
77,77,32.288357969571884,6.889401912689209
78,78,31.9354967365345,7.207922458648682
79,79,31.88037447737354,7.469167232513428
80,80,31.626877201223166,6.570042610168457
81,81,31.773865092753145,6.204824924468994
82,82,31.20417001951764,6.998894214630127
83,83,30.966358828953624,6.307563781738281
84,84,31.23363041895291,6.205726146697998
85,85,30.963608592117353,6.026936054229736
86,86,31.414758400586965,6.011622428894043
87,87,31.936170475404086,7.261602878570557
88,88,28.53326264329466,6.375549793243408
89,89,25.853392283780337,5.934210777282715
90,90,23.98922875818379,5.68634033203125
91,91,24.281477866106524,6.1218180656433105
92,92,25.017995845040907,5.73654317855835
93,93,28.53571249229959,6.327853202819824
94,94,29.8682021033355,5.968140125274658
95,95,31.164680523195358,6.116203784942627
96,96,33.33547986455976,5.575012683868408
97,97,33.82760874162688,5.673298358917236
98,98,34.38956688805707,5.694643974304199
99,99,34.57746470766842,6.767449378967285
100,100,33.90020270602464,6.5560173988342285
101,101,32.977244792122775,6.713263034820557
102,102,32.08603390785467,6.565515995025635
103,103,32.57120081900264,5.966434001922607
104,104,32.1026924851445,5.580850124359131
105,105,31.98021200953202,6.077353000640869
106,106,31.973442029965657,6.539116382598877
107,107,31.597438309192512,6.160129547119141
108,108,31.629579389821508,6.605930328369141
109,109,31.15020176641996,5.968392848968506
110,110,31.72293692395159,6.485038757324219
111,111,30.52971458675172,6.42271089553833
112,112,30.15037092084076,6.651872634887695
113,113,28.75314835931376,5.989518165588379
114,114,27.50739460796784,5.922835826873779
115,115,28.068151616031667,5.721619606018066
116,116,29.016517339301817,5.708434581756592
117,117,30.309606766571694,5.946569442749023
118,118,32.01974136807026,6.405542373657227
119,119,31.912421756555553,5.902411937713623
120,120,31.301621704103184,5.160177707672119
121,121,31.95012589577545,5.446978569030762
122,122,31.403967311440674,5.921317100524902
123,123,31.39704856273616,6.042855262756348
124,124,30.92238908241407,5.965834617614746
125,125,30.465144515373076,5.3620195388793945
126,126,30.240818260286446,4.966367244720459
127,127,32.04460690959038,5.69411563873291
128,128,31.04811199400172,5.591694355010986
