sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
40,candidateC_1344,1344,candidateC,0.04543980978295259,0.04733813437761125,True,True
41,candidateC_1344,1344,candidateC,0.045649455457443255,0.048066739593384034,True,True
42,candidateC_1344,1344,candidateC,0.04274903915823591,0.04994568261742094,True,True
43,candidateC_1344,1344,candidateC,0.04387691321460885,0.05056070018032721,True,True
44,candidateC_1344,1344,candidateC,0.04361729797973868,0.051025794710174766,True,True
45,candidateC_1344,1344,candidateC,0.04467708936293169,0.05732843721499403,True,True
46,candidateC_1344,1344,candidateC,0.04910606158667907,0.06526453670398258,True,True
47,candidateC_1344,1344,candidateC,0.0528775398384248,0.06619187552328654,True,True
48,candidateC_1344,1344,candidateC,0.0497486133518068,0.059213213610934234,True,True
49,candidateC_1344,1344,candidateC,0.045299566650795264,0.059124800513233766,True,True
50,candidateC_1344,1344,candidateC,0.05270766743686117,0.06018990061716489,True,True
51,candidateC_1344,1344,candidateC,0.051476770516727055,0.0575334312681548,True,True
52,candidateC_1344,1344,candidateC,0.048001340920276414,0.05568742158847373,True,True
53,candidateC_1344,1344,candidateC,0.04669429708457129,0.05449627092304021,True,True
54,candidateC_1344,1344,candidateC,0.046846386361607206,0.05420621059327779,True,True
