method,sample_idx,psnr,ssim,speed_mae,speed_rmse,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_delta,grad_mae,grad_w1,grad_kurtosis_delta,exceed_err_5ms,exceed_err_10ms,exceed_err_15ms,exceed_err_20ms,exceed_err_p90,exceed_err_p95,exceed_err_p99,exceed_frac_abs_delta_t5,exceed_frac_abs_delta_t10,exceed_frac_abs_delta_t15,exceed_frac_abs_delta_p90,exceed_frac_abs_delta_p95,exceed_frac_abs_delta_p99
bicubic,137,32.756333659942214,0.764498731734941,0.6070681347869094,0.9701679486062372,-30.386520460797268,187.2050130342944,334.7101159439278,46.86006908842622,1.2943819363368934,1.3166677727795744,0.3430998725602227,0.29167615597143365,-3.2822175489734597,0.0041240000000000165,0.0121119999999999,-0.011268,-0.0047840000000000035,-0.005936000000000011,-0.005252,-0.002576,0.004124,0.012112,0.011268,0.005896,0.005204,0.002576
cnn,138,30.923115787616826,0.7345947240605916,0.7094856006393949,1.0514109350835097,-36.00356416964121,227.6993972398805,377.8008102107469,43.58960240930418,0.7405061077789175,0.6057020288353412,0.32298551912571627,0.2126344251674928,10.637752077265041,0.0013119999999999798,0.0041959999999999775,-0.014203999999999994,-0.008519999999999996,-0.006004000000000009,-0.01038,-0.004968,0.001312,0.004196,0.014204,0.005992,0.010288,0.004964
gan,138,28.70658021157634,0.6164402312363038,0.9342915635871807,1.3908553356817641,111.01472568846665,300.8218177704412,524.5502065634413,112.33815064003987,0.46474569519552883,0.3218556547901721,0.36633519498611083,0.046721864604642074,14.022540118663851,-0.00027200000000005,0.04065999999999992,0.024611999999999967,0.006904,0.011004,0.0077999999999999944,0.0007360000000000005,0.000272,0.04066,0.024608,0.011016,0.007892,0.00074
bicubic,138,32.32569247911747,0.7647975734088157,0.584323967947562,0.9374963182930381,-29.79262007060541,179.42074199364797,321.09148766015966,45.55188855787298,1.1768556007861446,1.2805657552635354,0.3285772005654783,0.2787389095352326,-0.22481422883408442,0.0036999999999999256,0.011047999999999947,-0.012804000000000038,-0.004971999999999997,-0.006344000000000002,-0.005304000000000003,-0.0020840000000000008,0.0037,0.011048,0.012804,0.006332,0.005212,0.00208
cnn,139,31.006029575172285,0.7345335074897213,0.6942973385382393,1.0314533583424483,-38.21314878988569,217.3470610790734,362.8982060677286,47.20329345591432,0.7296695339637999,0.5648913865632479,0.32343991722425175,0.21222655184535333,11.122034205989104,0.0028080000000000327,0.007888000000000006,-0.014279999999999987,-0.007731999999999999,-0.005808000000000008,-0.0057960000000000025,-0.00402,0.002808,0.007888,0.01428,0.005772,0.005724,0.004
gan,139,28.612799749597436,0.6139106133617606,0.9292299939620001,1.3721969980089344,114.28848288271939,291.61421597974135,500.8752820162178,114.33333887239502,0.42994250830240766,0.21753624052677933,0.3646766477799843,0.04696742714698119,14.448415273492676,0.000260000000000038,0.04133999999999993,0.02729999999999999,0.005136000000000002,0.00985599999999999,0.006252000000000001,0.0015879999999999991,0.00026,0.04134,0.0273,0.009892,0.006324,0.001608
bicubic,139,32.24879149978557,0.7621018681873222,0.5767502802835229,0.925493103958223,-30.978296941523286,172.57630072510437,311.6541679641794,46.489439799204824,1.1274362949219865,1.1758765728709384,0.32955452180849987,0.282899990192067,1.2318567890162253,0.0031320000000000237,0.011851999999999974,-0.012143999999999988,-0.004663999999999998,-0.006592000000000001,-0.005144000000000003,-0.00268,0.003132,0.011852,0.012144,0.006556,0.005072,0.00266
cnn,140,31.17207241010233,0.7302568277197992,0.6975575322672677,1.0400838569670554,-33.47277610972332,207.62988793087194,347.13814514531197,42.49667264295904,0.8085623813563755,0.45894806684955247,0.33695274429818783,0.23171608075687733,8.95868109595238,0.0017319999999999558,0.0023560000000000247,-0.012320000000000025,-0.0052239999999999995,-0.008284,-0.004004000000000001,-0.003268,0.001732,0.002356,0.01232,0.008276,0.003944,0.003268
gan,140,28.891977428236512,0.6131062829525684,0.9341757420913628,1.3791812755105224,110.74632816493003,281.7777980027325,481.79827186825133,110.81088682538343,0.3941752046286842,0.10514227249453567,0.370056267576379,0.047092547820997116,14.615544411092346,0.0007920000000000149,0.04902400000000007,0.023191999999999963,0.004024,0.0102,0.008383999999999996,0.0015359999999999992,0.000792,0.049024,0.023192,0.010208,0.008444,0.001536
bicubic,140,32.25101888722988,0.7488886640931628,0.5996382650636322,0.9530727526692454,-32.36313215603014,171.73282606487615,307.6402447121656,46.87309050406608,1.2008517916219272,1.0858104376786004,0.3501016193947967,0.30651961362764824,2.5983837917870414,0.0036640000000000006,0.00816400000000006,-0.012560000000000016,-0.004827999999999999,-0.008272000000000002,-0.005692000000000003,-0.003312,0.003664,0.008164,0.01256,0.008264,0.005632,0.003312
cnn,141,30.10978115671071,0.694691464221572,0.79495650359721,1.1901611680851092,-28.05346081290346,218.39746607424792,365.90496118360124,37.262325045766296,0.9231457640078651,0.23678507781904834,0.39568471682116174,0.27462391852898865,12.758839030828316,0.0046560000000001045,0.0026160000000000627,-0.012111999999999984,-0.0025839999999999995,-0.0072560000000000124,-0.0041040000000000035,-0.00266,0.004656,0.002616,0.012112,0.007148,0.004092,0.002644
gan,141,27.95126444657976,0.58500368238564,1.049131400505031,1.5548868245617662,126.4757515697181,299.5162219470845,525.2518886756168,126.47871641560938,0.3793995572333651,-0.07245072068347991,0.42537945909586233,0.04857511189535227,9.99911291276322,0.0019360000000000488,0.047124000000000055,0.02887200000000001,0.005176,0.016843999999999998,0.010791999999999996,0.0049759999999999995,0.001936,0.047124,0.028872,0.016952,0.010804,0.004992
