run,sample_idx,SR_chi_L1,SR_chi_L2,SR_chi_max,BIC_chi_L1,BIC_chi_L2,BIC_chi_max,tmin,tmax
GAN_MRHR,0,91.95999908447266,116.9227066040039,284.0,204.39999389648438,282.31939697265625,601.0,0.0335693359375,17.77397918701172
GAN_MRHR,1,40.560001373291016,55.48225021362305,153.0,76.4800033569336,139.5714874267578,438.0,0.006103515625,17.96929931640625
GAN_MRHR,2,31.739999771118164,47.543453216552734,146.0,36.060001373291016,49.01856994628906,132.0,0.0152587890625,21.84209442138672
GAN_MRHR,3,160.3000030517578,249.45785522460938,759.0,296.1000061035156,494.12493896484375,1482.0,0.048828125,29.72808074951172
GAN_MRHR,4,45.560001373291016,62.15818405151367,152.0,115.81999969482422,155.4420166015625,342.0,0.0457763671875,23.76781463623047
CNN_MRHR,0,152.66000366210938,210.96885681152344,456.0,204.39999389648438,282.31939697265625,601.0,0.0335693359375,17.77397918701172
CNN_MRHR,1,60.79999923706055,120.40913391113281,398.0,76.4800033569336,139.5714874267578,438.0,0.006103515625,17.96929931640625
CNN_MRHR,2,28.219999313354492,42.48929214477539,120.0,36.060001373291016,49.01856994628906,132.0,0.0152587890625,21.84209442138672
CNN_MRHR,3,199.3800048828125,392.0620422363281,1227.0,296.1000061035156,494.12493896484375,1482.0,0.048828125,29.72808074951172
CNN_MRHR,4,80.95999908447266,111.04882049560547,286.0,115.81999969482422,155.4420166015625,342.0,0.0457763671875,23.76781463623047
