figure_id,panel_order,panel_group,panel_type,method_id,source_path,final_visible_status
6,5,scripted_per_method,speed_fields,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/speed_fields_f3_grad_crit.png,visible
6,6,scripted_per_method,speed_fields,f2_grad_levelset_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/speed_fields_f2_grad_levelset_e2.png,visible
6,7,scripted_per_method,speed_fields,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/speed_fields_uv_e2.png,visible
6,8,scripted_per_method,error_maps,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/error_maps_cnn.png,visible
6,9,scripted_per_method,error_maps,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/error_maps_gan.png,visible
6,10,scripted_per_method,error_maps,candidate_c,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/error_maps_candidate_c.png,visible
6,11,scripted_per_method,error_maps,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/error_maps_f3_grad_crit.png,visible
6,12,scripted_per_method,error_maps,f2_grad_levelset_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/error_maps_f2_grad_levelset_e2.png,visible
6,13,scripted_per_method,error_maps,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/error_maps_uv_e2.png,visible
6,14,scripted_figure_level,pd_mt_comparison_compact,,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/pd_mt_comparison_compact.png,visible
6,15,scripted_figure_level,metric_strip,,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_06_global_agreement/metric_strip.png,visible
