sample_idx,pos_idx,pd_distance_candidateE2,mt_distance_candidateE2
0,0,24.921940348438614,4.915406227111816
1,1,25.246755090922957,4.899394512176514
2,2,25.770899146567743,5.1660637855529785
3,3,25.61204731753427,4.99519157409668
4,4,25.34743750821771,4.711513996124268
5,5,27.74398025908826,5.33901309967041
6,6,28.737591332444453,6.509223461151123
7,7,30.022585261355015,5.734275817871094
8,8,30.34215895724924,7.564978122711182
9,9,29.61026325670142,5.69171142578125
10,10,30.72056175779499,6.821280002593994
11,11,29.953619788862333,6.06754207611084
12,12,31.42952823568321,6.852024078369141
13,13,30.401141619986404,6.704500198364258
14,14,29.351569395498156,5.84738302230835
15,15,27.38396935673882,5.462040901184082
16,16,24.641717608596455,6.245529651641846
17,17,21.780532441494657,5.4445343017578125
18,18,21.458011176670762,6.325807571411133
19,19,21.920994754840613,7.18292236328125
20,20,23.118222327709454,6.9131669998168945
21,21,28.37010787034914,8.984506607055664
22,22,34.662369035474306,9.466564178466797
23,23,36.63675617798633,7.462748050689697
24,24,37.57054846383428,6.119217395782471
25,25,38.618981210821346,7.695071220397949
26,26,37.97740962734721,6.152072906494141
27,27,39.21145203347996,6.551331520080566
28,28,41.13413626215326,7.42561674118042
29,29,41.240410105232726,6.8482842445373535
30,30,41.838981047412894,6.933385372161865
31,31,40.84788925341893,6.975780963897705
32,32,40.11538259072981,6.612490653991699
33,33,39.877596388389925,6.611151695251465
34,34,38.916024934093265,6.405431747436523
35,35,37.76641601466175,7.122549057006836
36,36,37.14963272417577,6.163757801055908
37,37,35.06261099299405,6.319820404052734
38,38,30.575437841479587,6.743630409240723
39,39,26.754513311165294,6.23399019241333
40,40,25.352490982295805,6.465548992156982
41,41,24.108734471769136,5.4374189376831055
42,42,22.315155345535924,5.965879917144775
43,43,21.35012617837168,6.189363956451416
44,44,20.294207281610614,6.28621768951416
45,45,20.96386450585447,6.608054161071777
46,46,21.041584792605285,6.3354668617248535
47,47,22.28600065196482,6.731667518615723
48,48,23.10026302283922,6.889229774475098
49,49,22.30857785374813,6.379955291748047
50,50,21.385411240271665,6.213052272796631
51,51,21.886598363681898,5.993113994598389
52,52,22.03101893378234,5.846640110015869
53,53,22.097324596810445,5.367271900177002
54,54,23.132318957944566,5.792768955230713
55,55,23.76037826781544,5.289385795593262
56,56,24.43945882443005,5.616914749145508
57,57,25.1846293218008,5.713089942932129
58,58,25.810609898412732,6.1709184646606445
59,59,26.061082005161197,5.714182376861572
60,60,26.179547734698215,5.878750801086426
61,61,26.069285497795367,5.619718551635742
62,62,27.918175500153424,7.378791809082031
