label,start_sample,end_sample,length,sample_ids
mt_gan,6,6,1,6
mt_gan,8,8,1,8
mt_gan,12,12,1,12
mt_gan,16,20,5,16 17 18 19 20
mt_gan,25,25,1,25
mt_gan,48,48,1,48
mt_gan,62,63,2,62 63
mt_gan,65,65,1,65
mt_gan,68,68,1,68
mt_gan,77,77,1,77
mt_gan,79,80,2,79 80
mt_gan,82,82,1,82
mt_gan,92,92,1,92
mt_gan,154,154,1,154
