sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda,was_mt_gan_win_before
42,42,21.63035540369367,14.632793364821667,21.626359856897274,5.757840156555176,7.383090972900391,5.652921676635742,gan,gan,cnn,candidateE2_fixed_lowlambda,0
43,43,20.76816702008209,13.784137402758168,20.72788541275481,5.7682366371154785,7.053122520446777,5.802372455596924,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,19.690684761406917,6.20600700378418,7.041088581085205,6.254818916320801,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,20.46586617834374,6.566225528717041,6.773196697235107,7.08784818649292,gan,gan,cnn,cnn,0
46,46,20.678325640697178,16.27228595124608,20.643239887398458,6.243154048919678,6.650214672088623,6.322768211364746,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,22.19209080243049,6.789880752563477,7.498397350311279,6.80165433883667,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,22.809237404016088,7.081502437591553,6.682991981506348,7.003897190093994,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,22.28382581427762,6.3195295333862305,7.889017105102539,6.766592502593994,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,21.201492771144416,6.3856120109558105,6.713321685791016,6.20015287399292,gan,gan,cnn,candidateE2_fixed_lowlambda,0
51,51,21.75849079768097,16.03686368056312,21.89868568101363,5.902731418609619,7.996896266937256,5.891014099121094,gan,gan,cnn,candidateE2_fixed_lowlambda,0
52,52,21.81632996072092,16.98731478928289,21.933564443096255,5.69123649597168,7.0050048828125,5.874540328979492,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,21.908218544630415,5.261850833892822,7.919146537780762,5.239847183227539,gan,gan,cnn,candidateE2_fixed_lowlambda,0
54,54,22.97915159360149,18.305326668249773,23.011069397022393,5.500187397003174,9.581897735595703,5.649879455566406,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,23.523963277771355,5.2683796882629395,7.846588134765625,5.40993070602417,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,24.180562187897305,5.488292217254639,7.826909065246582,5.311093330383301,gan,gan,cnn,candidateE2_fixed_lowlambda,0
57,57,24.937493176964292,18.354637384973643,24.69410303273673,5.463809013366699,6.805661201477051,5.287048816680908,gan,gan,cnn,candidateE2_fixed_lowlambda,0
58,58,25.56121844001433,18.762904108038654,25.452973874690027,6.08959436416626,8.349846839904785,5.651062488555908,gan,gan,cnn,candidateE2_fixed_lowlambda,0
59,59,25.864386079507888,18.65101850934172,25.66699286246615,5.546851634979248,7.89148473739624,5.376734733581543,gan,gan,cnn,candidateE2_fixed_lowlambda,0
60,60,25.964725332360167,18.604905025455473,25.811098569234908,5.321651458740234,8.357301712036133,5.180720806121826,gan,gan,cnn,candidateE2_fixed_lowlambda,0
61,61,25.73100039673249,19.516031588862035,25.58119149249985,5.346891403198242,8.12722110748291,5.115292549133301,gan,gan,cnn,candidateE2_fixed_lowlambda,0
62,62,27.46350343812835,17.993686869301147,27.290709143820727,6.720277786254883,6.650205135345459,6.601563453674316,gan,gan,gan,candidateE2_fixed_lowlambda,1
63,63,28.524583670890912,18.199751597271156,28.210836052018827,7.660599708557129,7.5776286125183105,6.844184398651123,gan,gan,gan,candidateE2_fixed_lowlambda,1
64,64,24.7100597287657,16.701032359601633,24.50033387776137,5.944510459899902,7.137726306915283,5.643299579620361,gan,gan,cnn,candidateE2_fixed_lowlambda,0
65,65,22.148883751156426,16.23947552161985,22.02920348799645,5.820770263671875,5.576780319213867,5.5945844650268555,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,20.83833352869084,5.701828956604004,6.4086198806762695,5.862654209136963,gan,gan,cnn,cnn,0
67,67,20.679919922717943,14.773695042869097,20.53700516093304,5.030301094055176,6.6433844566345215,4.773962020874023,gan,gan,cnn,candidateE2_fixed_lowlambda,0
68,68,21.77134223692748,15.500930745161975,21.63906044818298,6.074338436126709,5.670867919921875,5.746967792510986,gan,gan,gan,gan,1
69,69,24.168055816700438,16.112222498232782,24.086376873861262,5.17050838470459,6.406604290008545,4.976260185241699,gan,gan,cnn,candidateE2_fixed_lowlambda,0
70,70,24.673819113934496,19.882401938586153,24.600879699398952,5.396136283874512,5.861793041229248,5.346954345703125,gan,gan,cnn,candidateE2_fixed_lowlambda,0
71,71,25.505047306429027,18.465741214218955,25.337936444302343,5.1588335037231445,7.186563014984131,5.0747551918029785,gan,gan,cnn,candidateE2_fixed_lowlambda,0
72,72,26.514111621573456,19.679320844931677,26.373562907109996,4.796044826507568,5.719583988189697,4.725689888000488,gan,gan,cnn,candidateE2_fixed_lowlambda,0
73,73,27.001473804134946,19.399004976672177,26.761370999904727,4.9851861000061035,5.75114631652832,5.008552074432373,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,28.005859992904075,4.782100200653076,5.644299030303955,4.807737827301025,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,29.046053870667745,5.201173305511475,5.680557727813721,5.357100009918213,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,29.70381668454389,5.207019329071045,6.450347900390625,5.337862968444824,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,29.550635057149464,6.132026672363281,6.000014781951904,5.6728973388671875,gan,gan,gan,candidateE2_fixed_lowlambda,1
78,78,30.300511724579902,19.95492094933438,29.91710619378037,5.8028388023376465,7.092807292938232,5.529693603515625,gan,gan,cnn,candidateE2_fixed_lowlambda,0
