sample_idx,pos_idx,pd_distance_candidateE2_fixed_lowlambda,mt_distance_candidateE2_fixed_lowlambda
0,0,25.1497576971239,4.796483993530273
1,1,25.45412264676754,4.83849573135376
2,2,25.868834078459507,4.953780174255371
3,3,25.781087065791564,5.001128673553467
4,4,25.428056241362256,4.883843898773193
5,5,27.53949844839806,5.6374969482421875
6,6,28.16610412643248,6.142038822174072
7,7,29.11214917327936,5.63045072555542
8,8,29.165740583458774,7.474020481109619
9,9,27.839104710734166,5.81215238571167
10,10,28.84503779169136,6.2341508865356445
11,11,27.62041682286592,5.879298210144043
12,12,29.135719719396928,6.274924278259277
13,13,28.247194651229936,6.203000545501709
14,14,27.13868638247914,5.3375115394592285
15,15,25.431317409590278,5.282535552978516
16,16,22.881450715903526,5.2625651359558105
17,17,19.915015310402573,5.279658317565918
18,18,19.47124370179223,5.913639068603516
19,19,20.06396228070358,6.534782886505127
20,20,20.70035283597388,5.770816802978516
21,21,26.01371700375225,7.647627830505371
22,22,31.09129488865632,7.647660255432129
23,23,33.191598123109095,6.513506889343262
24,24,34.38986530819563,7.054203987121582
25,25,35.557900089091405,11.3848876953125
26,26,33.86094358929733,7.413497447967529
27,27,35.88637811634211,6.799112796783447
28,28,37.477606070074295,7.115838527679443
29,29,38.059222537246235,7.014967441558838
30,30,39.453236552991314,8.175848960876465
31,31,38.50837720290986,6.8783183097839355
32,32,38.030333155121546,7.490191459655762
33,33,37.606332050254814,6.843668460845947
34,34,36.865816894067784,6.377110004425049
35,35,35.55493263886223,6.261579990386963
36,36,35.16470937415827,6.170748233795166
37,37,33.298790438421456,6.652232646942139
38,38,28.91596210948346,5.981499671936035
39,39,25.143730846752558,5.734773635864258
40,40,24.238344414716952,5.559063911437988
41,41,23.45915963092003,5.645961284637451
42,42,21.626359856897274,5.652921676635742
43,43,20.72788541275481,5.802372455596924
44,44,19.690684761406917,6.254818916320801
45,45,20.46586617834374,7.08784818649292
46,46,20.643239887398458,6.322768211364746
47,47,22.19209080243049,6.80165433883667
48,48,22.809237404016088,7.003897190093994
49,49,22.28382581427762,6.766592502593994
50,50,21.201492771144416,6.20015287399292
51,51,21.89868568101363,5.891014099121094
52,52,21.933564443096255,5.874540328979492
53,53,21.908218544630415,5.239847183227539
54,54,23.011069397022393,5.649879455566406
55,55,23.523963277771355,5.40993070602417
56,56,24.180562187897305,5.311093330383301
57,57,24.69410303273673,5.287048816680908
58,58,25.452973874690027,5.651062488555908
59,59,25.66699286246615,5.376734733581543
60,60,25.811098569234908,5.180720806121826
61,61,25.58119149249985,5.115292549133301
62,62,27.290709143820727,6.601563453674316
63,63,28.210836052018827,6.844184398651123
64,64,24.50033387776137,5.643299579620361
65,65,22.02920348799645,5.5945844650268555
66,66,20.83833352869084,5.862654209136963
67,67,20.53700516093304,4.773962020874023
68,68,21.63906044818298,5.746967792510986
69,69,24.086376873861262,4.976260185241699
70,70,24.600879699398952,5.346954345703125
71,71,25.337936444302343,5.0747551918029785
72,72,26.373562907109996,4.725689888000488
73,73,26.761370999904727,5.008552074432373
74,74,28.005859992904075,4.807737827301025
75,75,29.046053870667745,5.357100009918213
76,76,29.70381668454389,5.337862968444824
77,77,29.550635057149464,5.6728973388671875
78,78,29.91710619378037,5.529693603515625
79,79,29.842046193339222,6.452939510345459
80,80,29.672372942786094,6.575841426849365
81,81,29.28278583254663,6.2185468673706055
82,82,28.516745072117295,6.202706813812256
83,83,27.67501542543765,6.172905445098877
84,84,28.654117871290293,5.370546340942383
85,85,28.359396547593267,5.326705455780029
86,86,28.78278693366639,5.2630414962768555
87,87,29.20612245452973,6.364438533782959
88,88,26.165028747031705,5.88822078704834
89,89,24.09297801227372,5.799047470092773
90,90,22.05698072490836,5.3093671798706055
91,91,22.198377969930384,5.475582599639893
92,92,21.99051018689557,5.675093173980713
93,93,24.45466683262075,6.3231377601623535
94,94,24.73467186697185,5.234945774078369
95,95,26.972408162383942,5.011723518371582
96,96,29.07077366058605,5.093347549438477
97,97,30.27764741329175,4.990019798278809
98,98,31.37779559179503,4.987686634063721
99,99,30.97496622757962,5.328693389892578
100,100,31.058619218137157,5.791552543640137
101,101,30.286804556915527,5.33590030670166
102,102,29.261797937948764,5.12725305557251
103,103,29.46861986421875,5.297316551208496
104,104,29.105469911713556,4.744640350341797
105,105,29.18944150022855,5.332457065582275
106,106,29.960393484910014,5.685825347900391
107,107,29.55574456867034,5.515636444091797
108,108,28.77749817679805,5.67641019821167
109,109,28.75174209417413,5.104992866516113
110,110,29.352347030288723,5.753010272979736
111,111,28.084767580079134,5.872146129608154
112,112,27.508028149371906,5.512017726898193
113,113,25.979661829725195,5.569339752197266
114,114,24.403335715251934,5.049507141113281
115,115,25.33834728019399,4.598429203033447
116,116,25.04216805831458,5.255475044250488
