sample_id,row,vector_cnn_speed_mae,vector_cnn_speed_rmse,vector_cnn_speed_psnr,vector_cnn_speed_ssim,vector_cnn_speed_min,vector_cnn_speed_max,vector_gan_speed_mae,vector_gan_speed_rmse,vector_gan_speed_psnr,vector_gan_speed_ssim,vector_gan_speed_min,vector_gan_speed_max,vector_cnn_u_mae,vector_cnn_u_rmse,vector_cnn_v_mae,vector_cnn_v_rmse,vector_gan_u_mae,vector_gan_u_rmse,vector_gan_v_mae,vector_gan_v_rmse,gt_speed_min,gt_speed_max,lr_speed_min,lr_speed_max
0,0,0.7135303425852014,1.2833997245918416,25.842572823740262,,0.02040065694698736,30.294475467172667,0.8243024058937365,1.3570069613543538,25.358170147577635,,0.01816338172918592,33.07473628840472,0.5129444109487791,0.846076422617799,0.6861815150492468,1.2343506456029936,0.6265249723737955,0.9688166088807261,0.8242315103449214,1.3430311854126311,0.012207031218823161,25.159461873036324,0.06268220614260736,22.286043553037498
2,2,0.7463980424827303,1.3226826197639654,26.280154897763246,,0.04401325280480927,29.394931864807262,0.8645103281116543,1.4215961184650487,25.653743255649054,,0.018486498353311988,33.722504236015254,0.5168608802401603,0.8465663712041435,0.7292253130156946,1.2926206324423275,0.6303768174970061,0.9644374456358248,0.8706109372923281,1.4236692679425988,0.06713866990341812,27.32321845091609,0.36386707431455373,23.685597221735552
4,4,0.7778909736642535,1.36022425864858,25.98046452660562,,0.07285768769075351,28.366544924618488,0.9201294951863238,1.4897003295792606,25.19069656797957,,0.008914455322129219,32.84059102751005,0.539522479945417,0.8589405567206617,0.7701090470338472,1.3535370496756434,0.6569333539336436,0.9995765678086121,0.9230008477736865,1.4940206325825762,0.1525955245497328,27.231665358131153,0.2618908675948667,23.46616977738722
11,11,0.7541581563673395,1.2065823467513899,26.638279358582906,,0.07589998812424159,24.973695924299616,0.9330072999520589,1.4297786572749456,25.164042498974695,,0.044279987025190974,28.11680622724007,0.6032907764901695,0.9393758908367211,0.7011848766420876,1.1260826528364947,0.753478093552342,1.1677330561954058,0.857020139619657,1.2937660276567264,0.1495437652909935,26.059753882648415,0.4286007975603553,20.312474232712777
23,23,0.8076308723072566,1.2080320082771858,27.84314404903505,,0.02769229554651406,28.983782392881025,1.024548311034157,1.516950978263931,25.865281953638796,,0.011971102376049984,35.45783998471236,0.7678945374562601,1.1521512455832523,0.6445388216674615,0.9497566775730899,0.9744600538913945,1.4624547333885898,0.7793950207118658,1.1014755292293263,0.10375976551866643,29.90508959152573,0.336234840949012,24.92491046147739
29,29,0.97188531160962,1.5529637902797893,26.697471700607803,,0.04973542945717289,36.279050732502434,1.2265770912396317,1.9299498844777228,24.809777658494564,,0.014917411703605778,44.770430770163394,0.8522729117125243,1.3605322673773652,0.8253119041425341,1.2997773061471523,1.148976567096762,1.7672984320837142,0.9890206259175873,1.4960344075250656,0.2166824395914061,33.79314309888482,0.4522653411023074,25.497815353036977
101,101,0.8213542283746494,1.2744701958020896,24.6780814397165,,0.026488667046989146,19.292712152510465,1.0387921070905535,1.5492137553092193,22.982448226071085,,0.01700957621139813,26.779582005291594,0.6288478219625308,0.9542363328824766,0.741706375845103,1.1440779426199472,0.8557501143143939,1.26056150894175,0.9344713019381913,1.3686084976027486,0.10070800610024475,21.939758664014466,0.2561954699847602,16.98538954541148
134,134,0.8395398754348201,1.296951490726364,26.709491612607724,,0.7807029017167436,29.472017141452742,1.083170951212471,1.6783392891119835,24.470371039747228,,0.0969918745943655,39.40952588666514,0.8206136024678559,1.3317187527563483,0.6402517954115216,0.9029630416006303,1.0633111907937192,1.7036130208344191,0.8092299291761713,1.1368486301552256,0.12207793938122702,28.202156163998005,0.6122219224837911,23.706097748689373
162,162,0.37636712445241266,0.6860969034050267,29.54448241528274,,0.012854043749769353,22.142201375842117,0.5287671832931274,0.8370553260663524,27.817108317448167,,0.010153238896725609,28.50785163766829,0.34653591098916,0.5701739625645591,0.34519277488045175,0.6065845016184648,0.4941419108902068,0.739643541197018,0.5438944064939629,0.8281480997412566,0.02441406228316635,20.61219696436432,0.07007356623669796,16.91918791954832
165,165,0.4972179836087996,0.9074714239984784,28.086640654538137,,0.015742597408736413,25.435225209561473,0.6419255778184342,1.0375704059918027,26.922948294411004,,0.008926650724704898,32.694288584006976,0.42466620214754874,0.7097340508041936,0.4507175529733717,0.8109304515627416,0.568025576531617,0.872579683912248,0.6200527560610395,0.9855914331740415,0.02136230436668096,23.044525442767288,0.0712565763159776,20.270151488679183
166,166,0.5568273114572393,1.0165950667379737,27.1497093704516,,0.024051312404994918,31.25698659776787,0.6752514925001041,1.1017742028869668,26.450817337252637,,0.038478549918196686,34.60153622935397,0.45972247406068306,0.7732807329470838,0.5017109973626647,0.9116751393893437,0.5793789631699501,0.8866573011672287,0.6511976325017401,1.0443318934946482,0.03967284968522628,23.194069372378472,0.0723732386167913,19.197973589160224
