sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateC_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateC_expanded672,pd_winner_before,pd_winner_after_candidateC_expanded672,mt_winner_before,mt_winner_after_candidateC_expanded672,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,22.779971627899798,5.051645278930664,9.748218536376953,6.015648365020752,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,22.98930208886711,4.678010940551758,11.978342056274414,5.411390781402588,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.349361916406416,4.894824504852295,8.343221664428711,5.783077716827393,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.838635358620134,4.794641017913818,9.753995895385742,5.492522239685059,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,22.90482962620194,4.892229080200195,8.064751625061035,5.545997619628906,gan,candidateC_expanded672,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.984372209558792,5.628478050231934,6.406379699707031,5.509152412414551,gan,gan,cnn,candidateC_expanded672,0
6,6,28.068979766562435,24.045087776300683,24.872613833944065,6.144000053405762,6.0106329917907715,5.845476150512695,gan,gan,gan,candidateC_expanded672,1
7,7,29.26973016135952,22.553824952557566,25.292419910764103,5.672351837158203,7.113770008087158,5.799372673034668,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,26.19000788379003,7.50956392288208,6.055016040802002,6.25283145904541,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,25.752111253581738,5.768454551696777,6.291722297668457,6.029423713684082,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,25.50680321362735,6.634506702423096,7.423793315887451,6.0416059494018555,gan,gan,cnn,candidateC_expanded672,0
11,11,28.68732565326105,24.969867761946066,24.465620328207624,5.910721302032471,7.831723690032959,6.4352521896362305,gan,candidateC_expanded672,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.133332707184184,6.61636209487915,5.913707256317139,6.600692272186279,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,24.917573847184133,6.0738348960876465,7.402252674102783,6.8907151222229,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,24.386954335160464,5.448930263519287,5.877835750579834,5.737804889678955,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,23.544317828628014,5.097294807434082,5.86716890335083,5.393518447875977,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,21.371276949030513,5.464188098907471,5.255205154418945,6.034834384918213,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,18.846240811475546,5.2896833419799805,4.8487091064453125,5.3049492835998535,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,18.317351078633045,6.258571624755859,5.554356575012207,5.746087074279785,gan,candidateC_expanded672,gan,gan,1
19,19,21.064082150885508,19.086676411603058,17.846265378543304,6.927988529205322,5.44291353225708,6.272337436676025,gan,candidateC_expanded672,gan,gan,1
20,20,21.97923655969375,18.266315468004898,18.80861024409162,6.254051208496094,5.689126491546631,6.6531219482421875,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,23.235074972810015,8.127616882324219,10.817054748535156,9.191052436828613,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,28.5419813875417,8.081520080566406,8.346701622009277,7.776407241821289,gan,gan,cnn,candidateC_expanded672,0
23,23,34.476953302920876,29.144574221491347,30.441086605010963,6.907674789428711,8.497876167297363,8.66211223602295,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,30.840745537835307,7.21915864944458,12.067601203918457,7.884737014770508,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,31.583198071445526,11.371563911437988,10.501462936401367,6.824924945831299,gan,gan,gan,candidateC_expanded672,1
26,26,35.02599363200026,30.779316467464,31.17428101724288,7.043282985687256,11.28821849822998,7.25148344039917,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,32.69108620257866,6.4783101081848145,19.968429565429688,7.10932731628418,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,33.335799025447045,7.210402011871338,14.947399139404297,7.745926380157471,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,34.46306700795985,6.963974952697754,12.864243507385254,6.643204689025879,gan,gan,cnn,candidateC_expanded672,0
30,30,39.94080457344863,30.82310921065586,34.10628794458217,8.127463340759277,14.847400665283203,7.441563129425049,gan,gan,cnn,candidateC_expanded672,0
31,31,39.104318483733294,31.3053599336416,34.37080992407485,6.818642616271973,16.23410415649414,7.278102397918701,gan,gan,cnn,cnn,0
