sample_idx,pos_idx,pd_distance_candidateE2_fixed_lowlambda_expanded1344,mt_distance_candidateE2_fixed_lowlambda_expanded1344
0,0,25.265197994301687,4.76689338684082
1,1,25.44909444753661,5.205541133880615
2,2,25.842694513739886,5.127291202545166
3,3,25.840835344995057,4.823139190673828
4,4,25.403334027922842,4.716151237487793
5,5,27.4707040946042,5.999966144561768
6,6,28.006771148507504,5.96396541595459
7,7,29.0668257832744,5.707096576690674
8,8,29.113989952646865,7.486715316772461
9,9,27.866822356274614,5.817264556884766
10,10,28.82551976747088,5.985971927642822
11,11,27.55900592242845,6.733059406280518
12,12,29.13441993633022,6.347291469573975
13,13,28.097445409925413,6.1039581298828125
14,14,27.063258380721756,5.3529953956604
15,15,25.159109946313123,5.018177032470703
16,16,22.623824132131045,5.058727741241455
17,17,19.579927258579584,5.150191307067871
18,18,19.107961846315526,5.579245090484619
19,19,19.572445631534624,6.222896575927734
20,20,20.26959022729439,5.484291076660156
21,21,25.4531180094501,7.680613994598389
22,22,30.87039019836178,7.900885105133057
23,23,32.78693158655075,6.493549823760986
24,24,33.94852363991508,6.686635971069336
25,25,35.058163073535155,9.986129760742188
26,26,33.68275243548308,7.54516077041626
27,27,35.77969326117737,7.628451347351074
28,28,37.505242575732204,7.402144908905029
29,29,38.10535496883225,7.100001335144043
30,30,39.41951843173013,8.629717826843262
31,31,38.66170329506133,6.818716526031494
32,32,38.349998601048746,6.873759746551514
33,33,37.6952492080757,6.726301193237305
34,34,37.15799466716713,6.059987545013428
35,35,35.923144402882855,6.236362457275391
36,36,35.45251683411883,6.359192848205566
37,37,34.03603417628903,6.543875694274902
38,38,29.36609645454869,5.998815536499023
39,39,25.519555672095922,5.79125452041626
40,40,24.50366309333292,5.617135047912598
41,41,23.752894106612136,5.425130844116211
42,42,21.945826674089993,5.6109466552734375
43,43,20.853850964593594,5.78928804397583
44,44,19.955321844430376,6.35176420211792
45,45,20.583604147847062,6.74108362197876
46,46,20.72575148821811,6.234667778015137
47,47,22.26373060014277,6.402536869049072
48,48,22.87664731101704,6.706212043762207
49,49,22.230112560181816,6.427304267883301
50,50,21.192854338122274,6.29347562789917
51,51,21.716612913023148,5.883444786071777
52,52,21.915507824908353,5.773189067840576
53,53,21.74294166950984,5.405754089355469
54,54,22.854985839988487,6.015250205993652
55,55,23.36202186790886,5.322520732879639
56,56,24.014168351771147,5.684354305267334
57,57,24.517915176492355,5.321061134338379
58,58,25.27926418517732,6.030209064483643
59,59,25.401594888749166,5.155322551727295
60,60,25.53594152975712,5.238323211669922
61,61,25.458953401610334,5.292846202850342
62,62,27.089302047323283,6.3359785079956055
63,63,27.995335348045494,6.725894927978516
64,64,24.296883850630785,5.640061378479004
65,65,21.787044563626115,5.354370594024658
66,66,20.691529424979173,5.339639186859131
67,67,20.34493392419155,4.624192237854004
68,68,21.543153331468755,5.787060737609863
69,69,23.98403763311895,5.024712562561035
70,70,24.441904809406743,5.236876487731934
71,71,25.119106317369795,5.073815822601318
72,72,26.024846508365126,4.57520866394043
73,73,26.521324521489856,4.9734206199646
74,74,27.67029023589145,4.6927056312561035
75,75,28.839904407448202,5.165040493011475
76,76,29.424288599652797,5.275936603546143
77,77,29.272218107302262,5.682769775390625
78,78,29.549228427443808,5.315710544586182
79,79,29.50069065336447,6.243238925933838
80,80,29.393497323051932,6.089162826538086
81,81,28.88273993008567,6.253402233123779
82,82,28.32437010196658,6.472146987915039
83,83,27.415700549287667,6.04641056060791
84,84,28.436347095296565,5.226607322692871
85,85,28.076073561083955,5.204665660858154
86,86,28.50583330127812,5.0631632804870605
87,87,28.962114500749372,5.962045192718506
88,88,25.923285643086395,5.707480430603027
89,89,23.84472581271382,5.71398401260376
90,90,21.900270730109927,5.247814655303955
91,91,21.979770581486417,5.352302551269531
92,92,21.818459414605925,5.533706188201904
93,93,24.32286995130065,6.4197492599487305
94,94,24.573114260458468,5.256360054016113
95,95,26.852272974131925,5.059547424316406
96,96,28.973110886065268,5.096860408782959
97,97,30.046790743207207,4.733675956726074
98,98,31.160713087986213,5.27918004989624
99,99,30.712449054154344,5.361037254333496
100,100,30.805484953353385,5.7116289138793945
101,101,30.145216715679684,5.246460914611816
102,102,28.987981514063854,5.151859283447266
103,103,29.251710660950334,5.053034782409668
104,104,28.91988419990338,4.773934841156006
105,105,29.08557742276155,5.396485805511475
106,106,29.66432982949424,5.670286178588867
107,107,29.231786786298894,5.509599685668945
108,108,28.548996832083795,5.676667213439941
109,109,28.545600592096665,5.23407506942749
110,110,29.05149808755102,5.812060832977295
111,111,27.902617931206464,5.642088413238525
112,112,27.300021517876317,5.520868301391602
113,113,25.831158376280214,5.486276626586914
114,114,24.27604580664155,5.049227237701416
115,115,25.103016504702587,4.5490288734436035
116,116,24.945456265525852,5.202121257781982
117,117,26.97469953131072,5.450450420379639
118,118,27.723504167246187,6.694126605987549
119,119,26.981946146211968,5.074455261230469
120,120,27.759359738597446,4.787972450256348
121,121,28.692119405113612,5.424087047576904
122,122,27.440130910056535,5.083667278289795
123,123,28.559905923037682,5.890717506408691
124,124,27.589396039001876,5.664915084838867
125,125,27.746503435881497,5.386922836303711
126,126,27.00278280667355,4.464565277099609
127,127,29.01631741190346,4.910289287567139
128,128,27.305766848542582,4.9498467445373535
129,129,28.353177876351307,5.132248401641846
130,130,29.00497136799248,5.098730087280273
131,131,31.714425017927997,5.794936180114746
132,132,32.81127339998342,5.881914138793945
133,133,33.342780662228094,6.353768825531006
134,134,31.208464133590358,5.492281913757324
135,135,28.453120340378693,5.346469879150391
136,136,26.3814245136509,5.675772666931152
137,137,25.361195746401425,4.515565872192383
138,138,24.831879883440685,4.900340557098389
139,139,24.558108404424484,5.000710487365723
140,140,25.794902018151337,5.05516242980957
141,141,28.705254632376587,6.045933246612549
142,142,29.82628007782457,6.600866794586182
143,143,30.2261043737977,5.694586277008057
144,144,30.421585316879202,5.611989974975586
145,145,29.209761813097714,5.789144039154053
146,146,28.20376333794171,5.783283710479736
