sample_idx,pos_idx,pd_distance_candidateC_expanded1344,mt_distance_candidateC_expanded1344
0,0,22.418207847588402,5.700586318969727
1,1,22.58299121997217,5.375909805297852
2,2,24.15473398582404,5.6179046630859375
3,3,23.839761362891792,5.55229377746582
4,4,23.520633760797853,6.029956340789795
5,5,23.80830040341366,5.952883720397949
6,6,24.182965078537105,5.797817230224609
7,7,23.915850917752508,5.958333492279053
8,8,24.637752350304062,6.48214864730835
9,9,24.20429749824721,6.197243690490723
10,10,24.171510730917383,6.303045272827148
11,11,24.077971718645784,6.635824203491211
12,12,24.060337624267007,6.571881294250488
13,13,23.786627941680354,6.867643356323242
14,14,23.410784301235005,5.749135971069336
15,15,22.220350317856056,5.466594219207764
16,16,20.079387629853475,5.862560272216797
17,17,17.36335499778434,5.055574417114258
18,18,16.98722250391146,4.798796653747559
19,19,16.522118086759175,5.820948123931885
20,20,17.5254190512346,6.327765941619873
21,21,21.47307378237126,9.093500137329102
22,22,27.68830140470919,6.857977390289307
23,23,29.278191632324035,7.925095558166504
24,24,30.50894627924047,7.834207534790039
25,25,30.819910027754975,7.162358283996582
26,26,30.98761563743518,8.248699188232422
27,27,32.268672509246514,7.815352916717529
28,28,32.227395207060965,8.224403381347656
29,29,33.184861291071954,7.049653053283691
30,30,32.27765008281337,7.880753993988037
31,31,33.066659831321566,7.064859390258789
32,32,31.668090357579366,7.862165927886963
33,33,30.761777077468135,7.328492164611816
34,34,30.285188877190226,6.845500946044922
35,35,30.353558386608263,7.070034980773926
36,36,30.38883628662311,6.683920860290527
37,37,28.902463487242617,6.562217712402344
38,38,25.3600473578852,6.921751976013184
39,39,22.573518902294857,6.65493631362915
40,40,21.119966872658853,6.446371078491211
41,41,19.288789806888644,6.339679718017578
42,42,16.866410653104737,6.032817363739014
43,43,16.07861377921016,5.847011566162109
44,44,14.928755357681952,6.137096881866455
45,45,15.294727394991135,6.3417067527771
46,46,14.90067687801678,6.597708702087402
47,47,15.36878908324555,7.014018535614014
48,48,16.266498033833805,6.846828460693359
49,49,16.36417508191165,7.062093734741211
50,50,16.067369010116003,6.401299953460693
51,51,16.64834946783336,6.0650410652160645
52,52,17.31176158615695,6.701736927032471
53,53,17.60436833129066,6.653017997741699
54,54,18.599744683518086,6.325557231903076
55,55,19.344638422069476,5.827786445617676
56,56,19.84998465810694,5.8330183029174805
57,57,20.309318711101433,5.817705154418945
58,58,21.07669083383647,6.280777931213379
59,59,21.47396068622399,6.062828540802002
60,60,21.723648413547448,7.045806407928467
61,61,22.080089697825837,6.002017974853516
62,62,23.481314319998692,6.647908687591553
63,63,24.306272176789175,7.651425361633301
64,64,20.609218018003734,5.909665584564209
65,65,18.74840122695968,5.948667526245117
66,66,17.26849308019605,5.808671951293945
67,67,16.304154622953444,4.855058670043945
68,68,16.634890681632452,5.403640270233154
69,69,18.908912926877974,5.243794918060303
70,70,19.401367333548063,5.408352851867676
71,71,19.918603343444616,6.282496929168701
72,72,21.807587945194854,5.101051330566406
73,73,22.8567419525576,5.941871166229248
74,74,23.827755614751222,5.642597675323486
75,75,24.209357865096692,5.917943000793457
76,76,25.440711406193138,5.67141056060791
77,77,25.244940688135745,5.541139125823975
78,78,25.363263524372677,5.785485744476318
79,79,26.06651596780685,6.024439811706543
80,80,25.665427250331454,5.8024702072143555
81,81,25.66688808995898,5.288098335266113
82,82,25.461801914571986,5.9932332038879395
83,83,24.706451129726666,5.48349142074585
84,84,25.331825271338587,5.78054666519165
85,85,24.78999222566788,5.506434917449951
86,86,25.324223474465022,5.649367332458496
87,87,25.635585051619607,6.8404669761657715
88,88,22.493826267897465,6.494276523590088
89,89,20.11357817128533,6.315115928649902
90,90,18.108844212726574,5.600226879119873
91,91,17.35550547012968,6.63574743270874
92,92,17.651549910417575,5.742583751678467
93,93,20.167754719032846,7.477895259857178
94,94,22.14531294071615,5.893401622772217
95,95,22.697808079484126,6.089163780212402
96,96,23.934144960725245,6.1085638999938965
97,97,25.010200129693022,5.858998775482178
98,98,25.203122902693128,5.422760009765625
99,99,25.433348614061984,6.003785610198975
100,100,25.10225356081901,5.879665374755859
101,101,24.561566051597595,5.851835250854492
102,102,23.343132825341733,5.768538951873779
103,103,23.674162240548764,5.402198314666748
104,104,23.64709895021267,5.253788471221924
105,105,24.09707833299216,5.654250144958496
106,106,24.00654171709445,5.562249183654785
107,107,23.262583337460192,5.581551551818848
108,108,24.066500849712515,5.732151508331299
109,109,23.758310741283406,5.244634628295898
110,110,24.21468833536031,5.8469672203063965
111,111,22.729184583162873,5.906891822814941
112,112,22.273618958867278,5.88332986831665
113,113,20.74116497940586,5.83146858215332
114,114,19.442292494835346,6.100057601928711
115,115,19.969083785831607,5.670389652252197
116,116,20.48050250699552,5.811575889587402
117,117,22.256122197369177,6.828008651733398
118,118,23.751063007948876,7.444377422332764
119,119,23.519582023070722,5.837697505950928
120,120,23.19212565583119,6.249669075012207
121,121,23.433119202671193,5.230553150177002
122,122,23.24381882915386,5.790287017822266
123,123,23.101823577102234,5.593449115753174
124,124,22.968986202535994,5.31873893737793
125,125,22.40932229089839,4.847038745880127
126,126,23.16063007878095,4.578249931335449
127,127,24.660234831787747,4.9212422370910645
128,128,23.7439530473512,4.78103494644165
129,129,24.927376076147034,5.475894451141357
130,130,25.372927665774117,5.397852897644043
131,131,27.709400703117975,6.236221790313721
132,132,28.963168750170432,6.57554292678833
133,133,29.591001977213033,5.995041847229004
134,134,27.02436502293305,5.69321346282959
135,135,25.108231614689053,5.65769100189209
136,136,23.41857916684334,5.885365009307861
137,137,22.504055880728032,4.802879810333252
138,138,22.030620063753673,5.133042335510254
139,139,21.04840393073705,5.132077217102051
140,140,22.441205170124068,5.53677225112915
141,141,25.74999128353519,7.309005260467529
142,142,28.1792777722757,7.849969863891602
143,143,27.199914102777964,6.183813095092773
144,144,26.726642945898043,6.166661262512207
145,145,25.67228811802396,6.268846035003662
146,146,25.066755142947276,6.936887741088867
147,147,23.74492396034764,6.868765830993652
148,148,22.647199068502875,6.190652847290039
149,149,21.703427447629036,7.251687526702881
150,150,20.53173499867865,6.3213911056518555
151,151,19.617634047286046,6.766761779785156
152,152,19.48227434805778,5.915606498718262
153,153,19.34654717619836,6.406530857086182
154,154,19.56403494211142,6.64267110824585
155,155,19.53263667369603,5.999188423156738
156,156,19.682562749363505,5.345335960388184
157,157,21.162597313068982,5.231121063232422
158,158,23.266536769689004,5.457141399383545
159,159,20.68711109530956,5.053537368774414
160,160,18.388416799211214,6.413401126861572
161,161,18.323731666153858,6.513136386871338
162,162,17.65697267415629,4.877682209014893
163,163,19.026362477694924,5.406191825866699
164,164,19.930294776926306,5.9448676109313965
165,165,21.23764966523382,5.983640670776367
166,166,22.243647324072665,6.282235622406006
167,167,22.13793388170786,5.589926242828369
