title,authors,year,url
Introduction to Topological Data Analysis Lecture Notes FS 2025,"P Schnider , L Slot , S Weber",2025,https://ti.inf.ethz.ch/ew/courses/TDA25/Script.pdf
Bounding the interleaving distance for mapper graphs with a loss function: EW Chambers et al.,"EW Chambers , E Munch , S Percival… - Journal of Applied and …, 2025",2025,https://link.springer.com/article/10.1007/s41468-025-00215-x
Decentralized Navigation of Quadrotor Teams in Uncertain Workspaces,AA Desai,2022,https://kilthub.cmu.edu/ndownloader/files/34708096
The hippocampus as a small-world cognitive map,"JZ Kim , JP Sethna , I Cohen , W Sun",2026,https://www.biorxiv.org/content/10.64898/2026.02.07.704615.abstract
Evaluation of cluster algorithms for radar-based object recognition in autonomous and assisted driving,"DC de Ramos, LR Ferreira, MMD Santos , ELS Teixeira … - Sensors, 2024",2024,https://www.mdpi.com/1424-8220/24/22/7219
Persistence of Morse decompositions over grid resolution for maps and time series,"J Wiseman - Journal of Applied and Computational Topology, 2022",2022,https://link.springer.com/article/10.1007/s41468-022-00086-6
"Gasp, a generalized framework for agglomerative clustering of signed graphs and its application to instance segmentation","A Bailoni , C Pape , N Hütsch , S Wolf… - Proceedings of the …, 2022",2022,http://openaccess.thecvf.com/content/CVPR2022/html/Bailoni_GASP_a_Generalized_Framework_for_Agglomerative_Clustering_of_Signed_Graphs_CVPR_2022_paper.html
Synthesizing specialized sparse tensor accelerators for reconfigurable hardware using high-level functional abstractions,H Javed,2025,https://escholarship.mcgill.ca/concern/theses/fj236837h
"Higher-order, generically complete, continuous, and polynomial-time isometry invariants of periodic sets","DE Widdowson , VA Kurlin",2025,https://arxiv.org/abs/2509.15088
Stability of Reeb Ordering by Interleaving Distance,T Uda,2023,https://www.researchsquare.com/article/rs-3410146/latest
Topology-guided Learning: Accelerating Persistence for Applications,M Piekenbrock,2025,https://search.proquest.com/openview/6339d03a9392329658520f268804c257/1?pq-origsite=gscholar&cbl=18750&diss=y
Leveraging formal specification to implement a database backend,S Hatia,2023,https://theses.hal.science/tel-04291337/
Compact GF (2) systemizer and optimized constant-time hardware sorters for Key Generation in Classic McEliece,"Y Zhu , W Zhu, C Chen, M Zhu, Z Li, S Wei … - Cryptology ePrint …, 2022",2022,https://eprint.iacr.org/2022/1277
Towards Analytics-Optimized Document Stores,WY Alkowaileet,2022,https://search.proquest.com/openview/0387f643204c658e0ffc3060e11eac4e/1?pq-origsite=gscholar&cbl=18750&diss=y
Statistical Topology of the Configuration Spaces of Hard Disks and Spheres,OB Ericok,2022,https://search.proquest.com/openview/5198dc99b482a045880f147a6f22619a/1?pq-origsite=gscholar&cbl=18750&diss=y
Near-data processing in database systems on native computational storage under HTAP workloads,"T Vinçon , C Knödler… - … of the VLDB …, 2022",2022,https://publikationen.reutlingen-university.de/frontdoor/index/index/docId/3778
Package 'cba',"C Buchta, M Hahsler , MC Buchta - image, 2025",2025,ftp://r-project.org/pub/R/web/packages/cba/cba.pdf
A family of relaxed concurrent queues for low-latency operations and item transfers,"G Kappes , SV Anastasiadis",2022,https://dl.acm.org/doi/abs/10.1145/3565514
Applied Randomized Algorithms for Efficient Genomic Analysis,DN Baker,2022,https://jscholarship.library.jhu.edu/bitstream/1774.2/67074/1/BAKER-DISSERTATION-2022.pdf
Tapa: A scalable task-parallel dataflow programming framework for modern fpgas with co-optimization of hls and physical design,"L Guo , Y Chi , J Lau , L Song , X Tian, M Khatti … - ACM Transactions on …, 2023",2023,https://dl.acm.org/doi/abs/10.1145/3609335
[CITATION] [C] Evaluation of cluster algorithms for radar-based object recognition in autonomous and assisted driving,"DC Ramos, LR Ferreira, MMD Santos , ELS Teixeira … - Sensors, 2024",2024,
