,time,avg_pow
0,2024-09-01 00:00:00,1106819.220233413
1,2024-09-01 01:00:00,1109756.177177679
2,2024-09-01 02:00:00,1116577.3300076926
3,2024-09-01 03:00:00,1119586.568859039
4,2024-09-01 04:00:00,1115394.2978128963
5,2024-09-01 05:00:00,1117742.55202464
6,2024-09-01 06:00:00,1131864.1994507292
7,2024-09-01 07:00:00,1141466.5899511562
8,2024-09-01 08:00:00,1147329.5357385217
9,2024-09-01 09:00:00,1161195.2042091037
10,2024-09-01 10:00:00,1131580.035971292
11,2024-09-01 11:00:00,1156052.985415488
12,2024-09-01 12:00:00,1156479.4374741649
13,2024-09-01 13:00:00,1184873.1898186416
14,2024-09-01 14:00:00,1268479.5470405302
15,2024-09-01 15:00:00,1267696.814520548
16,2024-09-01 16:00:00,1259953.328342718
17,2024-09-01 17:00:00,1261929.1570392712
18,2024-09-01 18:00:00,1227728.6766615917
19,2024-09-01 19:00:00,1164420.0592079319
20,2024-09-01 20:00:00,1105665.071697255
21,2024-09-01 21:00:00,1065028.576284964
22,2024-09-01 22:00:00,1057900.4188459425
23,2024-09-01 23:00:00,1139909.1316335553
24,2024-09-02 00:00:00,1125717.2670784267
25,2024-09-02 01:00:00,1101236.0086628892
26,2024-09-02 02:00:00,1103633.8613484045
27,2024-09-02 03:00:00,1112949.0240334864
28,2024-09-02 04:00:00,1121048.1959376654
29,2024-09-02 05:00:00,1129137.1459886846
30,2024-09-02 06:00:00,1122664.9404248474
31,2024-09-02 07:00:00,1102740.4247403545
32,2024-09-02 08:00:00,1084468.2841874263
33,2024-09-02 09:00:00,1057639.071752108
34,2024-09-02 10:00:00,1031646.4079094452
35,2024-09-02 11:00:00,1034333.0550049429
36,2024-09-02 12:00:00,1049639.8895672555
37,2024-09-02 13:00:00,1045555.3869570924
38,2024-09-02 14:00:00,1045045.5451760611
39,2024-09-02 15:00:00,1034752.5751316439
40,2024-09-02 16:00:00,1042783.5832404454
41,2024-09-02 17:00:00,1039868.9740381695
42,2024-09-02 18:00:00,1039210.904580074
43,2024-09-02 19:00:00,1028587.9644264516
44,2024-09-02 20:00:00,988264.8079345628
45,2024-09-02 21:00:00,940305.2600603823
46,2024-09-02 22:00:00,896296.1388857214
47,2024-09-02 23:00:00,935298.1208137362
48,2024-09-03 00:00:00,963674.9425810304
49,2024-09-03 01:00:00,952104.4935845376
50,2024-09-03 02:00:00,895891.5701996438
51,2024-09-03 03:00:00,837510.7696244741
52,2024-09-03 04:00:00,825166.5745514279
53,2024-09-03 05:00:00,844191.4814079636
54,2024-09-03 06:00:00,854325.6774681679
55,2024-09-03 07:00:00,865882.7853266891
56,2024-09-03 08:00:00,872344.1593303749
57,2024-09-03 09:00:00,1012507.2434908885
58,2024-09-03 10:00:00,1053367.1358675938
59,2024-09-03 11:00:00,1059943.945626223
60,2024-09-03 12:00:00,1036270.3567899392
61,2024-09-03 13:00:00,1022725.7572986506
62,2024-09-03 14:00:00,997796.1849624902
63,2024-09-03 15:00:00,965417.6053949402
64,2024-09-03 16:00:00,937867.1686048666
65,2024-09-03 17:00:00,863383.1522224449
66,2024-09-03 18:00:00,834222.968222666
67,2024-09-03 19:00:00,892453.6351725896
68,2024-09-03 20:00:00,908622.4918967107
69,2024-09-03 21:00:00,893578.4017434238
70,2024-09-03 22:00:00,844991.1474987769
71,2024-09-03 23:00:00,816181.3614232148
72,2024-09-04 00:00:00,884705.3382480063
73,2024-09-04 01:00:00,937485.1049398527
74,2024-09-04 02:00:00,975475.8529821555
75,2024-09-04 03:00:00,1004162.5087915416
76,2024-09-04 04:00:00,1018044.7335466805
77,2024-09-04 05:00:00,1026254.4580396963
78,2024-09-04 06:00:00,1091381.610332052
79,2024-09-04 07:00:00,1132755.6427799286
80,2024-09-04 08:00:00,1186244.5282562356
81,2024-09-04 09:00:00,1169684.1643855707
82,2024-09-04 10:00:00,1204953.0430017891
83,2024-09-04 11:00:00,1148491.6751483597
84,2024-09-04 12:00:00,1124546.0871474221
85,2024-09-04 13:00:00,1083978.992240652
86,2024-09-04 14:00:00,975114.2978541615
87,2024-09-04 15:00:00,954040.6718835873
88,2024-09-04 16:00:00,968751.2362285772
89,2024-09-04 17:00:00,1024155.2190749677
90,2024-09-04 18:00:00,1043951.8395279632
91,2024-09-04 19:00:00,1053435.9165607388
92,2024-09-04 20:00:00,1048893.7275966213
93,2024-09-04 21:00:00,983302.7490146541
94,2024-09-04 22:00:00,963662.3246286913
95,2024-09-04 23:00:00,949289.9447937757
96,2024-09-05 00:00:00,909897.6105745961
97,2024-09-05 01:00:00,890639.2359121824
