sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_tf_lowlambda_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_tf_lowlambda_expanded1344,pd_winner_before,pd_winner_after_candidateE2_tf_lowlambda_expanded1344,mt_winner_before,mt_winner_after_candidateE2_tf_lowlambda_expanded1344,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,23.91319815783832,5.051645278930664,9.748218536376953,4.946323394775391,gan,gan,cnn,candidateE2_tf_lowlambda_expanded1344,0
1,1,24.612518312283534,22.38874396250744,23.438757480697056,4.678010940551758,11.978342056274414,5.01089334487915,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.89947490859132,4.894824504852295,8.343221664428711,5.782866477966309,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.02453115149836,4.794641017913818,9.753995895385742,4.69557523727417,gan,gan,cnn,candidateE2_tf_lowlambda_expanded1344,0
4,4,24.810879874900778,22.91065989660919,23.42816422971528,4.892229080200195,8.064751625061035,5.917152404785156,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,24.619438390484415,5.628478050231934,6.406379699707031,6.106695652008057,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,25.668988838295835,6.144000053405762,6.0106329917907715,5.215780735015869,gan,gan,gan,candidateE2_tf_lowlambda_expanded1344,1
7,7,29.26973016135952,22.553824952557566,26.557404319484124,5.672351837158203,7.113770008087158,6.069420337677002,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,26.65586297249104,7.50956392288208,6.055016040802002,6.401312351226807,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,25.694055298036563,5.768454551696777,6.291722297668457,5.2711381912231445,gan,gan,cnn,candidateE2_tf_lowlambda_expanded1344,0
10,10,29.696969860459554,24.710016041893063,25.700638519828555,6.634506702423096,7.423793315887451,5.723782539367676,gan,gan,cnn,candidateE2_tf_lowlambda_expanded1344,0
11,11,28.68732565326105,24.969867761946066,24.520738467104216,5.910721302032471,7.831723690032959,6.608757972717285,gan,candidateE2_tf_lowlambda_expanded1344,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.774480266644552,6.61636209487915,5.913707256317139,6.263360500335693,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,25.68852046202475,6.0738348960876465,7.402252674102783,5.838894844055176,gan,gan,cnn,candidateE2_tf_lowlambda_expanded1344,0
