method,key,pd_distance,mt_distance,error,source_dir
cnn,cnn_s137_speed_p160_x0_y0,26.69652879915387,5.208233833312988,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s138_speed_p160_x0_y0,26.265900126493325,5.562473773956299,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s139_speed_p160_x0_y0,25.72843674372112,5.6482439041137695,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s13_speed_p160_x0_y0,29.273674668484478,6.0738348960876465,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s140_speed_p160_x0_y0,26.928885115678263,5.719569206237793,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s141_speed_p160_x0_y0,30.122683212798776,6.186624050140381,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s142_speed_p160_x0_y0,31.864668972443802,7.186554908752441,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s143_speed_p160_x0_y0,31.729557469133276,5.864097595214844,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s144_speed_p160_x0_y0,31.838603860361527,5.560759544372559,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s145_speed_p160_x0_y0,30.39245353837724,5.902344226837158,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s146_speed_p160_x0_y0,29.28670842660694,5.959416389465332,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s147_speed_p160_x0_y0,26.585106339400784,5.6108717918396,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s148_speed_p160_x0_y0,26.258461074996504,5.0148024559021,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s149_speed_p160_x0_y0,25.194205211404583,5.752551078796387,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s14_speed_p160_x0_y0,28.13047371417262,5.448930263519287,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s150_speed_p160_x0_y0,24.128591365700505,5.291886329650879,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s151_speed_p160_x0_y0,24.240085612250784,5.580901145935059,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s152_speed_p160_x0_y0,24.594151699851988,5.931854248046875,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s153_speed_p160_x0_y0,25.168802860244767,6.290019989013672,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s154_speed_p160_x0_y0,25.31020070022765,5.889771461486816,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s155_speed_p160_x0_y0,26.088776073112513,6.413660526275635,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s156_speed_p160_x0_y0,25.16401321091786,5.162914276123047,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
cnn,cnn_s157_speed_p160_x0_y0,25.57399551509901,4.567626476287842,,/home/adadhwal/PhIRE/ttk_runs_fixed/cnn/phase_c_final
