method,key,sample_idx,ssim,pd_distance,mt_distance
cnn,cnn_s0_speed_p160_x0_y0,0,0.6335844954540828,24.384505325565424,5.051645278930664
cnn,cnn_s1_speed_p160_x0_y0,1,0.6378450016412086,24.612518312283534,4.678010940551758
cnn,cnn_s2_speed_p160_x0_y0,2,0.6223940258968236,25.200926367648954,4.894824504852295
cnn,cnn_s3_speed_p160_x0_y0,3,0.6252808362395419,24.87627415927669,4.794641017913818
cnn,cnn_s4_speed_p160_x0_y0,4,0.6188264630640096,24.810879874900778,4.892229080200195
cnn,cnn_s5_speed_p160_x0_y0,5,0.5860435401093661,27.01852197077857,5.628478050231934
cnn,cnn_s6_speed_p160_x0_y0,6,0.6104470927526627,28.068979766562435,6.144000053405762
cnn,cnn_s7_speed_p160_x0_y0,7,0.5788093320390605,29.26973016135952,5.672351837158203
cnn,cnn_s8_speed_p160_x0_y0,8,0.5424755769298811,29.63505050414828,7.50956392288208
cnn,cnn_s9_speed_p160_x0_y0,9,0.5305875142485871,28.65602837253281,5.768454551696777
cnn,cnn_s10_speed_p160_x0_y0,10,0.5321626280645544,29.696969860459554,6.634506702423096
cnn,cnn_s11_speed_p160_x0_y0,11,0.485865417911638,28.68732565326105,5.910721302032471
cnn,cnn_s12_speed_p160_x0_y0,12,0.5071715707128571,30.104522332856273,6.61636209487915
cnn,cnn_s13_speed_p160_x0_y0,13,0.5119176084848193,29.273674668484478,6.0738348960876465
cnn,cnn_s14_speed_p160_x0_y0,14,0.5264626109673549,28.13047371417262,5.448930263519287
cnn,cnn_s15_speed_p160_x0_y0,15,0.5765227213961904,26.322356943691645,5.097294807434082
cnn,cnn_s16_speed_p160_x0_y0,16,0.6193966839844784,23.755960973590362,5.464188098907471
cnn,cnn_s17_speed_p160_x0_y0,17,0.6164641229364425,20.900376556174706,5.2896833419799805
cnn,cnn_s18_speed_p160_x0_y0,18,0.6170124261331206,20.394905033940507,6.258571624755859
cnn,cnn_s19_speed_p160_x0_y0,19,0.6194961697457047,21.064082150885508,6.927988529205322
cnn,cnn_s20_speed_p160_x0_y0,20,0.61951889510752,21.97923655969375,6.254051208496094
cnn,cnn_s21_speed_p160_x0_y0,21,0.5639126999708983,27.30086406645334,8.127616882324219
cnn,cnn_s22_speed_p160_x0_y0,22,0.5233319491376003,32.693467082501115,8.081520080566406
cnn,cnn_s23_speed_p160_x0_y0,23,0.5386967764303666,34.476953302920876,6.907674789428711
cnn,cnn_s24_speed_p160_x0_y0,24,0.5369307845594095,35.75728371567695,7.21915864944458
cnn,cnn_s25_speed_p160_x0_y0,25,0.5231426682354472,36.58411526021696,11.371563911437988
cnn,cnn_s26_speed_p160_x0_y0,26,0.5191432035272462,35.02599363200026,7.043282985687256
cnn,cnn_s27_speed_p160_x0_y0,27,0.5455050057267327,36.89696946573002,6.4783101081848145
cnn,cnn_s28_speed_p160_x0_y0,28,0.5493210205946714,38.33189346230645,7.210402011871338
cnn,cnn_s29_speed_p160_x0_y0,29,0.5706943453302812,38.84347398326436,6.963974952697754
cnn,cnn_s30_speed_p160_x0_y0,30,0.5959090966970294,39.94080457344863,8.127463340759277
cnn,cnn_s31_speed_p160_x0_y0,31,0.5933565142986378,39.104318483733294,6.818642616271973
cnn,cnn_s32_speed_p160_x0_y0,32,0.6141962458916969,38.55925876668554,7.461033821105957
cnn,cnn_s33_speed_p160_x0_y0,33,0.6291099541721126,38.39305861348763,6.76971960067749
cnn,cnn_s34_speed_p160_x0_y0,34,0.6229292723566594,37.356416104450325,6.323113918304443
cnn,cnn_s35_speed_p160_x0_y0,35,0.6166792470112487,35.95264003005777,6.2719197273254395
cnn,cnn_s36_speed_p160_x0_y0,36,0.6227741725278805,35.61901723291445,6.097905158996582
cnn,cnn_s37_speed_p160_x0_y0,37,0.6192860867311487,33.456602216246914,6.489102840423584
cnn,cnn_s38_speed_p160_x0_y0,38,0.6467596699872048,29.159912858159764,6.054014682769775
cnn,cnn_s39_speed_p160_x0_y0,39,0.654329125629252,25.24426875811477,5.873856067657471
cnn,cnn_s40_speed_p160_x0_y0,40,0.6916765266755199,24.281572165890662,5.6310811042785645
cnn,cnn_s41_speed_p160_x0_y0,41,0.6717203224554718,23.457166445963043,5.389686584472656
cnn,cnn_s42_speed_p160_x0_y0,42,0.6502889975352539,21.63035540369367,5.757840156555176
cnn,cnn_s43_speed_p160_x0_y0,43,0.6132078779473105,20.76816702008209,5.7682366371154785
cnn,cnn_s44_speed_p160_x0_y0,44,0.5664520106667574,19.781150575177055,6.20600700378418
cnn,cnn_s45_speed_p160_x0_y0,45,0.5284794773176458,20.528037851461004,6.566225528717041
cnn,cnn_s46_speed_p160_x0_y0,46,0.5125963901214821,20.678325640697178,6.243154048919678
cnn,cnn_s47_speed_p160_x0_y0,47,0.5146049821788157,22.201753073772625,6.789880752563477
cnn,cnn_s48_speed_p160_x0_y0,48,0.532008756795089,22.832495463547907,7.081502437591553
cnn,cnn_s49_speed_p160_x0_y0,49,0.5421832030068076,22.105793975200847,6.3195295333862305
cnn,cnn_s50_speed_p160_x0_y0,50,0.5598492472466932,21.30877833114525,6.3856120109558105
cnn,cnn_s51_speed_p160_x0_y0,51,0.5923532935087121,21.75849079768097,5.902731418609619
cnn,cnn_s52_speed_p160_x0_y0,52,0.6008013239128891,21.81632996072092,5.69123649597168
cnn,cnn_s53_speed_p160_x0_y0,53,0.6148309467013183,21.92458068590406,5.261850833892822
cnn,cnn_s54_speed_p160_x0_y0,54,0.6033188203396985,22.97915159360149,5.500187397003174
cnn,cnn_s55_speed_p160_x0_y0,55,0.5990467193796046,23.57536347476084,5.2683796882629395
cnn,cnn_s56_speed_p160_x0_y0,56,0.5995505930019787,24.24948793523431,5.488292217254639
cnn,cnn_s57_speed_p160_x0_y0,57,0.6040063693954512,24.937493176964292,5.463809013366699
cnn,cnn_s58_speed_p160_x0_y0,58,0.6043291071323267,25.56121844001433,6.08959436416626
cnn,cnn_s59_speed_p160_x0_y0,59,0.6034893566523469,25.864386079507888,5.546851634979248
cnn,cnn_s60_speed_p160_x0_y0,60,0.5963230590394825,25.964725332360167,5.321651458740234
cnn,cnn_s61_speed_p160_x0_y0,61,0.5971448921589625,25.73100039673249,5.346891403198242
cnn,cnn_s62_speed_p160_x0_y0,62,0.607011068002054,27.46350343812835,6.720277786254883
cnn,cnn_s63_speed_p160_x0_y0,63,0.6100278389273842,28.524583670890912,7.660599708557129
cnn,cnn_s64_speed_p160_x0_y0,64,0.6412413721022083,24.7100597287657,5.944510459899902
cnn,cnn_s65_speed_p160_x0_y0,65,0.6392626517957372,22.148883751156426,5.820770263671875
cnn,cnn_s66_speed_p160_x0_y0,66,0.6553741793299986,20.981857591368968,5.701828956604004
cnn,cnn_s67_speed_p160_x0_y0,67,0.6609010632708071,20.679919922717943,5.030301094055176
