method,pd_n,pd_mean,mt_n,mt_mean,paired_n,pd_mt_pearson
cnn,168,27.4062830781,168,5.86779520057,168,0.428334486658
gan,168,20.8640900231,168,8.34814954088,168,0.630158453165
