sample_idx,pos_idx,pd_distance_candidateB_factorial_speed_grad_expanded2688,mt_distance_candidateB_factorial_speed_grad_expanded2688
0,0,22.502332628231684,5.755746364593506
1,1,22.53515179636803,5.865525245666504
2,2,23.61006655158609,5.995044708251953
3,3,24.388136555617017,5.334155559539795
4,4,23.869594703386554,5.858669757843018
5,5,23.418475097450244,5.451013088226318
6,6,23.18807707302894,5.955153942108154
7,7,23.360048369947997,6.1483612060546875
8,8,23.670582187673233,6.261799335479736
9,9,23.99117675289947,6.163786888122559
10,10,25.117936058828302,6.266947269439697
11,11,26.0900181285754,6.733902454376221
12,12,26.112484738184154,6.443254470825195
13,13,25.4018844726247,6.92695951461792
14,14,23.599525900593616,5.684046268463135
15,15,21.44382523744806,5.841624736785889
16,16,19.473057809272895,6.125932216644287
17,17,18.04379041370739,5.499935626983643
18,18,17.91633163106384,5.696446895599365
19,19,19.10474039192449,5.637825012207031
20,20,22.325896461244124,6.494856834411621
21,21,27.353089954596665,9.441245079040527
22,22,32.324004251466704,6.857564926147461
23,23,31.64627208432292,7.96782922744751
24,24,31.931639432360896,7.3128981590271
25,25,32.6585160620715,6.715978145599365
26,26,33.78245653630388,7.0380539894104
27,27,33.760454551341006,6.899157524108887
28,28,33.48478623433775,7.882635116577148
29,29,34.07981982817133,6.893879413604736
30,30,32.84074082621964,7.176967620849609
31,31,32.9888220923296,7.151183128356934
32,32,32.42386338565066,7.742347717285156
33,33,32.207972156493696,7.031362056732178
34,34,31.726163281457424,6.617647647857666
35,35,30.476034549691242,6.6847991943359375
36,36,30.371275449184218,6.0745415687561035
37,37,29.055254581348056,6.472709655761719
38,38,25.311120368149872,7.767411708831787
39,39,22.929074177686434,6.46355676651001
40,40,20.93555274324283,6.894222736358643
41,41,18.943957120294886,6.596233367919922
42,42,16.958457110241024,6.022744178771973
43,43,16.254049521728646,6.278316497802734
44,44,15.434266053899458,6.7908477783203125
45,45,15.852583153870958,6.210931301116943
46,46,15.159659573059528,6.5239949226379395
47,47,15.460472723506745,6.461646556854248
48,48,16.22448022376547,6.763691425323486
49,49,16.188811829438723,6.48004674911499
50,50,15.934712515204232,6.195654392242432
