sample_idx,pos_idx,pd_distance_candidateB_factorial_speed_grad_expanded2688,mt_distance_candidateB_factorial_speed_grad_expanded2688
155,155,18.68784750748871,5.923041343688965
156,156,19.12126594702838,5.222886562347412
157,157,20.766703040131397,4.789012908935547
158,158,22.440481155026156,5.449069023132324
159,159,20.160800367581505,5.345059871673584
160,160,18.615731568230828,5.9572577476501465
161,161,19.271786270612065,5.765959739685059
162,162,18.745757902484375,5.716582775115967
163,163,20.016983067431884,5.8228044509887695
164,164,21.255658741153056,5.641998767852783
165,165,21.67163616448469,7.38930606842041
166,166,22.52437979798859,7.495182991027832
167,167,22.299309103807236,6.57597541809082
