title,authors,year,url,bucket
Volume Visualization and Beams Towards Computational Cancer Treatment Planning,"I Bahkali, SK Semwal",2020,https://link.springer.com/chapter/10.1007/978-3-030-63092-8_13,B
Differentiable design galleries: A differentiable approach to explore the design space of transfer functions,"B Pan, J Lu, H Li, W Chen, Y Wang",2023,https://ieeexplore.ieee.org/abstract/document/10296529/,B
Deep learning-based viewpoint recommendation in volume visualization,"C Yang, Y Li, C Liu, X Yuan",2019,https://link.springer.com/article/10.1007/s12650-019-00583-4,B
"Digital rocks portal (digital porous media): connecting data, simulation and community","M Prodanović, M Esteva, J McClure",2023,https://www.e3s-conferences.org/articles/e3sconf/abs/2023/04/e3sconf_sca2022_01010/e3sconf_sca2022_01010.html,B
Virtual air conditioner's airflow simulation and visualization in ar,"J Chae, D Kim, W Jeong, E Jo, WK Jeong",2022,https://dl.acm.org/doi/abs/10.1145/3562939.3565615,B
Uncertainty visualization challenges in decision systems with ensemble data & surrogate models,"S Molnar, JD Laurence-Chasen, Y Duan",2024,https://ieeexplore.ieee.org/abstract/document/10750132/,B
VR Assisted Design of High-lift Devices with Model-based Approach,"X Liu, W Song",2023,https://arc.aiaa.org/doi/abs/10.2514/6.2023-2099,B
Benchmarking in situ triggers via reconstruction error,"Y Kawakami, N Marsaglia, M Larsen",2020,https://dl.acm.org/doi/abs/10.1145/3426462.3426469,B
Developing complete urban digital twins in busy environments: A framework for facilitating 3D model generation from multi-source point cloud data,"MH Ismail, A Shaker, S Li",2023,https://isprs-archives.copernicus.org/articles/XLVIII-1-W2-2023/7/2023/isprs-archives-XLVIII-1-W2-2023-7-2023.html,B
DE-NAF: decoupled neural attenuation fields for sparse-view CBCT reconstruction,"T Zhao, G Ding, Z Liu, P Hu, H Wei, M Tan",2025,https://link.springer.com/article/10.1007/s10044-025-01416-x,B
Exploration and Analysis of Ensemble Datasets with Statistical and Deep Learning Models,W He,2019,https://search.proquest.com/openview/4e051f06d31ef431c05ba87dba601212/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Hierarchical Spatial Algorithms for High-Resolution Image Quantization and Feature Extraction,NIS Mohammad,2025,https://arxiv.org/abs/2510.08449,B
SAPGAN: Style-Attentive Progressive Growing Generative Adversarial Network for Limited-Data Image Synthesis,"S Jha, NG Ambekar, S Thokchom",2026,https://link.springer.com/article/10.1007/s42979-026-04849-1,B
Transferring transfer functions (TTF): A guided approach to transfer function optimization in volume visualization,"A Nasim Saravi, J Horacsek, U Alim, JD Silva",2024,https://dl.acm.org/doi/abs/10.1016/j.cag.2024.104067,B
An Error-Bounded Lossy Compression Method with Bit-Adaptive Quantization for Particle Data,"C Ren, S Di, L Zhang, K Zhao, H Guo",2024,https://arxiv.org/abs/2404.02826,B
Learning to Interpret Fluid Type Phenomena via Images,S Thapa,2021,https://search.proquest.com/openview/f52b0e382ced00f92cfa616e783484dd/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Longitudinal Multi-Tensor Analysis of Neocortical Microstructure in an Animal Model of Cortical Dysplasia,"PJ Villasenõr, H Luna-Munguía",2024,https://www.biorxiv.org/content/10.1101/2024.07.09.602800.abstract,B
Seeing Beyond Pixels: Holography's Mission to Craft the Ultimate Visual Experience,FA Schiffers,2024,https://search.proquest.com/openview/8493f683f97be2fbefb765d83c387bf0/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Patchex: High-quality real-time temporal supersampling through patch-based parallel extrapolation,"A Dixit, SR Sarangi",2025,https://dl.acm.org/doi/abs/10.1145/3759247,B
New Academic Program Proposal Master of Science in Physics,M Kotlarchyk,NA,https://repository.rit.edu/cgi/viewcontent.cgi?filename=0&article=1879&context=facsenate&type=additional,B
A Coarse-to-Fine Multiscale Mesh Representation And Its Applications,HC Shao,2018,https://arxiv.org/abs/1810.03305,B
Artificial Intelligence‐Guided Design of Fluorescent Probes for Biomedical Applications,"P Tao, P Wang, D Feng, Q Wang, F Li",2026,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202503666,B
Improving Interaction With Large Medical Image Collections,LM Guzmán Medina,NA,https://repositorio.unal.edu.co/items/4c8e774a-c054-4c52-b1a3-4ef28bc19d49,B
Deep Learning for Flow Feature Detection,A de Silva,2023,https://search.proquest.com/openview/ba3f3bf86eb20121736c822409fa1798/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Hybrid Cloud Rendering for Industrial-Plant CAD Models,A de Souza Moreira,2020,https://scholar.archive.org/work/pvfnrnxa75gvxj5sxh6aj2xye4/access/wayback/https://www.maxwell.vrac.puc-rio.br/49073/49073.PDF,B
In situ prediction driven feature analysis in jet engine simulations,"S Dutta, HW Shen, JP Chen",2018,https://ieeexplore.ieee.org/abstract/document/8365977/,B
Neural Point-based Rendering for Immersive Novel View Synthesis,LRL Franke,2025,https://search.proquest.com/openview/4b74e7473429150367594117b1a2fc64/1?pq-origsite=gscholar&cbl=2026366&diss=y,B
Neural mesh reconstruction,Z Chen,2023,https://summit.sfu.ca/item/36332,B
"Development of Computational, Image Processing and Deep Learning Methods for the Microstructure Characterization of Carbon Fiber Reinforced Polyamide …",J Blarr,2025,https://books.google.com/books?hl=en&lr=&id=hg7FEQAAQBAJ&oi=fnd&pg=PR1&dq=%22scientific+visualization%22+super-resolution+scalar+field&ots=LR9VtkBypR&sig=LHl3tToYPBFvVX5UBIcIEdIxj3E,B
Sparse representation of visual data for compression and compressed sensing,E Miandji,2018,https://books.google.com/books?hl=en&lr=&id=i9V7DwAAQBAJ&oi=fnd&pg=PR5&dq=%22scientific+visualization%22+super-resolution+scalar+field&ots=0U2f6ysrIr&sig=YK-7_MDKFrdUsV9SG1ExllkMG5I,B
DeepCQ: General-Purpose Deep-Surrogate Framework for Lossy Compression Quality Prediction,"KM Mumenin, R Underwood, D Dai, J Wang",2025,https://arxiv.org/abs/2512.21433,B
Deep hybrid self-prior for full 3D mesh generation,"X Wei, Z Chen, Y Fu, Z Cui",2021,https://openaccess.thecvf.com/content/ICCV2021/html/Wei_Deep_Hybrid_Self-Prior_for_Full_3D_Mesh_Generation_ICCV_2021_paper.html?ref=https://githubhelp.com,B
An intelligent method for predicting the pressure coefficient curve of airfoil-based conditional generative adversarial networks,"Y Wang, L Deng, Y Wan, Z Yang",2021,https://ieeexplore.ieee.org/abstract/document/9547003/,B
Analysis of the phase images obtained during the collection of a holographic registration system based on the geometric phase effect and a polarization camera,"AS Ezerskii, KA Gerasimov, AA Misura",2023,"https://ntv.ifmo.ru/en/article/21898/analiz_fazovyh_izobrazheniy,_poluchennyh_pri_ispolzovanii_golograficheskoy_sistemy_registracii_na_osnove_effekta_geometricheskoy_fazy_i_polyarizacionnoy_kamery.htm",B
Metric Learning on Topological Descriptors,Y Qin,2025,https://search.proquest.com/openview/1bae4eb94534d7e44f3f6a444b9b10b7/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Bayesian Vector Flow Mapping (B-VFM),CM Nguyen,2025,https://search.proquest.com/openview/8ddcdec9f447df286c66d03b515bbad9/1?pq-origsite=gscholar&cbl=18750&diss=y,B
3DMedNeRF: Enhancing Medical X-rays 3D Reconstruction with Edge Sensitivity,"C Cao, J Zhang, Y Liu, Y Gao",NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5546988,B
Medical image segmentation in a multiple labelers context: application to the study of histopathology,B Lotero Londoño,NA,https://repositorio.unal.edu.co/items/564505e6-427e-47d8-9a0a-228302085e18,B
"Localizing Spike Sources for Improved Registration, Spike-Sorting, and Decoding in Large-Scale Neuropixels Recordings",J Boussard,2024,https://search.proquest.com/openview/0c60ddfd5798c67984460b94c2c1bf05/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Adaptive light estimation using dynamic filtering for diverse lighting conditions,"J Zhao, A Chalmers, T Rhee",2021,https://ieeexplore.ieee.org/abstract/document/9523888/,B
智能可视化与可视分析,陶钧， 张宇， 陈晴， 刘灿， 陈思明， 袁晓如,2023,https://www.researchgate.net/profile/Can-Liu-16/publication/371751113_Intelligent_visualization_and_visual_analytics/links/6556cdd4b86a1d521bed113d/Intelligent-visualization-and-visual-analytics.pdf,B
Navigation in Depth Images,A Cowley,2020,https://search.proquest.com/openview/c45512c1b3579e4595055dbf2b01dffc/1?pq-origsite=gscholar&cbl=18750&diss=y,B
"Анализ фазовых изображений, полученных при использовании голографической системы регистрации на основе эффекта геометрической фазы и …","АС Езерский, КА Герасимов",2023,https://cyberleninka.ru/article/n/analiz-fazovyh-izobrazheniy-poluchennyh-pri-ispolzovanii-golograficheskoy-sistemy-registratsii-na-osnove-effekta-geometricheskoy,B
Intelligent Aided Design of Textile Patterns Based on Deep Learning,"Y Wang, Z Liu",2018,https://link.springer.com/chapter/10.1007/978-3-030-00214-5_139,B
Leveraging Image Generative Priors for 3D Editing,A Mirzaei,2025,https://search.proquest.com/openview/efc95ab28ec46ec9e9be250be275a429/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Moha: a composable system for efficient in-situ analytics on heterogeneous hpc systems,"H Xing, G Agrawal, R Ramnath",2020,https://ieeexplore.ieee.org/abstract/document/9355207/,B
"Beyond Scaling Visual Foundation Models: Data, Rewards, and Long Sequences",D Xie,2025,https://search.proquest.com/openview/08d55a6f030dcf0cb70a8345fc498dc4/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Advancing white matter tractometry of the brain using diffusion MRI and machine learning,BQ Chandio,2022,https://search.proquest.com/openview/000c166f4fb7b6f630c878880c773dfb/1?pq-origsite=gscholar&cbl=18750&diss=y,B
Computational Modelling of Objects Represented in Images,"P Di Giamberardino, D Iacoviello, RMN Jorge",NA,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.1201/b12753&type=googlepdf,B
Assessment of crystallographic structure quality and protein–ligand complex structure validation,"KA Majorek, MD Zimmerman",2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118681121.ch11,B
Modeling of the Process of Designing the Outer Space Monitoring System Based on Optimization of the Weighted Average Fréchet,"AV Petrovskii, AS Zakharov, AV Timoshenko",2025,https://link.springer.com/article/10.3103/S1068799825060066,B
Graph-regularized discriminative analysis-synthesis dictionary pair learning for image classification,"H Chang, H Tang, F Zhang, Y Chen, H Zheng",2019,https://ieeexplore.ieee.org/abstract/document/8695692/,B
DETAILED SYLLABUS M. Tech (CORE COURSES) Course: MT 701Combinotorics and Graph Theory,"C Partitioning, V Cover, P Matchings, V Coloring",NA,https://www.unigoa.ac.in/uploads/syllabus/188_syllabus_MTechSyllabus.pdf,B
2020 Index IEEE Transactions on Visualization and Computer Graphics Vol. 26,"Y Ahn, O Akgun, K Aksit, M Al Zayer",2021,https://ieeexplore.ieee.org/abstract/document/9535337/,B
Machine learning applications for porous media,JAE Santos,2021,https://search.proquest.com/openview/5b384a47a0d326eacf49352dcdb99224/1?pq-origsite=gscholar&cbl=18750&diss=y,B
