sample_idx,ssim_cnn,ssim_gan,ssim_abs_gap,mt_distance_cnn,mt_distance_gan,pd_distance_cnn,pd_distance_gan,mt_winner,pd_winner,physics_group_winner,consensus_topology_winner,mt_pd_disagree,wpd_rmse_winner,wpd_mae_winner,psd_log_l2_winner,grad_mae_winner
38,0.6467596699872048,0.5901956948788019,0.05656397510840294,6.054014682769775,7.416414260864258,29.159912858159764,23.780350003542182,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
39,0.654329125629252,0.6094039385598059,0.04492518706944615,5.873856067657471,8.546488761901855,25.24426875811477,21.358097631209198,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
84,0.5887479558581097,0.5140077548676244,0.07474020099048528,5.271510124206543,8.559276580810547,29.14514380262554,21.106373639070085,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
131,0.591905800155085,0.5220472603960068,0.06985853975907819,6.2030792236328125,12.011610984802246,33.0539968727652,25.23355611194131,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
142,0.5179332812783004,0.4488248277532636,0.0691084535250368,7.186554908752441,8.55953311920166,31.864668972443802,25.40867751345393,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
146,0.5608636187493364,0.5038482397646202,0.0570153789847162,5.959416389465332,7.056334018707275,29.28670842660694,23.86618294113101,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
149,0.565428168832672,0.5002501072820889,0.06517806155058314,5.752551078796387,8.038224220275879,25.194205211404583,21.36081867901896,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
156,0.5436349109066684,0.47793289417761153,0.06570201672905684,5.162914276123047,9.264598846435547,25.16401321091786,17.879759557761357,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
157,0.5529429148146708,0.484282670568747,0.06866024424592382,4.567626476287842,8.282842636108398,25.57399551509901,18.686237526393793,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
159,0.6571971643379434,0.5834857077182944,0.07371145661964895,5.012121677398682,10.700226783752441,24.310343375521082,19.84507792462866,cnn,gan,cnn,abstain,1,cnn,cnn,gan,cnn
167,0.6191131216917948,0.5571305474264625,0.06198257426533227,5.800627708435059,7.244186878204346,23.479887971191566,21.661112948338108,cnn,gan,cnn,abstain,1,gan,cnn,cnn,cnn
