sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE,pd_winner_before,pd_winner_after_candidateE,mt_winner_before,mt_winner_after_candidateE,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,25.083363350542196,5.051645278930664,9.748218536376953,4.702919960021973,gan,gan,cnn,candidateE,0
1,1,24.612518312283534,22.38874396250744,25.450594917793016,4.678010940551758,11.978342056274414,4.9736104011535645,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,25.912160991425015,4.894824504852295,8.343221664428711,5.118319511413574,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,25.847384277996177,4.794641017913818,9.753995895385742,5.046786785125732,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,25.573946106909002,4.892229080200195,8.064751625061035,4.713263988494873,gan,gan,cnn,candidateE,0
5,5,27.01852197077857,22.503507148952195,27.9152901352164,5.628478050231934,6.406379699707031,5.273538589477539,gan,gan,cnn,candidateE,0
6,6,28.068979766562435,24.045087776300683,28.866392152495347,6.144000053405762,6.0106329917907715,6.478524684906006,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,30.131004100716368,5.672351837158203,7.113770008087158,5.754739761352539,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,30.405159276095315,7.50956392288208,6.055016040802002,7.592501640319824,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,29.68090988203448,5.768454551696777,6.291722297668457,5.691566467285156,gan,gan,cnn,candidateE,0
10,10,29.696969860459554,24.710016041893063,30.717926720084122,6.634506702423096,7.423793315887451,6.829566955566406,gan,gan,cnn,cnn,0
11,11,28.68732565326105,24.969867761946066,30.01622254442657,5.910721302032471,7.831723690032959,5.913635730743408,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.43890797350619,6.61636209487915,5.913707256317139,6.958117961883545,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.40987887025635,6.0738348960876465,7.402252674102783,6.693049907684326,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.34554988456052,5.448930263519287,5.877835750579834,5.852131366729736,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,27.391876734582592,5.097294807434082,5.86716890335083,5.389237880706787,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.63668546612426,5.464188098907471,5.255205154418945,6.17913818359375,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,21.768208458780098,5.2896833419799805,4.8487091064453125,5.406475067138672,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.43553936196966,6.258571624755859,5.554356575012207,6.334187984466553,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,21.954884362007565,6.927988529205322,5.44291353225708,7.169284820556641,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,23.147730382546104,6.254051208496094,5.689126491546631,6.85579252243042,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.397237467121293,8.127616882324219,10.817054748535156,8.977485656738281,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,34.71917479976559,8.081520080566406,8.346701622009277,9.455753326416016,gan,gan,cnn,cnn,0
23,23,34.476953302920876,29.144574221491347,36.783159114375884,6.907674789428711,8.497876167297363,7.513594627380371,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,37.71596776489214,7.21915864944458,12.067601203918457,5.734295845031738,gan,gan,cnn,candidateE,0
25,25,36.58411526021696,30.123491475362258,38.667381793789204,11.371563911437988,10.501462936401367,7.4312872886657715,gan,gan,gan,candidateE,1
26,26,35.02599363200026,30.779316467464,38.251288537488506,7.043282985687256,11.28821849822998,6.347497940063477,gan,gan,cnn,candidateE,0
27,27,36.89696946573002,30.945378681968467,39.54597436594801,6.4783101081848145,19.968429565429688,6.786313056945801,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,41.350085562984354,7.210402011871338,14.947399139404297,7.559102535247803,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,41.468302111462854,6.963974952697754,12.864243507385254,7.039679050445557,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,42.0509826008254,8.127463340759277,14.847400665283203,6.975273609161377,gan,gan,cnn,candidateE,0
31,31,39.104318483733294,31.3053599336416,40.990475093666156,6.818642616271973,16.23410415649414,7.08176851272583,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,40.251888747952954,7.461033821105957,19.229158401489258,6.652421951293945,gan,gan,cnn,candidateE,0
33,33,38.39305861348763,30.400139282712473,40.004997550990936,6.76971960067749,20.00556755065918,6.644585609436035,gan,gan,cnn,candidateE,0
34,34,37.356416104450325,28.907547601520903,39.06239068257097,6.323113918304443,19.445999145507812,6.468024730682373,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,37.91553880675563,6.2719197273254395,14.435929298400879,7.65088415145874,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,37.34724549383249,6.097905158996582,9.26945686340332,6.126025199890137,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,35.24862569233303,6.489102840423584,9.59257698059082,6.375161170959473,gan,gan,cnn,candidateE,0
38,38,29.159912858159764,23.780350003542182,30.79142349322306,6.054014682769775,7.416414260864258,6.759999752044678,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,27.026656653440618,5.873856067657471,8.546488761901855,6.130642890930176,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,25.39100830431554,5.6310811042785645,8.988521575927734,6.4872002601623535,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,24.215417379603533,5.389686584472656,8.901470184326172,5.558705806732178,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,22.431807761230925,5.757840156555176,7.383090972900391,6.024100303649902,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,21.389861112905695,5.7682366371154785,7.053122520446777,6.235550880432129,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,20.34376744656654,6.20600700378418,7.041088581085205,6.358849048614502,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,21.018028167969835,6.566225528717041,6.773196697235107,6.687504291534424,gan,gan,cnn,cnn,0
46,46,20.678325640697178,16.27228595124608,21.069656666639883,6.243154048919678,6.650214672088623,6.373773574829102,gan,gan,cnn,cnn,0
