label,n_samples,patches_total,psnr_mean,psnr_std,w1_pd0_mean,w1_pd0_std,w1_pd1_mean,w1_pd1_std,w2_pd0_mean,w2_pd0_std,w2_pd1_mean,w2_pd1_std,w2_pd0_count,w2_pd1_count
BICUBIC,5,45,27.505254123720498,3.107601808301232,6.647256858607749,1.54966555669719,7.515054051608567,2.879056287232781,0.7022206346422978,0.1254559558033022,,,12,15
CNN_MRHR,5,45,24.418773727397973,2.680135946802403,5.224555009785641,1.0152591059081286,6.247723191829913,2.1151017618709718,0.6042876042402564,0.13092385286703587,,,12,15
GAN_MRHR,5,45,22.20101372327077,1.6189167604148709,5.302875999615104,1.4641351431898166,4.6022040281184315,1.0352194570451003,0.5199318141015252,0.11432978457189877,0.4784138348505014,0.07161156791750968,13,16
