sample_idx,pos_idx,pd_distance_candidateF_grad_E2_low_expanded2688,mt_distance_candidateF_grad_E2_low_expanded2688
0,0,23.27537255586727,4.96591854095459
1,1,23.0746184914721,5.039857864379883
2,2,23.63109331274154,5.182242393493652
3,3,23.557682813700975,4.709897994995117
4,4,22.805067908143933,4.719337463378906
5,5,23.895872733664802,5.523819446563721
6,6,25.449302076665656,5.212455749511719
7,7,25.94811833515611,5.876652717590332
8,8,26.047132588790337,6.012073516845703
9,9,25.15766255312297,5.399665355682373
10,10,25.34427614595575,5.617855072021484
11,11,24.049120131513824,6.749093055725098
12,12,25.33816340453505,5.706393241882324
13,13,25.44511442942317,6.526429176330566
14,14,24.27353501891167,5.4192399978637695
15,15,22.498514266312196,5.115871906280518
16,16,20.165815058183647,4.722856521606445
17,17,18.151570731751683,4.094663619995117
18,18,17.533288246123718,4.3918962478637695
19,19,17.22172699913106,4.976779460906982
20,20,18.506055911071016,5.186514854431152
21,21,22.743058220331676,7.73196268081665
22,22,27.92184242910498,6.318380832672119
23,23,30.022832520769956,6.183196067810059
24,24,30.984295756917913,5.748534202575684
25,25,31.66688002402639,6.398910045623779
26,26,30.263217787308502,7.799518585205078
27,27,31.778887254558253,6.277277946472168
28,28,33.10639492133635,7.801897048950195
29,29,34.75599030423751,8.578235626220703
30,30,34.957388062758234,7.259835720062256
31,31,34.90744367483026,7.070522308349609
32,32,33.85541893277711,6.764081954956055
33,33,33.64162987093246,6.864243507385254
34,34,32.85080030238022,6.297201156616211
35,35,32.364224625520386,6.708964824676514
36,36,32.75254775208621,6.311385631561279
37,37,31.095613914909627,6.34707498550415
38,38,26.399351676896536,6.6573710441589355
39,39,22.37206319597688,6.549941539764404
40,40,21.031846958881697,5.462316513061523
41,41,19.950910469368274,5.950599670410156
42,42,18.128532358734557,5.726477146148682
43,43,16.63249574326968,6.591086387634277
44,44,15.503332275839504,6.716445446014404
45,45,16.55474506878746,6.287393569946289
46,46,16.353623130680937,6.412731170654297
47,47,17.007729257684634,7.133268356323242
48,48,17.36361899506958,6.289316177368164
49,49,17.399641783408246,6.288148403167725
50,50,17.15745777185863,6.325012683868408
51,51,17.86153598145191,5.935201644897461
52,52,18.310896931776487,5.799164772033691
53,53,18.27960910544417,5.513686656951904
54,54,19.117909671105956,5.497227668762207
55,55,19.84392635902127,5.476547718048096
56,56,20.50911692682676,5.934192180633545
57,57,21.015176684699917,5.938665390014648
58,58,21.581763386611712,5.758445739746094
59,59,22.051695858438897,5.12967586517334
60,60,22.095689765959957,5.978893756866455
61,61,22.423294629007344,5.451778411865234
62,62,23.914144492715458,5.826660633087158
63,63,24.261004200917615,6.52208948135376
64,64,20.622006013501124,5.6199750900268555
65,65,18.97729739616398,4.674123764038086
66,66,17.594516892822682,5.036732196807861
67,67,16.91801931020723,5.357875823974609
68,68,17.6373059946766,4.870230674743652
69,69,20.34563277357328,5.357361793518066
70,70,20.936007613039752,4.726282119750977
71,71,21.19941910005468,5.076770305633545
72,72,22.226618512281963,4.598625183105469
73,73,23.75683736473388,5.810029029846191
74,74,24.979931310748466,5.030311584472656
75,75,25.231822453355385,5.377788543701172
76,76,25.84040008386898,5.447328567504883
77,77,25.566052887820813,5.497107028961182
78,78,25.746797888369784,5.515340805053711
79,79,26.06495666429907,5.947681903839111
80,80,25.84530515804027,5.863535404205322
81,81,25.50466137313465,5.143772602081299
82,82,25.223061419154057,5.723633766174316
83,83,24.987828798696807,5.278365612030029
84,84,25.386799107524606,5.692235469818115
85,85,25.184584750964653,5.346215724945068
86,86,25.481196479017893,5.253409385681152
87,87,25.42799997426293,6.143691539764404
88,88,22.47191482458065,5.521936893463135
89,89,20.824544969627073,5.822445869445801
90,90,19.114693995687094,4.749759197235107
91,91,18.68087860553298,5.286654949188232
92,92,19.13774410971851,5.181406021118164
93,93,21.54766613872306,6.602797985076904
94,94,23.1492654104114,5.143526077270508
95,95,24.175483679978992,5.502798080444336
96,96,25.981469743335285,5.4048752784729
97,97,26.57623114548653,5.003319263458252
98,98,27.353356826602987,5.352258205413818
99,99,27.27828483688575,5.3871846199035645
100,100,27.129508854382266,5.089542865753174
101,101,26.56722875707433,5.121166706085205
102,102,25.393502542910216,4.681265354156494
103,103,26.07827086466471,5.336728096008301
104,104,25.759969279280423,4.657990455627441
105,105,25.789193198581476,5.096550464630127
106,106,26.13986165424125,5.313351154327393
107,107,25.653052623555624,5.364666938781738
108,108,25.694608665507584,5.614889621734619
109,109,25.117998509812672,5.200637340545654
110,110,25.649704381197566,5.567422389984131
111,111,24.39822369126904,5.6224493980407715
112,112,24.258077965549962,5.179232597351074
113,113,23.179065773081692,5.5983123779296875
