sample,method,node_distance,branch_distance,arc_distance,ratio_distance,rel_nodes,rel_branches,rel_arcs,rel_ratio,mt_composite_minmax,mt_composite_rel
s0,SR,7756.0,1292.0,3878.0,3.461764807694001e-05,0.674317509998261,0.6739697443922793,0.674317509998261,3.461764807694001e-05,0.8942391439591888,0.4494406240128724
s1,SR,8604.0,1434.0,4302.0,2.1922127222989696e-05,0.6918623351559986,0.6920849420849418,0.6918623351559986,2.1922127222989696e-05,0.8299595172064613,0.46132306645605453
s2,SR,6310.0,1052.0,3155.0,2.5283171521062187e-05,0.4786104368932038,0.47883477469276264,0.4786104368932038,2.5283171521062187e-05,0.5896710024194701,0.31915683158582914
s3,SR,3246.0,541.0,1623.0,9.73039643470397e-06,0.24263716549558975,0.2427097353073126,0.24263716549558975,9.73039643470397e-06,0.0,0.16178554373311235
s4,SR,8182.0,1363.0,4091.0,3.0228832260198457e-05,0.5898212226066897,0.5895328719723181,0.5898212226066897,3.0228832260198457e-05,0.8884613464022784,0.393128107803756
