method_id,display_name,candidate_family,metric,metric_family,direction,n_valid_pairs,cnn_mean_on_valid_pairs,method_mean_on_valid_pairs,mean_raw_delta,median_raw_delta,mean_improvement,median_improvement,improvement_standard_deviation,improvement_standard_error,improvement_ci95_low,improvement_ci95_high,win_count,tie_count,loss_count,win_rate,tie_rate,loss_rate,paired_effect_size_dz,sign_test_p_raw,wilcoxon_p_raw,test_status,sign_test_p_holm_global,sign_test_p_holm_within_metric,wilcoxon_p_holm_global,wilcoxon_p_holm_within_metric
b_e2,Candidate B + repaired E2,E2_b,psnruv,vector_uv,higher_is_better,168,31.19250043386114,32.68894034404412,1.4964399101829775,1.5858834516708598,1.4964399101829775,1.5858834516708598,0.5064443244372064,0.03907302791497474,1.4213745984597506,1.5732007129266043,168,0,0,1.0,0.0,0.0,2.9547964859630285,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable,2.009919061989331e-48,9.621952956331904e-50,,
b_e2,Candidate B + repaired E2,E2_b,ssim_speed,scalar_speed,higher_is_better,0,,,,,,,,,,,0,0,0,,,,,,,no_valid_pairs,,,,
b_e2,Candidate B + repaired E2,E2_b,speed_mae,scalar_speed,lower_is_better,168,0.6940701629397319,0.5684218234352497,-0.12564833950448212,-0.1218462958690496,0.12564833950448212,0.1218462958690496,0.03530754840894838,0.002724036499224732,0.12041616212348218,0.13117765499732034,168,0,0,1.0,0.0,0.0,3.558682071300019,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable,2.009919061989331e-48,9.621952956331904e-50,,
b_e2,Candidate B + repaired E2,E2_b,speed_rmse,scalar_speed,lower_is_better,168,1.1077586003651096,0.9629228498438168,-0.1448357505212928,-0.133559956749573,0.1448357505212928,0.133559956749573,0.06106559785403562,0.004711313158157813,0.13578925702766803,0.15430974610790377,168,0,0,1.0,0.0,0.0,2.37180598587591,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable,2.009919061989331e-48,9.621952956331904e-50,,
b_e2,Candidate B + repaired E2,E2_b,wpd_mae,wind_power_distribution,lower_is_better,168,231.67091095165674,183.41701014952937,-48.25390080212737,-42.5262496371341,48.25390080212737,42.5262496371341,27.587098254696606,2.1283908382165326,44.21378382710584,52.56398895403085,168,0,0,1.0,0.0,0.0,1.749147386094234,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable,2.009919061989331e-48,9.621952956331904e-50,,
b_e2,Candidate B + repaired E2,E2_b,wpd_w1,wind_power_distribution,lower_is_better,168,45.27127092112854,16.08684255251199,-29.184428368616544,-29.935676982496105,29.184428368616544,29.935676982496105,21.71972296667062,1.675713007002931,25.850870659884986,32.5124753077832,157,0,11,0.9345238095238095,0.0,0.06547619047619048,1.3436832695058163,3.0981890375328657e-34,,sign_test=ok; wilcoxon=scipy_unavailable,6.754052101821647e-32,4.337464652546012e-33,,
b_e2,Candidate B + repaired E2,E2_b,wpd_bias_abs,wind_power_distribution,lower_is_better,168,35.343902938857745,12.68513175597048,-22.658771182887264,-23.263788078080584,22.658771182887264,23.263788078080584,20.40536036993074,1.5743077311320122,19.500426874885814,25.71747411267174,140,0,28,0.8333333333333334,0.0,0.16666666666666666,1.1104322968133973,4.0947447895527606e-19,,sign_test=ok; wilcoxon=scipy_unavailable,6.469696767493362e-17,4.913693747463313e-18,,
b_e2,Candidate B + repaired E2,E2_b,grad_mae,gradient_distribution,lower_is_better,168,0.3490557204526641,0.3120032967125003,-0.037052423740163744,-0.03774108392187264,0.037052423740163744,0.03774108392187264,0.008734727864359195,0.0006738988852389262,0.03572569929349982,0.038361105907661355,168,0,0,1.0,0.0,0.0,4.241966586200224,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable,2.009919061989331e-48,9.621952956331904e-50,,
b_e2,Candidate B + repaired E2,E2_b,grad_w1,gradient_distribution,lower_is_better,168,0.23294292018237564,0.15426182485335077,-0.07868109532902483,-0.08337970931762956,0.07868109532902483,0.08337970931762956,0.03437046010464101,0.00265173856694227,0.07338938476281365,0.08376451222239212,162,0,6,0.9642857142857143,0.0,0.03571428571428571,2.2892069262232715,1.583025776075848e-40,,sign_test=ok; wilcoxon=scipy_unavailable,3.6884500582567256e-38,2.0579335088986023e-39,,
b_e2,Candidate B + repaired E2,E2_b,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,3.70037604414437,2.9747054279552594,-0.7256706161891101,0.28469732671105596,0.7256706161891101,-0.28469732671105596,4.109003911302493,0.31701653426065657,0.11356649884587516,1.3687001164509083,72,0,96,0.42857142857142855,0.0,0.5714285714285714,0.17660499523814843,0.07566911610226444,,sign_test=ok; wilcoxon=scipy_unavailable,1.0,0.4808916412315877,,
b_e2,Candidate B + repaired E2,E2_b,psd_log_l2,frequency_domain,lower_is_better,168,0.8335247431666106,0.8508610050202418,0.0173362618536313,-0.005007870549460225,-0.0173362618536313,0.005007870549460225,0.0902170100924991,0.006960393440418234,-0.03127950408655859,-0.004209566193807279,86,0,82,0.5119047619047619,0.0,0.4880952380952381,-0.19216178673906956,0.8170464889807801,,sign_test=ok; wilcoxon=scipy_unavailable,1.0,0.975133991159973,,
b_e2,Candidate B + repaired E2,E2_b,psd_slope_abs_delta,frequency_domain,lower_is_better,168,0.9150108562505738,1.202895420433148,0.28788456418257397,0.2945631788931947,-0.28788456418257397,-0.2945631788931947,0.16540451254365332,0.012761235192166279,-0.3126697684498043,-0.2633724079565335,0,0,168,0.0,0.0,1.0,-1.7404879694959705,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable,2.009919061989331e-48,9.621952956331904e-50,,
b_e2,Candidate B + repaired E2,E2_b,exceed_abs_t5,threshold_geometry,lower_is_better,168,0.004242333333333336,0.0020346666666666716,-0.0022076666666666646,-0.0023200000000000442,0.0022076666666666646,0.0023200000000000442,0.002618066513948237,0.0002019882167628944,0.0018210523809523806,0.0025969815476190507,132,0,36,0.7857142857142857,0.0,0.21428571428571427,0.8432431547880505,4.430292479224891e-14,,sign_test=ok; wilcoxon=scipy_unavailable,5.892288997369105e-12,5.759380222992359e-13,,
b_e2,Candidate B + repaired E2,E2_b,exceed_abs_t10,threshold_geometry,lower_is_better,168,0.006580809523809519,0.0026371190476190496,-0.0039436904761904696,-0.0025900000000000367,0.0039436904761904696,0.0025900000000000367,0.005048607211684507,0.0003895085027028477,0.003174220238095236,0.004709410119047609,134,0,34,0.7976190476190477,0.0,0.20238095238095238,0.7811442464890483,3.055330456382589e-15,,sign_test=ok; wilcoxon=scipy_unavailable,4.216356029807973e-13,5.194061775850401e-14,,
b_e2,Candidate B + repaired E2,E2_b,exceed_abs_t15,threshold_geometry,lower_is_better,168,0.0062105,0.0018069047619047615,-0.004403595238095239,-0.0028399999999999996,0.004403595238095239,0.0028399999999999996,0.004988256131794395,0.0003848523158024107,0.003663248809523809,0.005155958928571428,141,0,27,0.8392857142857143,0.0,0.16071428571428573,0.8827925274380729,8.048176348197814e-20,,sign_test=ok; wilcoxon=scipy_unavailable,1.3199009211044416e-17,1.2072264522296722e-18,,
