label,n_pd0_mean,n_pd0_std,n_pd0_count,n_pd1_mean,n_pd1_std,n_pd1_count,mt_nodes_mean,mt_nodes_std,mt_nodes_count,mt_arcs_mean,mt_arcs_std,mt_arcs_count,mt_branches_mean,mt_branches_std,mt_branches_count,mt_max_pers_mean,mt_max_pers_std
GAN_GT,11.8,1.48,5,5.8,0.84,5,12874.4,924.71,5,6437.2,462.35,5,2145.4,154.08,5,14.93,5.86
GAN_SR,12.2,2.28,5,6.0,1.22,5,19694.0,2063.75,5,9847.0,1031.88,5,3281.8,343.94,5,18.05,7.75
