effect_id,psnruv,ssim_speed,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
speed,0.0373859488287874,,0.004241105214995234,0.0066223057828712585,1.4638977657721273,1.3151071195045567,2.816655101383545,-0.0006235585117951618,-0.005516777470871321,-0.018760291108097432,-0.023849342028854126,0.02566444171317298,-0.0007847261904761876,0.00033014285714285714,0.00025320238095238076,0.0003561607142857143,-3.9841269841269837,-1.244047619047619,-6.005952380952381,-4.196428571428571,0.016796612915358573,-0.030076361128262112
grad,-0.33013268046820843,,-0.02548287698531417,-0.030566925910288475,-8.274015233328205,9.811936084329437,6.753683067670073,0.01265232236924585,0.0571622103845571,2.5033366172627325,0.1848871125034815,0.1313960948256574,0.0020331666666666675,0.001165285714285714,0.0012836547619047612,0.002020017857142858,34.632440476190474,11.764880952380953,47.839285714285715,38.345238095238095,6.748087391279217,-0.18601601251534053
levelset,0.032433804424710624,,0.004224050655201087,0.0045836766422444105,1.5450638943689414,0.4951531114073773,1.122515456534857,-0.00017824970305322933,-0.004778461442017932,-0.0411574233063884,-0.011418838804356983,0.014244250378359654,-0.00034154761904761757,0.00016314285714285595,0.00015458333333333307,0.00010301785714285677,-3.396825396825396,-1.3720238095238095,-5.4375,-3.244047619047619,0.18393268188538636,0.011362744938759576
speed:grad,0.04219622125165937,,0.003334118494422558,0.00491949888045484,1.0730377486536395,-1.0920323297478736,-0.5944312715059921,-0.001520501982597475,-0.007494118311132319,-0.23769968463590913,-0.03078075479356383,0.017962975361325427,-0.00027657142857142735,4.863095238095315e-05,-0.00014658333333333347,-0.0002078869047619046,-4.61656746031746,-1.2172619047619047,-6.330357142857143,-5.211309523809524,-0.07961389776901016,-0.06796252088887351
speed:levelset,-0.014031967953818716,,-0.0018411941404674033,-0.002013661096750528,-0.6038665602741766,-0.02586941703041263,-0.5277504466537954,0.0008512855105808295,0.004590806987333939,-0.03066607102217028,0.012946004141016602,-0.0265378901592143,0.00025459523809523985,-0.00013017857142857175,-1.1107142857142855e-05,-5.1244047619047756e-05,3.254960317460317,1.3244047619047619,4.726190476190476,3.431547619047619,0.018872773139299075,0.08102897022451673
grad:levelset,0.03797128893289493,,0.0027022769948619146,0.003878049283029503,0.8754689751323409,-4.593806679669613,-5.5299394221628715,-0.0012636418136756306,-0.006695812523555967,-0.12997816848324015,-0.0163390464038015,0.01511265583739281,0.00012844047619047717,-0.0005431547619047618,-0.0006733214285714288,-0.0012152202380952383,-3.1929563492063497,-0.875,-3.7023809523809526,-3.7232142857142856,0.10451383844924902,-0.018512121978260222
speed:grad:levelset,-0.00910980126123567,,-0.001267283144665678,-0.0014503989822612809,-0.35154366428828077,1.0835669819995395,0.9214302098704914,0.00048826013247855603,0.003129837602134577,0.19842403752208912,0.008755976984196168,-0.03299534157944361,8.334523809523711e-05,0.00016547619047618817,0.00017234523809523902,0.0003025892857142853,2.338789682539683,1.0178571428571428,3.205357142857143,2.4107142857142856,-0.043694247276571625,0.0554136499052956
