contrast_id,contrast_family,base_method,comparison_method,sample_idx,metric,metric_family,direction,base_value,comparison_value,raw_delta,oriented_improvement
add_crit_to_uv,add_critical_proxy,uv,uv_crit,0,psnruv,vector_uv,higher_is_better,34.74772310286258,34.551986133827484,-0.19573696903509585,-0.19573696903509585
add_crit_to_uv,add_critical_proxy,uv,uv_crit,1,psnruv,vector_uv,higher_is_better,34.766129376282294,34.605915496657424,-0.16021387962486955,-0.16021387962486955
add_crit_to_uv,add_critical_proxy,uv,uv_crit,2,psnruv,vector_uv,higher_is_better,34.5062382062704,34.335668580507004,-0.17056962576339885,-0.17056962576339885
add_crit_to_uv,add_critical_proxy,uv,uv_crit,3,psnruv,vector_uv,higher_is_better,34.450990883366956,34.264905564823266,-0.18608531854368948,-0.18608531854368948
add_crit_to_uv,add_critical_proxy,uv,uv_crit,4,psnruv,vector_uv,higher_is_better,33.990689710204315,33.80028299180051,-0.19040671840380696,-0.19040671840380696
add_crit_to_uv,add_critical_proxy,uv,uv_crit,5,psnruv,vector_uv,higher_is_better,34.04809725253967,33.86276240315442,-0.18533484938524936,-0.18533484938524936
add_crit_to_uv,add_critical_proxy,uv,uv_crit,6,psnruv,vector_uv,higher_is_better,34.22478259675854,34.070606507206534,-0.1541760895520028,-0.1541760895520028
add_crit_to_uv,add_critical_proxy,uv,uv_crit,7,psnruv,vector_uv,higher_is_better,33.86476745112154,33.702831429479446,-0.16193602164209153,-0.16193602164209153
add_crit_to_uv,add_critical_proxy,uv,uv_crit,8,psnruv,vector_uv,higher_is_better,34.14045088690312,33.969908485724844,-0.1705424011782739,-0.1705424011782739
add_crit_to_uv,add_critical_proxy,uv,uv_crit,9,psnruv,vector_uv,higher_is_better,34.17661899390155,33.99535219051861,-0.18126680338293966,-0.18126680338293966
add_crit_to_uv,add_critical_proxy,uv,uv_crit,10,psnruv,vector_uv,higher_is_better,34.58779412526263,34.40663403482329,-0.18116009043934156,-0.18116009043934156
add_crit_to_uv,add_critical_proxy,uv,uv_crit,11,psnruv,vector_uv,higher_is_better,34.412276082470754,34.249688650782616,-0.16258743168813794,-0.16258743168813794
add_crit_to_uv,add_critical_proxy,uv,uv_crit,12,psnruv,vector_uv,higher_is_better,34.02262698603773,33.87296108288401,-0.14966590315371775,-0.14966590315371775
add_crit_to_uv,add_critical_proxy,uv,uv_crit,13,psnruv,vector_uv,higher_is_better,32.92929439133092,32.777811716725935,-0.15148267460498488,-0.15148267460498488
add_crit_to_uv,add_critical_proxy,uv,uv_crit,14,psnruv,vector_uv,higher_is_better,33.301665303990745,33.167650647504665,-0.13401465648608024,-0.13401465648608024
add_crit_to_uv,add_critical_proxy,uv,uv_crit,15,psnruv,vector_uv,higher_is_better,34.179704252385356,34.06629784603348,-0.11340640635187782,-0.11340640635187782
add_crit_to_uv,add_critical_proxy,uv,uv_crit,16,psnruv,vector_uv,higher_is_better,35.18992556477706,35.05914093700251,-0.13078462777455258,-0.13078462777455258
add_crit_to_uv,add_critical_proxy,uv,uv_crit,17,psnruv,vector_uv,higher_is_better,35.648136406572235,35.51424027364237,-0.1338961329298627,-0.1338961329298627
add_crit_to_uv,add_critical_proxy,uv,uv_crit,18,psnruv,vector_uv,higher_is_better,36.09624657621608,35.9372567846147,-0.15898979160137827,-0.15898979160137827
add_crit_to_uv,add_critical_proxy,uv,uv_crit,19,psnruv,vector_uv,higher_is_better,36.0907013371288,35.934686148282665,-0.1560151888461334,-0.1560151888461334
add_crit_to_uv,add_critical_proxy,uv,uv_crit,20,psnruv,vector_uv,higher_is_better,36.00380374803936,35.841671043762645,-0.1621327042767149,-0.1621327042767149
add_crit_to_uv,add_critical_proxy,uv,uv_crit,21,psnruv,vector_uv,higher_is_better,36.11763883018532,35.97408561379621,-0.14355321638910823,-0.14355321638910823
add_crit_to_uv,add_critical_proxy,uv,uv_crit,22,psnruv,vector_uv,higher_is_better,35.66015266999092,35.52935603033939,-0.13079663965152832,-0.13079663965152832
add_crit_to_uv,add_critical_proxy,uv,uv_crit,23,psnruv,vector_uv,higher_is_better,35.63452727989561,35.526132861261,-0.10839441863461019,-0.10839441863461019
add_crit_to_uv,add_critical_proxy,uv,uv_crit,24,psnruv,vector_uv,higher_is_better,35.61197051036358,35.50180444915918,-0.11016606120439576,-0.11016606120439576
add_crit_to_uv,add_critical_proxy,uv,uv_crit,25,psnruv,vector_uv,higher_is_better,35.547990217931364,35.42999748523946,-0.1179927326919028,-0.1179927326919028
add_crit_to_uv,add_critical_proxy,uv,uv_crit,26,psnruv,vector_uv,higher_is_better,35.63863103896513,35.50907612504845,-0.12955491391667806,-0.12955491391667806
add_crit_to_uv,add_critical_proxy,uv,uv_crit,27,psnruv,vector_uv,higher_is_better,35.60408347652444,35.454203740957496,-0.149879735566941,-0.149879735566941
add_crit_to_uv,add_critical_proxy,uv,uv_crit,28,psnruv,vector_uv,higher_is_better,35.42405833300235,35.28995522714499,-0.1341031058573563,-0.1341031058573563
add_crit_to_uv,add_critical_proxy,uv,uv_crit,29,psnruv,vector_uv,higher_is_better,35.60280951031444,35.46887103750631,-0.13393847280812565,-0.13393847280812565
add_crit_to_uv,add_critical_proxy,uv,uv_crit,30,psnruv,vector_uv,higher_is_better,35.7743303629662,35.66564526201729,-0.10868510094890382,-0.10868510094890382
add_crit_to_uv,add_critical_proxy,uv,uv_crit,31,psnruv,vector_uv,higher_is_better,35.59157646241019,35.48654484974325,-0.1050316126669415,-0.1050316126669415
add_crit_to_uv,add_critical_proxy,uv,uv_crit,32,psnruv,vector_uv,higher_is_better,35.65094841327619,35.53613264511784,-0.11481576815835126,-0.11481576815835126
add_crit_to_uv,add_critical_proxy,uv,uv_crit,33,psnruv,vector_uv,higher_is_better,35.51647441528135,35.42109344847353,-0.0953809668078236,-0.0953809668078236
add_crit_to_uv,add_critical_proxy,uv,uv_crit,34,psnruv,vector_uv,higher_is_better,35.35495829955815,35.26176178701102,-0.0931965125471308,-0.0931965125471308
add_crit_to_uv,add_critical_proxy,uv,uv_crit,35,psnruv,vector_uv,higher_is_better,34.883706725902144,34.78467089642938,-0.09903582947276135,-0.09903582947276135
add_crit_to_uv,add_critical_proxy,uv,uv_crit,36,psnruv,vector_uv,higher_is_better,34.66094534527827,34.55744435057804,-0.10350099470023366,-0.10350099470023366
add_crit_to_uv,add_critical_proxy,uv,uv_crit,37,psnruv,vector_uv,higher_is_better,34.48231915521756,34.36600806133066,-0.11631109388689964,-0.11631109388689964
add_crit_to_uv,add_critical_proxy,uv,uv_crit,38,psnruv,vector_uv,higher_is_better,35.59610435750064,35.500002090877516,-0.09610226662312726,-0.09610226662312726
add_crit_to_uv,add_critical_proxy,uv,uv_crit,39,psnruv,vector_uv,higher_is_better,36.57321835369296,36.493493221530905,-0.07972513216205357,-0.07972513216205357
add_crit_to_uv,add_critical_proxy,uv,uv_crit,40,psnruv,vector_uv,higher_is_better,37.39629841393382,37.32413147227947,-0.072166941654352,-0.072166941654352
add_crit_to_uv,add_critical_proxy,uv,uv_crit,41,psnruv,vector_uv,higher_is_better,37.68940693675408,37.60191883553529,-0.08748810121879558,-0.08748810121879558
add_crit_to_uv,add_critical_proxy,uv,uv_crit,42,psnruv,vector_uv,higher_is_better,38.396668594069745,38.30998771249888,-0.08668088157086373,-0.08668088157086373
add_crit_to_uv,add_critical_proxy,uv,uv_crit,43,psnruv,vector_uv,higher_is_better,38.44058206397942,38.370122779194475,-0.07045928478494545,-0.07045928478494545
add_crit_to_uv,add_critical_proxy,uv,uv_crit,44,psnruv,vector_uv,higher_is_better,37.554108692117644,37.47640928689506,-0.07769940522258167,-0.07769940522258167
add_crit_to_uv,add_critical_proxy,uv,uv_crit,45,psnruv,vector_uv,higher_is_better,36.09436703514976,36.01272229073735,-0.08164474441240799,-0.08164474441240799
add_crit_to_uv,add_critical_proxy,uv,uv_crit,46,psnruv,vector_uv,higher_is_better,35.16289957434325,35.07764487694786,-0.08525469739539204,-0.08525469739539204
add_crit_to_uv,add_critical_proxy,uv,uv_crit,47,psnruv,vector_uv,higher_is_better,35.1088283470921,35.01903759937042,-0.08979074772167905,-0.08979074772167905
add_crit_to_uv,add_critical_proxy,uv,uv_crit,48,psnruv,vector_uv,higher_is_better,34.69490672765947,34.61841945615093,-0.07648727150854029,-0.07648727150854029
add_crit_to_uv,add_critical_proxy,uv,uv_crit,49,psnruv,vector_uv,higher_is_better,34.65410703091768,34.55858407221245,-0.09552295870523153,-0.09552295870523153
add_crit_to_uv,add_critical_proxy,uv,uv_crit,50,psnruv,vector_uv,higher_is_better,34.60723616583735,34.50443995672035,-0.10279620911700249,-0.10279620911700249
