design_id,method_id,metric,metric_family,direction,n_valid,mean,median,standard_deviation,standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high
B_FACTORIAL_2x3,uv,psnruv,vector_uv,higher_is_better,168,33.78924941632876,33.776060226994375,2.1077738815152993,0.16261828544020604,33.47591310017224,34.11036475355736
B_FACTORIAL_2x3,speed_only,psnruv,vector_uv,higher_is_better,168,33.789361310598466,33.78131111848519,2.108171543836045,0.1626489657543284,33.47604433902972,34.110688695848516
B_FACTORIAL_2x3,levelset_only,psnruv,vector_uv,higher_is_better,168,33.78863409851316,33.77596557353658,2.111673740331537,0.16291916608006837,33.47501861014841,34.110699375485
B_FACTORIAL_2x3,speed_levelset,psnruv,vector_uv,higher_is_better,168,33.7789016593977,33.776100935638084,2.109503848813954,0.16275175531495967,33.465299761380855,34.10030440596616
B_FACTORIAL_2x3,grad_only,psnruv,vector_uv,higher_is_better,168,33.369839424414764,33.385675412299065,2.1372880359962476,0.16489535189406054,33.0531047309451,33.69682865368064
B_FACTORIAL_2x3,speed_grad,psnruv,vector_uv,higher_is_better,168,33.47256336371026,33.49980869998062,2.1130914157413816,0.16302854211251733,33.159170372204834,33.795997966318296
B_FACTORIAL_2x3,grad_levelset,psnruv,vector_uv,higher_is_better,168,33.463386286987415,33.490937861805875,2.1186773677229853,0.16345950766426173,33.149300959701016,33.788044602863394
B_FACTORIAL_2x3,candidate_b,psnruv,vector_uv,higher_is_better,168,33.51982668785281,33.54564707653347,2.1071260068139988,0.16256830082182286,33.20684556002424,33.84242103915748
B_FACTORIAL_2x3,uv,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,speed_only,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,levelset_only,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,speed_levelset,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,grad_only,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,speed_grad,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,grad_levelset,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,candidate_b,ssim_speed,scalar_speed,higher_is_better,0,,,,,,
B_FACTORIAL_2x3,uv,speed_mae,scalar_speed,lower_is_better,168,0.495796154586908,0.503472232804737,0.10628489660225256,0.008200057798051065,0.4800365057977058,0.5118023193751444
B_FACTORIAL_2x3,speed_only,speed_mae,scalar_speed,lower_is_better,168,0.49431525687053357,0.5016997168116367,0.10589792870045747,0.008170202576263674,0.47860913964381,0.5102421419930865
B_FACTORIAL_2x3,levelset_only,speed_mae,scalar_speed,lower_is_better,168,0.4937004699307671,0.5006742814672611,0.10591251038294935,0.008171327577491963,0.4779946473030461,0.5096059646849774
B_FACTORIAL_2x3,speed_levelset,speed_mae,scalar_speed,lower_is_better,168,0.4933673942059962,0.5005861369725546,0.1058841283301421,0.008169137854578484,0.4776441422938306,0.5092735068838926
B_FACTORIAL_2x3,grad_only,speed_mae,scalar_speed,lower_is_better,168,0.5285827102061724,0.5412353062842663,0.1125755069096829,0.008685388919922349,0.511782004136956,0.5455102738857485
B_FACTORIAL_2x3,speed_grad,speed_mae,scalar_speed,lower_is_better,168,0.5178990092116215,0.5255208639716009,0.10999963847603031,0.008486656355735247,0.5015488349452899,0.5344568345289897
B_FACTORIAL_2x3,grad_levelset,speed_mae,scalar_speed,lower_is_better,168,0.5185479052709762,0.5261491158260723,0.11083218761024566,0.008550888915943982,0.5020620805185241,0.5352323757295294
B_FACTORIAL_2x3,candidate_b,speed_mae,scalar_speed,lower_is_better,168,0.5140811588466916,0.5213701484743981,0.10946008521033197,0.008445028917545127,0.49780056532295547,0.5305516108610396
B_FACTORIAL_2x3,uv,speed_rmse,scalar_speed,lower_is_better,168,0.8554678434057079,0.8494661415749308,0.16920988248954993,0.013054825857414736,0.8301764764681234,0.8810595272389716
B_FACTORIAL_2x3,speed_only,speed_rmse,scalar_speed,lower_is_better,168,0.8532017743888024,0.846532952816904,0.16874836765478501,0.01301921921488402,0.8279639802283937,0.8786979778684155
B_FACTORIAL_2x3,levelset_only,speed_rmse,scalar_speed,lower_is_better,168,0.854198953932004,0.8484882310126124,0.16919509417152848,0.013053684913909227,0.8289920150469077,0.8797241627418307
B_FACTORIAL_2x3,speed_levelset,speed_rmse,scalar_speed,lower_is_better,168,0.8530594091440766,0.8475236811324522,0.16891175033708247,0.013031824462486167,0.8278262260707862,0.8785813249825676
B_FACTORIAL_2x3,grad_only,speed_rmse,scalar_speed,lower_is_better,168,0.8962827164617422,0.8901614015431085,0.17657429267574604,0.013623002438527241,0.8698689211863769,0.9228890568625381
B_FACTORIAL_2x3,speed_grad,speed_rmse,scalar_speed,lower_is_better,168,0.8812768517194042,0.876221510088506,0.1737878007755337,0.013408019921104743,0.8552797795623492,0.9075820892460568
B_FACTORIAL_2x3,grad_levelset,speed_rmse,scalar_speed,lower_is_better,168,0.8843569304574566,0.8781931406324999,0.17484083416438592,0.013489263210865658,0.8581456946650339,0.9107734271216729
B_FACTORIAL_2x3,candidate_b,speed_rmse,scalar_speed,lower_is_better,168,0.876279185873142,0.8705515200939609,0.1727642121066254,0.013329048340806848,0.850396719631233,0.9023958406735006
B_FACTORIAL_2x3,uv,wpd_mae,wind_power_distribution,lower_is_better,168,158.97693139286514,165.65965092213733,73.17466937245989,5.6455483082695235,148.05290506277422,170.28203312203928
B_FACTORIAL_2x3,speed_only,wpd_mae,wind_power_distribution,lower_is_better,168,158.33374847976074,164.898755298207,72.78580954289286,5.615547121085583,147.46011852210478,169.59006261380398
B_FACTORIAL_2x3,levelset_only,wpd_mae,wind_power_distribution,lower_is_better,168,158.05501357764263,164.7427164340903,72.65818207895,5.605700448468808,147.220471779948,169.3050552179328
B_FACTORIAL_2x3,speed_levelset,wpd_mae,wind_power_distribution,lower_is_better,168,157.91647645651003,164.44438236529055,72.64133768100211,5.604400874953082,147.07922268046227,169.16262480379206
B_FACTORIAL_2x3,grad_only,wpd_mae,wind_power_distribution,lower_is_better,168,169.55099701426758,177.2336803426939,77.66501795057802,5.991986222320095,157.97168716623588,181.53600291204876
B_FACTORIAL_2x3,speed_grad,wpd_mae,wind_power_distribution,lower_is_better,168,166.05865127527937,173.34888984914284,76.07610180505243,5.869398680288368,154.6921720063621,177.80875365825045
B_FACTORIAL_2x3,grad_levelset,wpd_mae,wind_power_distribution,lower_is_better,168,166.17505392020382,173.38443108620152,76.247645646862,5.88263357501666,154.79596162443215,177.94535812619844
B_FACTORIAL_2x3,candidate_b,wpd_mae,wind_power_distribution,lower_is_better,168,164.59352863034053,171.41200655998017,75.54584392305091,5.82848839652005,153.30208490988565,176.2699352333995
B_FACTORIAL_2x3,uv,wpd_w1,wind_power_distribution,lower_is_better,168,39.392707249834544,39.962882279845815,19.463537336870598,1.5016445065956932,36.51130525845689,42.383664667946356
B_FACTORIAL_2x3,speed_only,wpd_w1,wind_power_distribution,lower_is_better,168,35.87613140155216,36.27257449696937,17.803279164314745,1.3735528076820387,33.253551652305795,38.61659632607715
B_FACTORIAL_2x3,levelset_only,wpd_w1,wind_power_distribution,lower_is_better,168,33.194311059727596,33.27060376598628,16.654952626189985,1.2849574918405275,30.721860665981758,35.76169814087301
B_FACTORIAL_2x3,speed_levelset,wpd_w1,wind_power_distribution,lower_is_better,168,31.896608009505115,31.6022984325403,15.695145764237745,1.2109067847826107,29.561583730508328,34.308412637153616
B_FACTORIAL_2x3,grad_only,wpd_w1,wind_power_distribution,lower_is_better,168,22.811365174088078,19.804756061456338,14.01574453971824,1.0813381673457112,20.75419497371298,25.0369729890235
B_FACTORIAL_2x3,speed_grad,wpd_w1,wind_power_distribution,lower_is_better,168,23.64598794930052,21.40075688077181,13.4133348621729,1.0348612516982962,21.69126778139762,25.744937461957075
