metric,metric_family,direction,effect_id,effect_order,factors,n_valid,mean_raw_factorial_effect,median_raw_factorial_effect,mean_oriented_factorial_effect,median_oriented_factorial_effect,oriented_effect_standard_deviation,oriented_effect_standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high,block6_bootstrap_ci95_low,block6_bootstrap_ci95_high,block12_bootstrap_ci95_low,block12_bootstrap_ci95_high,block24_bootstrap_ci95_low,block24_bootstrap_ci95_high,positive_count,zero_count,negative_count,positive_rate,zero_rate,negative_rate,paired_effect_size_dz,sign_test_p_raw,wilcoxon_p_raw,test_status
psnruv,vector_uv,higher_is_better,crit,1,crit,168,0.002422886401892276,0.0030423253310143394,0.002422886401892276,0.0030423253310143394,0.01606997636862655,0.0012398255937453647,1.746351860178177e-05,0.0048261498068695625,-0.0032295662783653686,0.007913091458248861,-0.004693588837250922,0.009404231652321486,-0.005805337221465491,0.010171807610716007,99,0,69,0.5892857142857143,0.0,0.4107142857142857,0.15077099967754043,0.024968665281135283,,sign_test=ok; wilcoxon=scipy_unavailable
psnruv,vector_uv,higher_is_better,e2,1,e2,168,-0.7893053253580834,-0.789232107163155,-0.7893053253580834,-0.789232107163155,0.09208241504204666,0.007104312556793761,-0.8031917589889318,-0.7754701540907695,-0.8179621143919801,-0.7614654487414734,-0.8241557902830613,-0.7579876228005387,-0.8210757118191513,-0.7581862021835483,0,0,168,0.0,0.0,1.0,-8.571727022989904,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable
psnruv,vector_uv,higher_is_better,crit:e2,2,"crit,e2",168,0.041581018450609915,0.04048760788377059,0.041581018450609915,0.04048760788377059,0.01945785118027185,0.0015012058100898952,0.038659886320504044,0.04450348292806715,0.034805945489019,0.048318621333492226,0.03310932357818777,0.05024245489190257,0.03163520450542198,0.05220159165309557,168,0,0,1.0,0.0,0.0,2.1369789533989527,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable
ssim_speed,scalar_speed,higher_is_better,crit,1,crit,0,,,,,,,,,,,,,,,0,0,0,,,,,,,no_valid_data
ssim_speed,scalar_speed,higher_is_better,e2,1,e2,0,,,,,,,,,,,,,,,0,0,0,,,,,,,no_valid_data
ssim_speed,scalar_speed,higher_is_better,crit:e2,2,"crit,e2",0,,,,,,,,,,,,,,,0,0,0,,,,,,,no_valid_data
speed_mae,scalar_speed,lower_is_better,crit,1,crit,168,-0.0014863547036645043,-0.0014300580385936679,0.0014863547036645043,0.0014300580385936679,0.001747699247857744,0.00013483792433533913,0.0012310441547294568,0.001755714042133986,0.0008824906996364086,0.002129341027850973,0.0006880334981146316,0.0022833805287504295,0.0005406934498198182,0.0023961307476898313,124,0,44,0.7380952380952381,0.0,0.2619047619047619,0.8504636627190949,5.160780146238432e-10,,sign_test=ok; wilcoxon=scipy_unavailable
speed_mae,scalar_speed,lower_is_better,e2,1,e2,168,0.052261837751193176,0.05173235004373672,-0.052261837751193176,-0.05173235004373672,0.010889725993192434,0.0008401606004594305,-0.05390515492732031,-0.050632348966881145,-0.055802945669234945,-0.048701174228622884,-0.05645706326747408,-0.04824250519673339,-0.05624835232710761,-0.04811347690033501,0,0,168,0.0,0.0,1.0,-4.799187581383036,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable
speed_mae,scalar_speed,lower_is_better,crit:e2,2,"crit,e2",168,-0.002078826837364952,-0.0020376044392108883,0.002078826837364952,0.0020376044392108883,0.0016232587894715413,0.00012523713453543446,0.0018360875483698674,0.0023213859640456207,0.0015040649680675444,0.002636566038047745,0.0013680367760938237,0.0027984891970560893,0.0012661902437206235,0.0028892131033586917,149,0,19,0.8869047619047619,0.0,0.1130952380952381,1.2806502886959403,3.33298643379015e-26,,sign_test=ok; wilcoxon=scipy_unavailable
speed_rmse,scalar_speed,lower_is_better,crit,1,crit,168,-0.0014575435239226175,-0.0012870663712228614,0.0014575435239226175,0.0012870663712228614,0.001843801335031515,0.00014225236132997006,0.0011804696003701253,0.0017395686506143048,0.0008188564896796519,0.0021152260275597514,0.0006436781703261428,0.0022921704306639082,0.0004928936715443985,0.0024280382933621913,123,0,45,0.7321428571428571,0.0,0.26785714285714285,0.7905100708139494,1.4454317999387109e-09,,sign_test=ok; wilcoxon=scipy_unavailable
speed_rmse,scalar_speed,lower_is_better,e2,1,e2,168,0.08182732066755154,0.08063888261831137,-0.08182732066755154,-0.08063888261831137,0.018970263708318974,0.001463587619928957,-0.08469103012981355,-0.07896981758279813,-0.08796431292445869,-0.07565428139785756,-0.08897291254962798,-0.07509458180650011,-0.08791199765917933,-0.07565175225423773,0,0,168,0.0,0.0,1.0,-4.313451933283776,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable
speed_rmse,scalar_speed,lower_is_better,crit:e2,2,"crit,e2",168,-0.004816343303123201,-0.004695450274162294,0.004816343303123201,0.004695450274162294,0.0030248896785933935,0.00023337530533635805,0.0043619834507584295,0.005271220627383589,0.003740675518856473,0.005862113294483445,0.003461888750152255,0.00612391542954388,0.0032457389929933245,0.006356316718586661,159,0,9,0.9464285714285714,0.0,0.05357142857142857,1.5922376730654364,1.337530310651348e-36,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_mae,wind_power_distribution,lower_is_better,crit,1,crit,168,0.4223881617486126,0.13443378212409307,-0.4223881617486126,-0.13443378212409307,1.0649816992330152,0.08216512191998762,-0.5788160355227548,-0.26071302798192675,-0.7978308880371399,-0.02982957807952726,-0.9104938607426583,0.05644653129088646,-1.0063676847843896,0.1341028517190187,72,0,96,0.42857142857142855,0.0,0.5714285714285714,-0.39661541794831834,0.07566911610226444,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_mae,wind_power_distribution,lower_is_better,e2,1,e2,168,17.89471781352002,17.28380314587352,-17.89471781352002,-17.28380314587352,8.824580067280618,0.6808311331950508,-19.26848982862246,-16.585935553614135,-21.098922102773546,-14.873569719513053,-21.8630237683141,-14.03699794543714,-22.40264354411448,-13.605585916732073,0,0,168,0.0,0.0,1.0,-2.027826556854445,5.345529420184391e-51,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_mae,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",168,-0.9287637056688011,-0.8004486437257974,0.9287637056688011,0.8004486437257974,0.7399582925918914,0.05708902168957931,0.821554621796322,1.0440114510956446,0.6789052380232511,1.189029771516945,0.6231052092327537,1.2566748145910813,0.5905628813907022,1.267574624388205,163,0,5,0.9702380952380952,0.0,0.02976190476190476,1.2551568310905348,5.78936643471018e-42,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_w1,wind_power_distribution,lower_is_better,crit,1,crit,168,-6.8548348968277955,-6.3521883109257775,6.8548348968277955,6.3521883109257775,6.20669600638318,0.47885699299063106,5.942687266000639,7.810441379354585,4.832384739355119,8.94458300519717,4.623746975358354,9.194349133218491,5.039586964174728,8.617949711480346,160,0,8,0.9523809523809523,0.0,0.047619047619047616,1.1044257507985,7.472092213994618e-38,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_w1,wind_power_distribution,lower_is_better,e2,1,e2,168,-6.922354323116079,-5.2005136925521045,6.922354323116079,5.2005136925521045,5.830159855197089,0.4498065982357078,6.043526737453268,7.806821969348825,5.0217888514785205,8.915256031046422,4.696000047269496,9.374688959267056,4.413135524679476,9.45301032876712,156,0,12,0.9285714285714286,0.0,0.07142857142857142,1.1873352523851284,4.08308761658268e-33,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_w1,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",168,3.677747076965557,3.4187252687796787,-3.677747076965557,-3.4187252687796787,2.6593212661483383,0.2051710899960602,-4.085861809586405,-3.2797335695484677,-4.579862091782118,-2.868967400523239,-4.758522909336345,-2.713039542165814,-4.7111032901219065,-2.6803208202352433,12,0,156,0.07142857142857142,0.0,0.9285714285714286,-1.382964564598195,4.08308761658268e-33,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_bias_abs,wind_power_distribution,lower_is_better,crit,1,crit,168,-8.842299108569364,-7.712344570057448,8.842299108569364,7.712344570057448,8.213096077390308,0.6336541191509205,7.622939652944008,10.105709552451536,6.213034521092302,11.62016513421371,5.961115925415904,11.85470888988015,6.416922433713822,11.094958422056276,154,0,14,0.9166666666666666,0.0,0.08333333333333333,1.0766097249137483,5.506680125892977e-31,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_bias_abs,wind_power_distribution,lower_is_better,e2,1,e2,168,-4.142990193761108,-4.03512457377486,4.142990193761108,4.03512457377486,3.2472883601298737,0.2505337361304737,3.6521620870008475,4.630573594585169,3.1088722650042535,5.17321776582586,2.995287079533984,5.3755885500132905,2.8512026381392706,5.5167786259052685,152,0,16,0.9047619047619048,0.0,0.09523809523809523,1.275830703743049,5.491309367550057e-29,,sign_test=ok; wilcoxon=scipy_unavailable
wpd_bias_abs,wind_power_distribution,lower_is_better,crit:e2,2,"crit,e2",168,2.860930263132091,3.1356702029603416,-2.860930263132091,-3.1356702029603416,4.543562807355161,0.3505434809690341,-3.546308848306877,-2.1766938898989667,-4.4485665907240834,-1.312066830872203,-4.767612730042247,-0.9705785175396521,-4.874629928782471,-0.686587677220356,33,0,135,0.19642857142857142,0.0,0.8035714285714286,-0.6296667140819074,7.603570013268806e-16,,sign_test=ok; wilcoxon=scipy_unavailable
grad_mae,gradient_distribution,lower_is_better,crit,1,crit,168,-0.0011919810408829823,-0.0011535420361781096,0.0011919810408829823,0.0011535420361781096,0.0005710872106458816,4.406033486158318e-05,0.0011066291218741156,0.0012793608218843399,0.0010067053000657631,0.0013844803981188814,0.0009819610453903936,0.0014074791459991976,0.0009859242445599606,0.0014015687732017905,165,0,3,0.9821428571428571,0.0,0.017857142857142856,2.0872136841147073,4.225175945596205e-45,,sign_test=ok; wilcoxon=scipy_unavailable
