contrast_id,psnruv,ssim_speed,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
add_crit_to_uv,-0.13409873743952236,,-0.008006194244641515,-0.01127473195842344,-4.064788214406396,17.565132098571727,17.273066211350184,0.006318583349734804,0.020078268685030414,-0.8005595950721259,0.08339967770099684,0.062348894941524347,-0.0018508809523809548,-0.0010812142857142895,0.0036175476190476196,0.005627642857142865,8.311507936507937,-0.06547619047619048,-1.244047619047619,13.636904761904763,0.4977867075132707,0.32198264485313777
add_crit_to_b,-0.03915813204871764,,-0.0005924721337004482,-0.0033587997792005825,-1.351151867417413,10.532581973793352,11.703229371701454,0.0019482229535204055,0.005454689621962889,-0.33879661095282915,0.022703622173893642,0.04580934153554624,-0.0006595476190476208,7.04285714285726e-05,0.0019263333333333337,0.0027882380952380997,-0.37599206349206343,-3.1904761904761907,-10.791666666666666,4.440476190476191,0.2126103255139435,0.0808950180099124
add_crit_to_grad,-0.06568194404532024,,-0.00399978549344736,-0.0062726928371059825,-4.646629567508571,-9.209130832689643,-10.825688127487988,0.00011341549046926786,-0.00037070806695595866,-0.015772779090604826,-0.00982726149487093,-0.23145929682958574,-0.0026566904761904705,-0.0049871428571428575,-0.00019654761904761906,-0.00045264285714284906,0.3839285714285718,-3.1666666666666665,-11.43452380952381,7.732142857142857,0.9147424593087604,0.07198603947957356
add_crit_to_b_e2,0.04400390485250219,,0.0035651815410294558,0.0062738868270458175,0.5063755439201882,3.177087819862237,5.981368845437272,0.00043573912824555863,-0.00392840980800181,0.02098442121282264,-0.007991595876265042,-0.04796307020388023,-0.00018185714285714333,0.00022407142857142873,0.0002958571428571433,0.00114119047619048,-3.863095238095238,-0.3869047619047619,-8.392857142857142,-4.791666666666667,-0.2810176492876255,0.014614091033027285
add_e2_to_uv,-1.2140606897929056,,-0.08307303559773736,-0.12184520672263684,-28.64408366471454,18.11146067515084,14.19326507572786,0.006680160089992356,0.08016519152242255,2.356915597092976,0.29601816239360035,0.3353809894779926,0.0033372619047619036,0.0019627142857142825,0.00285154761904762,0.004136166666666667,44.76190476190476,10.648809523809524,50.69642857142857,53.708333333333336,4.540046289667019,0.4178995859055292
add_e2_to_b,-0.8308863438086934,,-0.05434066458855814,-0.08664366397067474,-18.823481519188825,10.600101400081636,7.003920456893199,0.0004007668755568104,0.0453511733764029,-0.037297215197330036,0.12456055357737858,0.11479804771416521,0.002852047619047613,0.0010084761904761883,0.0016664285714285724,0.0022953809523809537,24.319444444444443,2.5476190476190474,21.61904761904762,32.779761904761905,-1.2805840070650272,0.4837565507207598
add_e2_to_c,-0.7477243069074737,,-0.05018301091382823,-0.07701097736442833,-16.96595410785122,3.2446072461505215,1.2820599306290166,-0.0011117169497180364,0.0359680739464382,0.32248381696832173,0.0938653355272199,0.02102563597473872,0.00332973809523809,0.0011621190476190444,3.595238095238161e-05,0.0006483333333333344,20.832341269841272,5.351190476190476,24.017857142857142,23.547619047619047,-1.774211981866596,0.4174756237438747
add_e2_to_grad,-0.8748989289032247,,-0.06133109801274546,-0.0927924916800108,-21.13865707004813,-1.9208200128036406,-5.133868004586725,-0.003716833531409878,0.037014762949120886,-0.7502633485958198,0.07835873161563789,0.25214189706432105,0.0010760476190476227,-0.00150754761904762,0.000388142857142856,-0.0005412619047619048,15.953373015873018,3.2797619047619047,16.988095238095237,21.946428571428573,-0.9056223809711991,0.3994234175909133
add_e2_to_grad_levelset,-0.8871420178537357,,-0.06025443075881687,-0.09328613551856801,-20.64792452879878,7.814806545197972,4.883916217524038,-0.0005761854273712052,0.04844745611901499,-0.29957323259758917,0.11333736629655744,0.15403439618510414,0.0020482619047619056,0.0005844523809523805,0.0014780952380952395,0.0016394285714285718,26.240079365079364,5.4226190476190474,26.601190476190474,34.779761904761905,-1.1287490441502723,0.5253556455884661
e2_vs_crit_uv,-1.0799619523533832,,-0.07506684135309584,-0.1105704747642134,-24.57929545030814,0.5463285765791129,-3.0798011356223234,0.0003615767402575519,0.06008692283739212,3.157475192165102,0.21261848469260353,0.27303209453646826,0.005188142857142859,0.0030439285714285716,-0.0007659999999999999,-0.0014914761904761978,36.45039682539682,10.714285714285714,51.94047619047619,40.07142857142857,4.042259582153749,0.09591694105239142
e2_vs_crit_b,-0.7917282117599757,,-0.05374819245485769,-0.08328486419147417,-17.47232965177141,0.0675194262882842,-4.699308914808256,-0.0015474560779635952,0.039896483754440014,0.3014993957554991,0.10185693140348492,0.06898870617861895,0.003511595238095234,0.0009380476190476156,-0.00025990476190476165,-0.0004928571428571456,24.695436507936513,5.738095238095238,32.410714285714285,28.339285714285715,-1.4931943325789705,0.4028615327108474
e2_vs_crit_grad,-0.8092169848579044,,-0.0573313125192981,-0.08651979884290481,-16.49202750253956,7.288310819886005,5.691820122901261,-0.003830249021879145,0.037385471016076845,-0.734490569505215,0.08818599311050883,0.4836011938939068,0.0037327380952380932,0.0034795952380952374,0.0005846904761904751,-8.861904761905579e-05,15.569444444444443,6.446428571428571,28.422619047619047,14.214285714285714,-1.8203648402799597,0.32743737811133977
remove_speed_from_b_e2,-0.11269607491043468,,-0.010380512594543444,-0.014720216132207547,-3.405968299473263,-4.066067209609476,-4.735907832463409,-0.0001724374515947639,0.008386533935147216,-0.17357400815617144,0.02170492841638406,0.05514216313509846,-8.042857142856925e-05,-0.0008380952380952345,-0.0004561904761904762,-0.0010555714285714292,4.927579365079365,2.994047619047619,9.386904761904763,5.565476190476191,0.239473721905679,0.0031953567550295874
remove_speed_levelset_from_b_e2,-0.19399984853258362,,-0.021491984783668122,-0.026152358297936072,-7.2726439347863545,-8.645342634379723,-9.952588325729463,-0.0005316483958451898,0.01614875932029552,-0.28537056586485465,0.03618616006883576,0.06435952605990501,-0.0005015952380952348,-0.0025147857142857125,-0.0008661666666666676,-0.001872714285714287,6.824404761904762,5.440476190476191,16.845238095238095,5.541666666666667,0.14933239061284395,0.020855125926789782
remove_speed_levelset_from_c,-0.176511075434655,,-0.01790886471922771,-0.022917423646505414,-8.252946084018205,-15.866134027977445,-20.34371736343898,0.0017511445480703604,0.01865977205865869,0.7506193993958594,0.04985709836181187,-0.3502529616553829,-0.0007227380952380944,-0.0050563333333333346,-0.0017107619047619048,-0.002276952380952377,15.950396825396828,4.732142857142857,20.833333333333332,19.666666666666668,0.476502898313833,0.09627928052629743
