sample_idx,metric,method_id,observed_value,reconstructed_value,absolute_difference,status
0,psnruv,grad_only,34.37685778788567,34.37685778788567,0.0,PASS
1,psnruv,grad_only,34.439552652632344,34.43955265263235,7.105427357601002e-15,PASS
2,psnruv,grad_only,34.169424587243505,34.16942458724351,7.105427357601002e-15,PASS
3,psnruv,grad_only,34.11368844253304,34.11368844253304,0.0,PASS
4,psnruv,grad_only,33.62763290480581,33.62763290480581,0.0,PASS
5,psnruv,grad_only,33.69938281114784,33.69938281114784,0.0,PASS
6,psnruv,grad_only,33.9171279012384,33.9171279012384,0.0,PASS
7,psnruv,grad_only,33.54013329914307,33.54013329914307,0.0,PASS
8,psnruv,grad_only,33.795642621837494,33.795642621837494,0.0,PASS
9,psnruv,grad_only,33.796595312594,33.796595312594,0.0,PASS
10,psnruv,grad_only,34.17685063952698,34.17685063952698,0.0,PASS
11,psnruv,grad_only,34.00797956255635,34.00797956255635,0.0,PASS
12,psnruv,grad_only,33.60770805552206,33.60770805552207,7.105427357601002e-15,PASS
13,psnruv,grad_only,32.4914610768344,32.4914610768344,0.0,PASS
14,psnruv,grad_only,32.890321651803674,32.890321651803674,0.0,PASS
15,psnruv,grad_only,33.75353436123057,33.75353436123058,7.105427357601002e-15,PASS
16,psnruv,grad_only,34.74827763273866,34.74827763273866,0.0,PASS
17,psnruv,grad_only,35.20687962840605,35.20687962840605,0.0,PASS
18,psnruv,grad_only,35.62827183206539,35.628271832065394,7.105427357601002e-15,PASS
19,psnruv,grad_only,35.65012653219146,35.65012653219146,0.0,PASS
20,psnruv,grad_only,35.54111983151304,35.54111983151304,0.0,PASS
21,psnruv,grad_only,35.68454725056502,35.68454725056502,0.0,PASS
22,psnruv,grad_only,35.28667686958197,35.28667686958197,0.0,PASS
23,psnruv,grad_only,35.322386755672184,35.322386755672184,0.0,PASS
24,psnruv,grad_only,35.25288288486931,35.25288288486931,0.0,PASS
25,psnruv,grad_only,35.19168052515954,35.19168052515954,0.0,PASS
26,psnruv,grad_only,35.25846279649327,35.25846279649326,7.105427357601002e-15,PASS
27,psnruv,grad_only,35.20135611361348,35.20135611361348,0.0,PASS
28,psnruv,grad_only,35.039511480074765,35.03951148007476,7.105427357601002e-15,PASS
29,psnruv,grad_only,35.197301085511185,35.197301085511185,0.0,PASS
30,psnruv,grad_only,35.40809024856292,35.40809024856293,7.105427357601002e-15,PASS
31,psnruv,grad_only,35.25517201086387,35.25517201086387,0.0,PASS
32,psnruv,grad_only,35.31795721614071,35.31795721614071,0.0,PASS
33,psnruv,grad_only,35.23523739833498,35.23523739833499,7.105427357601002e-15,PASS
34,psnruv,grad_only,35.11549321712722,35.11549321712721,7.105427357601002e-15,PASS
35,psnruv,grad_only,34.6280915108721,34.6280915108721,0.0,PASS
36,psnruv,grad_only,34.41537036934631,34.415370369346306,7.105427357601002e-15,PASS
37,psnruv,grad_only,34.198424532630916,34.198424532630916,0.0,PASS
38,psnruv,grad_only,35.317104765496964,35.31710476549696,7.105427357601002e-15,PASS
39,psnruv,grad_only,36.34693855342847,36.34693855342847,0.0,PASS
40,psnruv,grad_only,37.170528454106844,37.17052845410684,7.105427357601002e-15,PASS
41,psnruv,grad_only,37.415030718065154,37.415030718065154,0.0,PASS
42,psnruv,grad_only,38.08912720051774,38.08912720051774,0.0,PASS
43,psnruv,grad_only,38.14177437975834,38.14177437975834,0.0,PASS
44,psnruv,grad_only,37.25424385597891,37.25424385597891,0.0,PASS
45,psnruv,grad_only,35.740490325109505,35.7404903251095,7.105427357601002e-15,PASS
46,psnruv,grad_only,34.781377045916585,34.781377045916585,0.0,PASS
47,psnruv,grad_only,34.72335443807222,34.72335443807222,0.0,PASS
48,psnruv,grad_only,34.302752690729896,34.3027526907299,7.105427357601002e-15,PASS
49,psnruv,grad_only,34.26747059848882,34.26747059848881,7.105427357601002e-15,PASS
50,psnruv,grad_only,34.192138353342315,34.19213835334232,7.105427357601002e-15,PASS
51,psnruv,grad_only,33.92689546832937,33.92689546832936,7.105427357601002e-15,PASS
52,psnruv,grad_only,34.305221282714164,34.305221282714164,0.0,PASS
53,psnruv,grad_only,34.43795103830735,34.43795103830735,0.0,PASS
54,psnruv,grad_only,34.43373212757392,34.43373212757392,0.0,PASS
55,psnruv,grad_only,34.15699786160563,34.15699786160562,1.4210854715202004e-14,PASS
56,psnruv,grad_only,33.77864356037632,33.77864356037631,7.105427357601002e-15,PASS
57,psnruv,grad_only,33.08258647406441,33.08258647406441,0.0,PASS
58,psnruv,grad_only,32.4901179683452,32.4901179683452,0.0,PASS
59,psnruv,grad_only,32.496627788850176,32.496627788850176,0.0,PASS
60,psnruv,grad_only,32.1778742356488,32.1778742356488,0.0,PASS
61,psnruv,grad_only,31.348778648087436,31.348778648087432,3.552713678800501e-15,PASS
