sample_idx,pos_idx,pd_distance_candidateE2_expanded672,mt_distance_candidateE2_expanded672
0,0,26.646173474427417,4.818478584289551
1,1,27.270498255211606,5.889815330505371
2,2,27.448074238727738,4.995513439178467
3,3,27.922466245154205,5.396692752838135
4,4,27.599312661965854,4.8260345458984375
5,5,29.18875367301257,5.6824541091918945
6,6,29.70406927092822,7.441038608551025
7,7,30.730668075504894,5.7991943359375
8,8,30.722528532194588,7.963871479034424
9,9,29.820369942261145,6.03364372253418
10,10,30.771636998612856,7.002594947814941
11,11,29.986531064619616,6.190365791320801
12,12,31.438674636516893,7.046209812164307
13,13,30.410584951829843,6.63370943069458
14,14,29.39507052242047,5.917179107666016
15,15,27.408442863580312,5.428587913513184
16,16,24.584157789739294,6.140207290649414
17,17,21.689565344508665,5.427860736846924
18,18,21.41739014087693,6.365882873535156
19,19,21.92734618587636,7.241927146911621
20,20,23.118201972103897,7.017288684844971
21,21,28.502411236785974,9.031449317932129
22,22,35.15728609381264,9.742390632629395
23,23,36.90732950541174,8.10094928741455
24,24,38.0053754389811,6.442942142486572
25,25,39.079969835925624,6.675140857696533
26,26,38.77021607433103,6.481790542602539
27,27,40.122031603087535,6.604025840759277
28,28,41.90003456242765,7.719229221343994
29,29,42.00969889960638,7.2904229164123535
30,30,42.50393941946994,7.098454475402832
31,31,41.648747369956055,7.631448268890381
32,32,40.71487440850198,7.075647354125977
33,33,40.52191898861895,7.222342014312744
34,34,39.56912256773872,7.025343418121338
35,35,38.492038777175694,7.266718864440918
36,36,37.851738209694275,6.494974136352539
37,37,36.01907873951612,7.115157604217529
38,38,31.521730471093207,7.510952472686768
39,39,27.438777019457845,6.337239742279053
40,40,25.893037320632764,6.898947715759277
41,41,24.677991259038635,5.801277160644531
42,42,22.77134660230725,6.169475078582764
43,43,21.577100606686834,6.036244869232178
44,44,20.576080219750256,6.394104957580566
45,45,21.13746602144516,6.800739765167236
46,46,21.216475309549622,6.5485734939575195
47,47,22.578277473616343,6.792551040649414
48,48,23.27180746157088,7.002131938934326
49,49,22.67068997821002,6.4608283042907715
50,50,21.674389203701146,6.377145767211914
51,51,22.202271416732135,5.895351886749268
52,52,22.481420054337327,5.833231449127197
53,53,22.428739704513028,5.546579837799072
54,54,23.39386059121713,5.477896690368652
55,55,24.008650837375953,5.300554275512695
56,56,24.623762821080714,5.624478340148926
57,57,25.271888380553047,5.741804599761963
58,58,25.872242115372952,6.154269695281982
59,59,26.13178955934771,5.829522132873535
60,60,26.190905297938574,5.4922895431518555
61,61,26.11724682317892,5.675055980682373
62,62,27.946119295389284,7.172115802764893
63,63,28.876429820176888,7.713924407958984
64,64,25.098112961522208,6.241076469421387
65,65,22.47170887134553,5.776442527770996
66,66,21.374292676432898,5.884481906890869
67,67,21.018885356815254,5.2193145751953125
68,68,22.1480843409261,6.393318176269531
69,69,24.779344061199556,5.4799370765686035
70,70,25.321458405503986,5.689005374908447
71,71,26.154406444386073,5.15376091003418
72,72,27.066967840283386,4.907235622406006
73,73,27.719212461201085,5.430435657501221
74,74,28.9874163802659,4.862841606140137
75,75,30.00607698377368,5.556192398071289
76,76,30.604345343408717,5.511636734008789
77,77,30.27507633470202,6.331465721130371
78,78,30.720599097551457,6.240870475769043
79,79,30.587812081073057,7.158877849578857
80,80,30.491348027651465,7.1658148765563965
81,81,30.225316387432816,6.505818843841553
82,82,29.470070119258054,7.657958984375
83,83,28.75398695761822,6.59420108795166
84,84,29.506937613875195,6.051385879516602
85,85,29.160703974276277,5.684970378875732
86,86,29.651251340659254,5.391550540924072
87,87,30.14689134518039,6.819579601287842
88,88,26.850242808392448,6.546786308288574
89,89,24.717639820366685,6.063137531280518
90,90,22.776261406126064,5.388460159301758
91,91,23.025468428075303,5.791436195373535
92,92,22.898785912831805,5.622228145599365
93,93,25.642027262945895,6.695843696594238
94,94,26.158212375684876,5.527722358703613
95,95,28.50719102708491,5.118547439575195
96,96,30.278048674082637,5.369114398956299
97,97,31.505751230715106,5.031551837921143
98,98,32.52286081047361,5.122113227844238
99,99,32.216823273295454,5.872119903564453
100,100,32.153817681518,6.2870707511901855
101,101,31.44277925041752,5.692489147186279
102,102,30.211481059150692,5.217862606048584
103,103,30.55797102492252,5.2204999923706055
104,104,30.006277000614396,4.866093158721924
105,105,30.06344514689092,5.346595764160156
106,106,30.721977508749163,5.928421974182129
107,107,30.209533294627803,5.591971397399902
108,108,29.443689362540216,5.778496265411377
109,109,29.596100059297235,5.164564609527588
110,110,30.128491962657893,5.9641547203063965
111,111,28.867313542131907,5.645084381103516
112,112,28.342092949727277,5.578584671020508
113,113,26.922050864740033,5.610907077789307
114,114,25.489815263051344,5.120180130004883
115,115,26.335269964178146,4.665279388427734
116,116,26.33449095598038,5.466425895690918
117,117,28.550070314430158,5.47113037109375
118,118,29.72392373155486,7.094860076904297
119,119,28.849921663673253,5.339829921722412
120,120,29.295267120080073,5.1463775634765625
121,121,30.025126151793387,5.4243340492248535
122,122,28.870563738878165,5.559408187866211
123,123,29.81373188674754,6.437209606170654
124,124,28.966022076066775,6.226534366607666
125,125,29.1945640461578,5.941137313842773
126,126,28.723697561567775,5.251283645629883
127,127,30.81481500492159,5.4244065284729
128,128,29.55503190556875,5.905630588531494
129,129,30.978619528091954,6.193708419799805
130,130,31.666286222851763,6.938876628875732
131,131,34.402563131984124,7.40928840637207
132,132,35.38839094656158,8.25296401977539
133,133,35.98613724243862,8.353694915771484
134,134,33.93630981015695,7.664760589599609
135,135,31.43193796783318,7.370065212249756
136,136,29.237266541916856,7.244142055511475
137,137,27.980792574931442,5.4644389152526855
138,138,27.449926064726597,5.954158306121826
139,139,26.742196553521495,6.172593116760254
140,140,28.120066850582713,6.2386274337768555
141,141,31.449486903843713,6.835167407989502
142,142,33.41075744411541,7.837864875793457
143,143,33.22505772710358,6.746930122375488
144,144,33.77496555144571,5.958237648010254
145,145,32.506303744595705,6.281408309936523
146,146,31.631660631552702,6.87989616394043
147,147,29.27272512513997,6.317294120788574
148,148,28.785945666315158,5.5778584480285645
149,149,27.52259724529241,6.378746032714844
150,150,26.24272711571237,5.701260089874268
151,151,25.924220562779997,6.1378092765808105
152,152,26.096452657372406,5.7386980056762695
153,153,26.142484124754922,6.471686840057373
154,154,26.001666113291307,6.113742351531982
155,155,26.571281248112097,6.348410606384277
156,156,26.06332374140209,5.6436896324157715
157,157,26.93469280292491,5.328395843505859
158,158,28.827481679679945,6.3421311378479
159,159,26.109669100571093,5.780052661895752
160,160,23.350972551758847,5.885627269744873
161,161,21.650185766103313,4.682604789733887
162,162,20.200578790717284,4.532406330108643
163,163,21.29937503428282,4.759848594665527
164,164,23.726080956096535,5.710624694824219
165,165,25.620141667274805,6.198916435241699
166,166,26.579136214084468,5.454813003540039
167,167,26.693980101428192,5.257437229156494
