sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,24.093524561972085,5.051645278930664,9.748218536376953,4.93333101272583,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
1,1,24.612518312283534,22.38874396250744,23.513017078667637,4.678010940551758,11.978342056274414,5.344120025634766,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.369121260994294,4.894824504852295,8.343221664428711,5.213037014007568,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.298712264178388,4.794641017913818,9.753995895385742,4.697405815124512,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
4,4,24.810879874900778,22.91065989660919,23.832271491994373,4.892229080200195,8.064751625061035,5.467521667480469,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,25.011134316120685,5.628478050231934,6.406379699707031,6.2163801193237305,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,26.582584406716066,6.144000053405762,6.0106329917907715,5.108679294586182,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,1
7,7,29.26973016135952,22.553824952557566,27.551375573113393,5.672351837158203,7.113770008087158,5.7396321296691895,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,27.462914369066578,7.50956392288208,6.055016040802002,6.088162422180176,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,26.439900769931548,5.768454551696777,6.291722297668457,5.53455924987793,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
10,10,29.696969860459554,24.710016041893063,26.834614974980877,6.634506702423096,7.423793315887451,5.329132080078125,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
11,11,28.68732565326105,24.969867761946066,25.783171645047045,5.910721302032471,7.831723690032959,6.959667205810547,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,26.944613498170025,6.61636209487915,5.913707256317139,5.946707248687744,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,26.72781510804548,6.0738348960876465,7.402252674102783,6.5367584228515625,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,25.299266086386687,5.448930263519287,5.877835750579834,5.306222915649414,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
