sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_levelset_E2_low_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_levelset_E2_low_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_levelset_E2_low_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_levelset_E2_low_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,22.975255435986888,5.051645278930664,9.748218536376953,5.02244758605957,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
1,1,24.612518312283534,22.38874396250744,22.78207536476008,4.678010940551758,11.978342056274414,6.458710193634033,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.352135516243624,4.894824504852295,8.343221664428711,5.305473327636719,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.20857759371904,4.794641017913818,9.753995895385742,4.758551597595215,gan,candidateF_grad_levelset_E2_low_expanded2688,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
4,4,24.810879874900778,22.91065989660919,22.482604030856752,4.892229080200195,8.064751625061035,4.994149684906006,gan,candidateF_grad_levelset_E2_low_expanded2688,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.723823934433117,5.628478050231934,6.406379699707031,5.546912670135498,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
6,6,28.068979766562435,24.045087776300683,25.30622534897673,6.144000053405762,6.0106329917907715,5.008514404296875,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
7,7,29.26973016135952,22.553824952557566,25.980991478329777,5.672351837158203,7.113770008087158,5.816155910491943,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,25.85227449429686,7.50956392288208,6.055016040802002,6.0609822273254395,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,25.101268500735145,5.768454551696777,6.291722297668457,5.283705711364746,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
10,10,29.696969860459554,24.710016041893063,25.460155837087015,6.634506702423096,7.423793315887451,5.795703887939453,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
11,11,28.68732565326105,24.969867761946066,24.228509641959487,5.910721302032471,7.831723690032959,6.055164813995361,gan,candidateF_grad_levelset_E2_low_expanded2688,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.506223678052006,6.61636209487915,5.913707256317139,6.040416240692139,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,25.521433796051895,6.0738348960876465,7.402252674102783,6.816229820251465,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,24.321795486994706,5.448930263519287,5.877835750579834,5.325275897979736,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
15,15,26.322356943691645,19.148010639364745,22.475160499574915,5.097294807434082,5.86716890335083,5.183493137359619,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,20.20532065069148,5.464188098907471,5.255205154418945,4.654573917388916,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
17,17,20.900376556174706,17.11808749868573,18.242232840671658,5.2896833419799805,4.8487091064453125,4.033401966094971,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
18,18,20.394905033940507,18.610240875886223,17.784693041546422,6.258571624755859,5.554356575012207,4.371562480926514,gan,candidateF_grad_levelset_E2_low_expanded2688,gan,candidateF_grad_levelset_E2_low_expanded2688,1
19,19,21.064082150885508,19.086676411603058,17.514434581248214,6.927988529205322,5.44291353225708,5.312305450439453,gan,candidateF_grad_levelset_E2_low_expanded2688,gan,candidateF_grad_levelset_E2_low_expanded2688,1
20,20,21.97923655969375,18.266315468004898,18.851105671197683,6.254051208496094,5.689126491546631,5.24531888961792,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
21,21,27.30086406645334,21.732522780594586,23.064930098538134,8.127616882324219,10.817054748535156,7.752748966217041,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
22,22,32.693467082501115,26.801086541907566,28.111713542166488,8.081520080566406,8.346701622009277,6.2884979248046875,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
23,23,34.476953302920876,29.144574221491347,30.19816114997631,6.907674789428711,8.497876167297363,5.919511318206787,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
24,24,35.75728371567695,29.65320138308241,30.92006305485372,7.21915864944458,12.067601203918457,5.759150505065918,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
25,25,36.58411526021696,30.123491475362258,31.47802758743707,11.371563911437988,10.501462936401367,6.638813018798828,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
26,26,35.02599363200026,30.779316467464,30.286108811818906,7.043282985687256,11.28821849822998,8.059517860412598,gan,candidateF_grad_levelset_E2_low_expanded2688,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,31.792987560802835,6.4783101081848145,19.968429565429688,6.552970886230469,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,32.8217107323801,7.210402011871338,14.947399139404297,7.976902484893799,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,34.738130274543515,6.963974952697754,12.864243507385254,8.2597074508667,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,34.99560999047232,8.127463340759277,14.847400665283203,7.499512672424316,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
31,31,39.104318483733294,31.3053599336416,35.138318286150124,6.818642616271973,16.23410415649414,6.570147514343262,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
32,32,38.55925876668554,30.547158977309156,33.68648726029385,7.461033821105957,19.229158401489258,6.759373664855957,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
33,33,38.39305861348763,30.400139282712473,33.40311296531861,6.76971960067749,20.00556755065918,7.018188953399658,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,32.727374592552216,6.323113918304443,19.445999145507812,6.281839847564697,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
35,35,35.95264003005777,28.746843597068697,32.2935783753495,6.2719197273254395,14.435929298400879,6.868703365325928,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,32.8170572777487,6.097905158996582,9.26945686340332,6.076775550842285,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
37,37,33.456602216246914,27.16364872656993,30.94836473396218,6.489102840423584,9.59257698059082,6.210677623748779,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
38,38,29.159912858159764,23.780350003542182,26.467635879252708,6.054014682769775,7.416414260864258,6.472479820251465,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.143185868520536,5.873856067657471,8.546488761901855,6.042142868041992,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,20.881332287773745,5.6310811042785645,8.988521575927734,5.456048011779785,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
41,41,23.457166445963043,17.452695580897316,19.61451473909824,5.389686584472656,8.901470184326172,6.346193313598633,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,17.80714125030567,5.757840156555176,7.383090972900391,5.861574172973633,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,16.473263339341635,5.7682366371154785,7.053122520446777,5.425085067749023,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
44,44,19.781150575177055,13.855413188888303,15.234769686279236,6.20600700378418,7.041088581085205,5.856094837188721,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
45,45,20.528037851461004,13.609391097429418,16.105067399551196,6.566225528717041,6.773196697235107,5.990780353546143,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
46,46,20.678325640697178,16.27228595124608,16.047741976199244,6.243154048919678,6.650214672088623,5.865893363952637,gan,candidateF_grad_levelset_E2_low_expanded2688,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
47,47,22.201753073772625,13.108895112859523,16.85435048986763,6.789880752563477,7.498397350311279,6.410425662994385,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
48,48,22.832495463547907,13.107025960847848,16.897857632803234,7.081502437591553,6.682991981506348,8.408769607543945,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,17.088293428386187,6.3195295333862305,7.889017105102539,6.054111003875732,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
50,50,21.30877833114525,14.865452226211227,16.723965737673947,6.3856120109558105,6.713321685791016,6.765841960906982,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,17.620201582583558,5.902731418609619,7.996896266937256,6.002660751342773,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,18.16935156278785,5.69123649597168,7.0050048828125,6.65178108215332,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,18.053259012082673,5.261850833892822,7.919146537780762,5.435771942138672,gan,candidateF_grad_levelset_E2_low_expanded2688,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,18.873391815445657,5.500187397003174,9.581897735595703,6.012788772583008,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,19.741426132571494,5.2683796882629395,7.846588134765625,5.283389568328857,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,20.39770546428262,5.488292217254639,7.826909065246582,5.999314785003662,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,20.765296463851143,5.463809013366699,6.805661201477051,6.168181896209717,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,21.46320021023675,6.08959436416626,8.349846839904785,6.069823741912842,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
59,59,25.864386079507888,18.65101850934172,21.88504806796187,5.546851634979248,7.89148473739624,5.328864574432373,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
60,60,25.964725332360167,18.604905025455473,22.13156624836562,5.321651458740234,8.357301712036133,5.687657833099365,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,22.368935097558037,5.346891403198242,8.12722110748291,5.504012107849121,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,23.717307883820837,6.720277786254883,6.650205135345459,5.6356282234191895,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
63,63,28.524583670890912,18.199751597271156,24.01931747791738,7.660599708557129,7.5776286125183105,6.130860805511475,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
64,64,24.7100597287657,16.701032359601633,20.516235099365037,5.944510459899902,7.137726306915283,5.535315036773682,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
65,65,22.148883751156426,16.23947552161985,18.869370407283892,5.820770263671875,5.576780319213867,5.416532516479492,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
66,66,20.981857591368968,15.979342195015368,17.52348184401745,5.701828956604004,6.4086198806762695,5.117711544036865,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
67,67,20.679919922717943,14.773695042869097,16.99600770948152,5.030301094055176,6.6433844566345215,4.760764122009277,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
68,68,21.77134223692748,15.500930745161975,17.53810821521763,6.074338436126709,5.670867919921875,5.0282206535339355,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
69,69,24.168055816700438,16.112222498232782,20.064450260655583,5.17050838470459,6.406604290008545,5.460549831390381,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,20.757678490449994,5.396136283874512,5.861793041229248,4.807583332061768,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
71,71,25.505047306429027,18.465741214218955,21.110120425637998,5.1588335037231445,7.186563014984131,5.136744499206543,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
72,72,26.514111621573456,19.679320844931677,22.218638373015832,4.796044826507568,5.719583988189697,4.322813034057617,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
73,73,27.001473804134946,19.399004976672177,23.59397518006814,4.9851861000061035,5.75114631652832,5.461612701416016,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,24.800315752048277,4.782100200653076,5.644299030303955,5.302162170410156,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,25.08480466274082,5.201173305511475,5.680557727813721,5.64860200881958,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,25.70925091983871,5.207019329071045,6.450347900390625,5.671910285949707,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,25.435028960705868,6.132026672363281,6.000014781951904,5.093027591705322,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
78,78,30.300511724579902,19.95492094933438,25.631559941602735,5.8028388023376465,7.092807292938232,5.363931179046631,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
79,79,30.148051358309164,20.321240211337894,26.047740414373475,6.856454849243164,6.467032432556152,5.424102783203125,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
80,80,30.086252753371088,20.744918439924255,25.776757708888223,6.982686519622803,6.176682472229004,5.246397018432617,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
81,81,29.68907403762892,20.982889067881906,25.355292335662735,6.426537990570068,7.567525863647461,6.073655605316162,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
82,82,28.90089773637945,20.81634708740007,25.199699842594157,7.1840739250183105,6.303605079650879,5.545322418212891,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
83,83,28.194313716720707,21.794751727168247,24.972490843376303,6.560110569000244,6.599743366241455,5.187117576599121,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
84,84,29.14514380262554,21.106373639070085,25.239630061435804,5.271510124206543,8.559276580810547,5.553450584411621,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,25.222838858586474,5.609640121459961,7.718591690063477,5.28040885925293,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
86,86,29.195361276159034,18.84606490909817,25.326958016155494,5.25334358215332,9.43416690826416,5.6247406005859375,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,25.407643152788502,6.509652614593506,7.174471855163574,5.981420516967773,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
88,88,26.37509421416108,18.396084436387564,22.19701397458785,6.411813259124756,6.487721920013428,5.3596882820129395,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
89,89,24.29846982632471,17.197907308437554,20.775886798552325,6.017302513122559,6.256072521209717,5.257596015930176,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
90,90,22.206834090995343,17.32676746960286,19.078542338742754,5.257880687713623,5.663510322570801,4.825594425201416,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
91,91,22.30942508877806,16.266054339767617,18.730077186929716,5.508337497711182,5.519831657409668,5.475949764251709,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
92,92,22.07932597419188,16.807703363287136,18.88403059466258,5.735818386077881,5.677903175354004,5.012876987457275,gan,gan,gan,candidateF_grad_levelset_E2_low_expanded2688,1
93,93,24.402894658345392,18.13548367922437,21.141403450112016,6.506997585296631,6.816009521484375,6.704313278198242,gan,gan,cnn,cnn,0
94,94,24.570031527820365,20.006869187749356,22.880762759380122,5.102908611297607,6.517361164093018,6.285547256469727,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,23.810764950581227,5.015480041503906,6.677723407745361,6.169971466064453,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,25.650208795591304,5.121858596801758,7.258078575134277,5.471713066101074,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,26.263337066403526,5.011539936065674,7.223494529724121,5.124406814575195,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,27.052740220654265,4.942448139190674,8.764951705932617,5.294122695922852,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,27.07243853355263,5.342334747314453,7.760592460632324,5.3212971687316895,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
100,100,31.181555022619012,20.891681214618057,26.918660754835717,5.912055015563965,7.617006778717041,5.108083248138428,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
101,101,30.40796712150836,20.937383941054357,26.3657961043289,5.357294082641602,7.0666680335998535,5.11305046081543,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
102,102,29.254680859214627,20.257793175726828,25.34891609823638,5.164434909820557,8.231893539428711,4.655782222747803,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
103,103,29.507549938987374,20.69051451494371,25.87019776219136,5.102769374847412,6.314839839935303,5.011944770812988,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
104,104,29.173745320955113,20.12992358587829,25.67057707261393,4.829194068908691,7.393864154815674,4.530188083648682,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
105,105,29.338582011466166,19.283104237304943,25.584283853425394,5.33697509765625,6.823482513427734,5.131791591644287,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
106,106,30.092821360744658,20.00547041151677,25.92303564015788,5.767349720001221,6.75129508972168,5.217028617858887,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
107,107,29.64376642955138,20.682183399063746,25.590634142142402,5.574344635009766,7.6041154861450195,5.6776533126831055,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,25.689265852758922,5.6898322105407715,7.595790386199951,5.372583389282227,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
109,109,28.97319829057234,20.853111383838083,25.038274590721002,5.088190078735352,7.198193550109863,5.3197021484375,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,25.716466131199844,5.806641101837158,6.568319320678711,6.501977920532227,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,24.506456376891634,5.513612270355225,8.167459487915039,5.442519187927246,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
112,112,27.49742127818127,19.372446559915602,24.14788617781106,5.637857913970947,6.682409286499023,5.2387919425964355,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
113,113,26.010710160777133,18.415536047943895,23.064668041058408,5.502909183502197,6.949485778808594,5.367590427398682,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
114,114,24.541486090961616,16.84887862793787,21.45447663268358,5.123978614807129,5.899235248565674,6.260227680206299,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,21.92146725451751,4.689971923828125,7.232174873352051,4.773468971252441,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,23.014519066504292,5.35050630569458,7.636551856994629,5.910965442657471,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,23.847668000309444,5.260716915130615,8.683184623718262,6.174042701721191,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,24.628089137470646,6.84329080581665,9.465571403503418,6.179771900177002,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
119,119,27.187847892928154,20.557132674744736,24.8848986709167,5.218785285949707,6.129123687744141,4.998507022857666,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
120,120,28.146732976702577,21.528863701574615,24.377418829895184,4.889072418212891,7.93386173248291,5.618589878082275,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,25.171902213299152,5.373913288116455,7.535200595855713,4.693838119506836,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
122,122,28.017758663142306,22.491589595860475,24.45122638285059,5.264456272125244,7.450175762176514,5.127967357635498,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
123,123,29.152924001075785,22.17220391892049,24.03818467557838,6.196282386779785,8.431406021118164,5.246007919311523,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
124,124,28.184626374879375,22.119830159019614,24.609469453959314,6.166434288024902,6.818744659423828,5.439292907714844,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
125,125,28.43981263564626,21.313574573250694,23.894341766843056,5.748098373413086,10.086677551269531,4.683187484741211,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
126,126,28.023492407781937,22.88972837862729,24.45870441226879,4.992148399353027,8.052214622497559,5.004730224609375,gan,gan,cnn,cnn,0
127,127,30.000730217921266,24.85609607980766,25.990205627797447,5.114649772644043,13.074076652526855,4.793778896331787,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
128,128,28.391923421353447,23.315252316365218,25.13064531106096,5.476268768310547,7.28298807144165,5.017463684082031,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
129,129,29.465245102227872,24.209883048645104,25.664247225156718,5.373117923736572,9.33877944946289,5.196463584899902,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
130,130,30.27324308013254,23.783031491875988,25.975713764232218,5.609683513641357,11.313863754272461,6.54123067855835,gan,gan,cnn,cnn,0
131,131,33.0539968727652,25.23355611194131,28.77146006194242,6.2030792236328125,12.011610984802246,6.070178031921387,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
132,132,33.926806040190684,25.90821112354989,29.75084906669376,6.331444263458252,12.388164520263672,5.73650598526001,gan,gan,cnn,candidateF_grad_levelset_E2_low_expanded2688,0
