sample_idx,pos_idx,pd_distance_candidateF_grad_levelset_E2_low_expanded2688,mt_distance_candidateF_grad_levelset_E2_low_expanded2688
0,0,22.975255435986888,5.02244758605957
1,1,22.78207536476008,6.458710193634033
2,2,23.352135516243624,5.305473327636719
3,3,23.20857759371904,4.758551597595215
4,4,22.482604030856752,4.994149684906006
5,5,23.723823934433117,5.546912670135498
6,6,25.30622534897673,5.008514404296875
7,7,25.980991478329777,5.816155910491943
8,8,25.85227449429686,6.0609822273254395
9,9,25.101268500735145,5.283705711364746
10,10,25.460155837087015,5.795703887939453
11,11,24.228509641959487,6.055164813995361
12,12,25.506223678052006,6.040416240692139
13,13,25.521433796051895,6.816229820251465
14,14,24.321795486994706,5.325275897979736
15,15,22.475160499574915,5.183493137359619
16,16,20.20532065069148,4.654573917388916
17,17,18.242232840671658,4.033401966094971
18,18,17.784693041546422,4.371562480926514
19,19,17.514434581248214,5.312305450439453
20,20,18.851105671197683,5.24531888961792
21,21,23.064930098538134,7.752748966217041
22,22,28.111713542166488,6.2884979248046875
23,23,30.19816114997631,5.919511318206787
24,24,30.92006305485372,5.759150505065918
25,25,31.47802758743707,6.638813018798828
26,26,30.286108811818906,8.059517860412598
27,27,31.792987560802835,6.552970886230469
28,28,32.8217107323801,7.976902484893799
29,29,34.738130274543515,8.2597074508667
30,30,34.99560999047232,7.499512672424316
31,31,35.138318286150124,6.570147514343262
32,32,33.68648726029385,6.759373664855957
33,33,33.40311296531861,7.018188953399658
34,34,32.727374592552216,6.281839847564697
35,35,32.2935783753495,6.868703365325928
36,36,32.8170572777487,6.076775550842285
37,37,30.94836473396218,6.210677623748779
38,38,26.467635879252708,6.472479820251465
39,39,22.143185868520536,6.042142868041992
40,40,20.881332287773745,5.456048011779785
41,41,19.61451473909824,6.346193313598633
42,42,17.80714125030567,5.861574172973633
43,43,16.473263339341635,5.425085067749023
44,44,15.234769686279236,5.856094837188721
45,45,16.105067399551196,5.990780353546143
46,46,16.047741976199244,5.865893363952637
47,47,16.85435048986763,6.410425662994385
48,48,16.897857632803234,8.408769607543945
49,49,17.088293428386187,6.054111003875732
50,50,16.723965737673947,6.765841960906982
51,51,17.620201582583558,6.002660751342773
52,52,18.16935156278785,6.65178108215332
53,53,18.053259012082673,5.435771942138672
54,54,18.873391815445657,6.012788772583008
55,55,19.741426132571494,5.283389568328857
56,56,20.39770546428262,5.999314785003662
57,57,20.765296463851143,6.168181896209717
58,58,21.46320021023675,6.069823741912842
59,59,21.88504806796187,5.328864574432373
60,60,22.13156624836562,5.687657833099365
61,61,22.368935097558037,5.504012107849121
62,62,23.717307883820837,5.6356282234191895
63,63,24.01931747791738,6.130860805511475
64,64,20.516235099365037,5.535315036773682
65,65,18.869370407283892,5.416532516479492
66,66,17.52348184401745,5.117711544036865
67,67,16.99600770948152,4.760764122009277
68,68,17.53810821521763,5.0282206535339355
69,69,20.064450260655583,5.460549831390381
70,70,20.757678490449994,4.807583332061768
71,71,21.110120425637998,5.136744499206543
72,72,22.218638373015832,4.322813034057617
73,73,23.59397518006814,5.461612701416016
74,74,24.800315752048277,5.302162170410156
75,75,25.08480466274082,5.64860200881958
76,76,25.70925091983871,5.671910285949707
77,77,25.435028960705868,5.093027591705322
78,78,25.631559941602735,5.363931179046631
79,79,26.047740414373475,5.424102783203125
80,80,25.776757708888223,5.246397018432617
81,81,25.355292335662735,6.073655605316162
82,82,25.199699842594157,5.545322418212891
83,83,24.972490843376303,5.187117576599121
84,84,25.239630061435804,5.553450584411621
85,85,25.222838858586474,5.28040885925293
86,86,25.326958016155494,5.6247406005859375
87,87,25.407643152788502,5.981420516967773
88,88,22.19701397458785,5.3596882820129395
89,89,20.775886798552325,5.257596015930176
90,90,19.078542338742754,4.825594425201416
91,91,18.730077186929716,5.475949764251709
92,92,18.88403059466258,5.012876987457275
93,93,21.141403450112016,6.704313278198242
94,94,22.880762759380122,6.285547256469727
95,95,23.810764950581227,6.169971466064453
96,96,25.650208795591304,5.471713066101074
97,97,26.263337066403526,5.124406814575195
98,98,27.052740220654265,5.294122695922852
99,99,27.07243853355263,5.3212971687316895
100,100,26.918660754835717,5.108083248138428
101,101,26.3657961043289,5.11305046081543
102,102,25.34891609823638,4.655782222747803
103,103,25.87019776219136,5.011944770812988
104,104,25.67057707261393,4.530188083648682
105,105,25.584283853425394,5.131791591644287
106,106,25.92303564015788,5.217028617858887
107,107,25.590634142142402,5.6776533126831055
108,108,25.689265852758922,5.372583389282227
109,109,25.038274590721002,5.3197021484375
110,110,25.716466131199844,6.501977920532227
111,111,24.506456376891634,5.442519187927246
112,112,24.14788617781106,5.2387919425964355
113,113,23.064668041058408,5.367590427398682
114,114,21.45447663268358,6.260227680206299
115,115,21.92146725451751,4.773468971252441
116,116,23.014519066504292,5.910965442657471
117,117,23.847668000309444,6.174042701721191
118,118,24.628089137470646,6.179771900177002
119,119,24.8848986709167,4.998507022857666
120,120,24.377418829895184,5.618589878082275
121,121,25.171902213299152,4.693838119506836
122,122,24.45122638285059,5.127967357635498
123,123,24.03818467557838,5.246007919311523
124,124,24.609469453959314,5.439292907714844
125,125,23.894341766843056,4.683187484741211
126,126,24.45870441226879,5.004730224609375
127,127,25.990205627797447,4.793778896331787
128,128,25.13064531106096,5.017463684082031
129,129,25.664247225156718,5.196463584899902
130,130,25.975713764232218,6.54123067855835
131,131,28.77146006194242,6.070178031921387
132,132,29.75084906669376,5.73650598526001
133,133,29.762940775426916,6.1558308601379395
134,134,27.43561070419761,7.025543689727783
135,135,25.042350902142463,4.266911506652832
136,136,23.549565994059662,4.721042633056641
137,137,23.06613689782197,4.344370365142822
138,138,22.255897344963685,4.533791542053223
139,139,21.705635955599135,4.561615943908691
140,140,23.162376763673322,4.735658168792725
141,141,26.724666878311574,6.509770393371582
142,142,29.506133159468703,6.558634281158447
143,143,28.11250925226483,6.490797519683838
144,144,27.43058059609049,6.1744065284729
145,145,25.830640971164136,5.405094146728516
146,146,25.24011450551905,5.72493839263916
147,147,23.36643599597575,5.696167945861816
148,148,22.643482285214976,5.633086204528809
149,149,21.885754385994478,5.936881065368652
150,150,20.627397763359646,5.082624435424805
151,151,20.122380031791685,5.951628684997559
152,152,20.291029955399576,5.918756008148193
153,153,20.442899394154686,6.22743558883667
154,154,19.784430466755346,5.899423122406006
155,155,20.7966402575804,6.0193891525268555
156,156,21.69201487460812,5.0043535232543945
157,157,22.644785812330746,4.907829284667969
158,158,24.769010089720197,5.963535308837891
159,159,22.48372446475872,6.02174186706543
160,160,19.906324468169505,5.46566915512085
161,161,18.730571462149864,5.965671539306641
162,162,18.549961654541473,4.485584735870361
163,163,19.653343827058862,4.973814487457275
164,164,20.809241048769447,5.217408180236816
165,165,22.26131768011203,6.539064884185791
166,166,22.983747257460823,5.047142505645752
167,167,23.16343203418182,6.154643535614014
