sample_idx,group_name,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,bicubic_wins,cnn_wins,gan_wins,tie_count,gan_wins_low,gan_wins_high,winner_signature,gan_mean_bias,gan_direction,interpretation_label,phys_bicubic_wins,phys_cnn_wins,phys_gan_wins,phys_winner,groups,question,forced_note
100,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,92.500,over_fragmented,GAN_component_strong,3,1,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
101,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,1,5,0,1,4,t5=GAN;t10=CNN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,148.167,over_fragmented,GAN_component_strong,2,2,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
102,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,2,4,0,1,3,t5=GAN;t10=CNN;t15=GAN;p90=CNN;p95=GAN;p99=GAN,179.333,over_fragmented,GAN_component_strong,3,1,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
103,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,149.833,over_fragmented,GAN_component_strong,3,1,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
104,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,1,5,0,1,4,t5=CNN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,157.500,over_fragmented,GAN_component_strong,3,1,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
105,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,1,5,0,2,3,t5=GAN;t10=GAN;t15=GAN;p90=CNN;p95=GAN;p99=GAN,142.333,over_fragmented,GAN_component_strong,2,2,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
106,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,123.167,over_fragmented,GAN_component_strong,2,2,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
107,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,1,5,0,2,3,t5=GAN;t10=GAN;t15=GAN;p90=CNN;p95=GAN;p99=GAN,139.167,over_fragmented,GAN_component_strong,2,2,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
108,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,2,4,0,2,2,t5=GAN;t10=GAN;t15=CNN;p90=GAN;p95=CNN;p99=GAN,163.667,over_fragmented,GAN_component_strong,2,2,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
109,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,198.833,over_fragmented,GAN_component_low_threshold_only,2,2,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
110,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,210.333,over_fragmented,GAN_component_low_threshold_only,3,1,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
111,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,196.000,over_fragmented,GAN_component_low_threshold_only,3,1,9,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
112,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,194.333,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
113,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,201.667,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
114,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,177.333,over_fragmented,GAN_component_low_threshold_only,5,2,6,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
115,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,167.833,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
116,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,166.333,over_fragmented,GAN_component_low_threshold_only,4,2,7,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
117,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,178.167,over_fragmented,GAN_component_low_threshold_only,4,2,7,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
118,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,1,1,1,0,t5=TIE;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,175.667,over_fragmented,GAN_component_low_threshold_only,3,2,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
119,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,182.833,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
120,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,189.167,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
121,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,172.167,over_fragmented,GAN_component_low_threshold_only,3,2,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
122,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,195.000,over_fragmented,GAN_component_low_threshold_only,3,3,7,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
123,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,192.000,over_fragmented,GAN_component_low_threshold_only,5,1,7,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
124,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,213.333,over_fragmented,GAN_component_low_threshold_only,5,2,6,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
126,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,301.500,over_fragmented,GAN_component_low_threshold_only,6,2,5,bicubic,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
162,gan_majority_but_mt_not_gan,CNN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,1,1,t5=GAN;t10=CNN;t15=GAN;p90=CNN;p95=CNN;p99=CNN,63.333,over_fragmented,GAN_component_low_threshold_only,4,3,6,gan,adjacent_cluster_161_164;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_cnn_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_cnn;topology_consensus_cnn_all,Rare topology-CNN control neighborhood: when do both PD and MT reject GAN texture?,rare PD-CNN and MT-CNN topology-consensus control
25,limitation_cases,GAN,GAN,CNN,GAN,CNN,CNN,0,2,4,0,2,2,t5=GAN;t10=GAN;t15=GAN;p90=CNN;p95=CNN;p99=GAN,100.333,over_fragmented,GAN_component_strong,6,5,2,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",lower-confidence MT-GAN limitation case
80,limitation_cases,GAN,GAN,CNN,GAN,CNN,CNN,0,1,5,0,2,3,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=CNN;p99=GAN,128.833,over_fragmented,GAN_component_strong,1,10,2,cnn,cnn_three_method_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",lower-confidence MT-GAN limitation case
154,limitation_cases,GAN,GAN,CNN,GAN,CNN,CNN,0,5,1,0,1,0,t5=GAN;t10=CNN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,107.000,over_fragmented,GAN_component_low_threshold_only,2,9,2,cnn,cnn_three_method_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",lower-confidence MT-GAN limitation case
16,ridge_motif_16_20,GAN,GAN,CNN,GAN,GAN,CNN,2,2,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=BICUBIC,144.000,over_fragmented,GAN_component_low_threshold_only,8,2,3,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",moderate MT-GAN ridge-rich motif
17,ridge_motif_16_20,GAN,GAN,CNN,GAN,GAN,CNN,1,3,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=CNN,128.833,over_fragmented,GAN_component_low_threshold_only,6,3,4,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,strong MT-GAN anchor
18,ridge_motif_16_20,GAN,GAN,CNN,GAN,GAN,CNN,1,3,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=CNN,156.833,over_fragmented,GAN_component_low_threshold_only,8,2,3,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",moderate/lower MT-GAN ridge-rich motif
19,ridge_motif_16_20,GAN,GAN,CNN,GAN,GAN,CNN,1,3,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=BICUBIC;p95=CNN;p99=CNN,159.000,over_fragmented,GAN_component_low_threshold_only,8,1,4,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,strong MT-GAN anchor
20,ridge_motif_16_20,GAN,GAN,CNN,GAN,CNN,CNN,0,5,1,0,1,0,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,178.667,over_fragmented,GAN_component_low_threshold_only,8,2,3,bicubic,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",moderate/lower MT-GAN ridge-rich motif
