sample_idx,group_name,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,bicubic_wins,cnn_wins,gan_wins,tie_count,gan_wins_low,gan_wins_high,winner_signature,gan_mean_bias,gan_direction,interpretation_label,phys_bicubic_wins,phys_cnn_wins,phys_gan_wins,phys_winner,groups,question,forced_note
92,cluster_90_93,GAN,GAN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,126.000,over_fragmented,GAN_component_low_threshold_only,3,2,8,gan,adjacent_cluster_90_93;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;gan_three_method_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,strong MT-GAN anchor
93,cluster_90_93,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,131.500,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,adjacent_cluster_90_93;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,Adjacent transition cluster: why does MT accept GAN in sample 92 but reject nearby GAN-majority samples?,GAN-majority / MT-CNN adjacent control near sample 92
9,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,3,3,0,1,2,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=GAN;p99=GAN,93.833,over_fragmented,mixed_or_ambiguous,3,2,8,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
10,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,1,1,t5=CNN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=GAN,109.667,over_fragmented,GAN_component_low_threshold_only,4,1,8,gan,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent control before sample 12
11,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,142.167,over_fragmented,GAN_component_low_threshold_only,3,1,9,gan,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent control before sample 12
13,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,176.833,over_fragmented,GAN_component_low_threshold_only,3,3,7,gan,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent control after sample 12
14,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,4,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=CNN,161.167,over_fragmented,GAN_component_low_threshold_only,7,2,4,bicubic,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
15,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,1,3,2,0,2,0,t5=GAN;t10=GAN;t15=CNN;p90=CNN;p95=CNN;p99=BICUBIC,162.000,over_fragmented,GAN_component_low_threshold_only,7,1,5,bicubic,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
74,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,91.167,over_fragmented,GAN_component_strong,5,2,6,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
87,gan_majority_but_mt_not_gan,GAN,CNN,CNN,GAN,GAN,CNN,0,0,6,0,2,4,t5=GAN;t10=GAN;t15=GAN;p90=GAN;p95=GAN;p99=GAN,67.000,over_fragmented,GAN_component_strong,5,2,6,gan,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,
