sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
36,36,35.61901723291445,27.743736665197815,33.92215912668861,6.097905158996582,9.26945686340332,5.939330101013184,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
37,37,33.456602216246914,27.16364872656993,32.05126473524842,6.489102840423584,9.59257698059082,6.550620079040527,gan,gan,cnn,cnn,0
38,38,29.159912858159764,23.780350003542182,27.959447236670638,6.054014682769775,7.416414260864258,6.3813323974609375,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,23.775748312044527,5.873856067657471,8.546488761901855,5.899845123291016,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,23.1947550418102,5.6310811042785645,8.988521575927734,5.3767523765563965,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
41,41,23.457166445963043,17.452695580897316,22.1576111561791,5.389686584472656,8.901470184326172,5.596189975738525,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,20.58720518891791,5.757840156555176,7.383090972900391,5.608867168426514,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
43,43,20.76816702008209,13.784137402758168,19.551374037471422,5.7682366371154785,7.053122520446777,5.852736949920654,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,18.835503089103295,6.20600700378418,7.041088581085205,5.999661922454834,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
45,45,20.528037851461004,13.609391097429418,19.34972477169879,6.566225528717041,6.773196697235107,6.300626277923584,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
46,46,20.678325640697178,16.27228595124608,18.711625239194422,6.243154048919678,6.650214672088623,6.566372871398926,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,19.68585548362702,6.789880752563477,7.498397350311279,6.820788860321045,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,20.49986457297447,7.081502437591553,6.682991981506348,7.086339950561523,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,19.601487229285013,6.3195295333862305,7.889017105102539,6.086776256561279,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
50,50,21.30877833114525,14.865452226211227,19.17108027689059,6.3856120109558105,6.713321685791016,6.166417598724365,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
51,51,21.75849079768097,16.03686368056312,19.33351794536354,5.902731418609619,7.996896266937256,6.0240325927734375,gan,gan,cnn,cnn,0
