group,n,cnn_branch_ratio,gan_branch_ratio,gan_mean_persistence_bias
MT-GAN,20,0.4714135306967826,1.9086112971946179,-0.2213761534213745
10-13,4,0.5259904186933697,2.508553755339973,-0.38612664599275914
76-78,3,0.5742474392706463,1.6442734085504893,-0.26082337607651684
90-93,4,0.5105282601862016,1.723192911901487,-0.13905966255479343
161-164,4,0.41571720552344926,1.4223863794189735,0.07776199328282335
Limitations,3,0.4653211481120711,1.6686988118384305,-0.16480247948936558
